s,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,kg/kg,kg/kg,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"O2Rear","CO2Rear","CORear","UHRear","TRSampPtRh","O2Front","CO2Front","COFront","UHFront","TFSampPtRh","TRSampA","TFSampA","YsootR","YsootF","HFRFL","HFFFL","HFOFL","HFRCE","HFCCE","HFFCE","TSHFRFL","TSHFFFL","TSHFOFL","TSHFRCE","TSHFCCE","TSHFFCE","TSXHFRFL","TSXHFFFL","TSXHFRCE","TSXHFCCE","TSXHFFCE","TR3","TR30","TR60","TR90","TR105","TR120","TR135","TR150","TR180","TR210","TR237","TF3","TF30","TF60","TF90","TF105","TF120","TF135","TF150","TF180","TF210","TF237"
 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00,-2.590E-06,-3.570E-06,-2.479E-05,-1.497E-06,-1.803E-06,-2.524E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 1.001E+01, 2.079E-01, 1.520E-03, 3.341E-10, 5.728E-11, 2.672E+01, 2.090E-01, 7.719E-04, 3.098E-12, 9.723E-13, 2.194E+01, 4.255E+01, 2.778E+01, 7.005E-11, 6.504E-13, 9.035E-01, 3.399E-01, 4.029E-02, 7.726E-01, 1.023E+00, 4.359E-01, 3.637E+01, 2.650E+01, 2.067E+01, 3.366E+01, 3.903E+01, 2.797E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.167E+01, 2.275E+01, 2.213E+01, 2.156E+01, 2.141E+01, 2.115E+01, 2.106E+01, 2.161E+01, 2.398E+01, 3.130E+01, 5.092E+01, 2.056E+01, 2.068E+01, 2.065E+01, 2.054E+01, 2.050E+01, 2.042E+01, 2.039E+01, 2.035E+01, 2.030E+01, 2.079E+01, 3.149E+01
 2.001E+01, 1.969E-01, 9.114E-03, 1.099E-07, 1.476E-08, 1.337E+02, 2.023E-01, 5.384E-03, 1.687E-11, 2.818E-12, 7.270E+01, 1.764E+02, 1.100E+02, 2.300E-08, 3.538E-12, 5.849E+00, 1.696E+00, 4.335E-01, 5.073E+00, 4.190E+00, 2.539E+00, 1.441E+02, 6.213E+01, 2.836E+01, 1.282E+02, 1.151E+02, 7.751E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.981E+01, 4.617E+01, 5.272E+01, 5.998E+01, 5.988E+01, 7.030E+01, 7.824E+01, 1.005E+02, 1.265E+02, 1.554E+02, 2.352E+02, 2.604E+01, 3.522E+01, 4.186E+01, 4.760E+01, 4.773E+01, 4.723E+01, 4.779E+01, 4.716E+01, 4.976E+01, 7.161E+01, 1.147E+02
 3.000E+01, 1.754E-01, 2.393E-02, 1.473E-06, 1.462E-07, 3.172E+02, 1.793E-01, 2.123E-02, 8.657E-09, 7.866E-10, 2.472E+02, 3.864E+02, 3.235E+02, 3.065E-07, 1.802E-09, 1.433E+01, 7.623E+00, 1.619E+00, 1.821E+01, 1.587E+01, 9.949E+00, 2.925E+02, 1.765E+02, 5.900E+01, 3.275E+02, 2.955E+02, 2.130E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 9.075E+01, 1.333E+02, 1.769E+02, 2.051E+02, 2.137E+02, 2.364E+02, 2.465E+02, 2.747E+02, 3.207E+02, 3.744E+02, 4.784E+02, 5.190E+01, 1.217E+02, 1.629E+02, 1.797E+02, 1.866E+02, 1.981E+02, 2.016E+02, 1.968E+02, 2.081E+02, 2.396E+02, 2.957E+02
 4.002E+01, 1.312E-01, 5.432E-02, 5.459E-05, 3.193E-06, 5.960E+02, 1.508E-01, 4.087E-02, 8.650E-08, 2.735E-09, 4.518E+02, 6.656E+02, 5.028E+02, 1.116E-05, 1.787E-08, 3.569E+01, 1.880E+01, 3.363E+00, 5.236E+01, 5.004E+01, 3.120E+01, 4.913E+02, 3.528E+02, 1.095E+02, 5.882E+02, 5.808E+02, 4.600E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.447E+02, 3.189E+02, 4.146E+02, 4.775E+02, 4.976E+02, 5.271E+02, 5.360E+02, 5.535E+02, 5.827E+02, 6.248E+02, 7.199E+02, 1.323E+02, 2.810E+02, 3.545E+02, 3.862E+02, 3.904E+02, 4.011E+02, 4.068E+02, 4.155E+02, 4.300E+02, 4.697E+02, 5.768E+02
 5.000E+01, 8.963E-02, 8.181E-02, 1.251E-03, 5.349E-05, 8.806E+02, 1.043E-01, 7.292E-02, 1.150E-05, 3.392E-07, 6.530E+02, 9.276E+02, 7.005E+02, 2.545E-04, 2.328E-06, 9.360E+01, 3.797E+01, 6.664E+00, 1.248E+02, 8.592E+01, 6.392E+01, 7.789E+02, 5.224E+02, 1.840E+02, 8.739E+02, 7.606E+02, 6.694E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 6.523E+02, 7.485E+02, 8.037E+02, 8.358E+02, 8.411E+02, 8.512E+02, 8.545E+02, 8.658E+02, 8.966E+02, 9.494E+02, 9.496E+02, 2.515E+02, 5.266E+02, 5.697E+02, 5.953E+02, 6.002E+02, 6.123E+02, 6.195E+02, 6.353E+02, 6.598E+02, 7.092E+02, 7.567E+02
 6.001E+01, 3.782E-02, 1.013E-01, 1.761E-02, 3.802E-03, 1.033E+03, 1.273E-02, 1.310E-01, 5.193E-03, 3.258E-04, 8.538E+02, 1.057E+03, 8.875E+02, 3.556E-03, 1.047E-03, 9.662E+01, 6.916E+01, 1.222E+01, 1.527E+02, 1.286E+02, 1.129E+02, 8.234E+02, 6.871E+02, 2.799E+02, 9.638E+02, 8.995E+02, 8.504E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 7.961E+02, 9.123E+02, 9.505E+02, 9.401E+02, 9.416E+02, 9.503E+02, 9.548E+02, 9.671E+02, 1.001E+03, 1.024E+03, 1.006E+03, 2.806E+02, 7.372E+02, 7.665E+02, 7.877E+02, 7.951E+02, 8.098E+02, 8.174E+02, 8.324E+02, 8.601E+02, 8.995E+02, 8.927E+02
 7.000E+01, 1.589E-02, 1.166E-01, 1.742E-02, 3.761E-03, 1.052E+03, 3.811E-03, 1.226E-01, 1.988E-02, 3.877E-03, 9.193E+02, 1.079E+03, 9.294E+02, 3.512E-03, 4.010E-03, 1.107E+02, 9.587E+01, 1.691E+01, 1.568E+02, 1.440E+02, 1.356E+02, 8.693E+02, 7.938E+02, 3.558E+02, 9.829E+02, 9.511E+02, 9.284E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.165E+02, 9.484E+02, 9.967E+02, 1.002E+03, 1.002E+03, 1.008E+03, 1.014E+03, 1.024E+03, 1.029E+03, 1.015E+03, 1.009E+03, 3.574E+02, 8.659E+02, 8.855E+02, 8.978E+02, 9.015E+02, 9.129E+02, 9.188E+02, 9.406E+02, 9.626E+02, 9.636E+02, 9.555E+02
 8.001E+01, 8.521E-04, 1.077E-01, 3.556E-02, 1.695E-02, 1.020E+03, 4.153E-05, 1.228E-01, 2.205E-02, 6.009E-03, 9.317E+02, 1.018E+03, 9.336E+02, 7.011E-03, 4.425E-03, 1.112E+02, 1.099E+02, 1.916E+01, 1.559E+02, 1.507E+02, 1.395E+02, 8.769E+02, 8.450E+02, 3.931E+02, 9.849E+02, 9.708E+02, 9.451E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 7.851E+02, 9.454E+02, 1.010E+03, 1.014E+03, 1.013E+03, 1.011E+03, 1.011E+03, 1.011E+03, 1.009E+03, 1.005E+03, 9.984E+02, 4.161E+02, 9.076E+02, 9.279E+02, 9.411E+02, 9.447E+02, 9.530E+02, 9.581E+02, 9.713E+02, 9.788E+02, 9.668E+02, 9.562E+02
