s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-3.321E-05,-5.505E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.327E-05, 0.000E+00, 0.000E+00
 1.002E+01, 1.785E+02,-2.196E+01, 2.877E+00,-6.350E+00, 2.181E-01, 0.000E+00, 0.000E+00, 1.514E+02, 1.533E+02, 4.303E-03, 4.303E-03
 2.002E+01, 5.414E+02,-1.044E+02,-3.378E+01,-1.779E+01, 5.743E-01, 0.000E+00, 0.000E+00, 3.855E+02, 3.860E+02, 1.285E-02, 1.285E-02
 3.001E+01, 8.637E+02,-2.770E+02,-1.977E+02,-2.350E+01, 7.986E-01, 0.000E+00, 0.000E+00, 3.660E+02, 3.663E+02, 2.140E-02, 2.140E-02
 4.001E+01, 1.100E+03,-5.316E+02,-3.135E+02,-1.506E+01, 7.386E-01, 0.000E+00, 0.000E+00, 2.408E+02, 2.403E+02, 2.994E-02, 2.994E-02
 5.000E+01, 1.242E+03,-7.326E+02,-3.527E+02,-9.624E+00, 6.453E-01, 0.000E+00, 0.000E+00, 1.493E+02, 1.473E+02, 3.849E-02, 3.849E-02
 6.001E+01, 1.301E+03,-7.471E+02,-4.288E+02, 3.557E-01, 8.390E-01, 0.000E+00, 0.000E+00, 1.270E+02, 1.264E+02, 4.704E-02, 4.704E-02
 7.000E+01, 1.283E+03,-7.064E+02,-4.842E+02, 7.094E+00, 9.030E-01, 0.000E+00, 0.000E+00, 1.026E+02, 1.008E+02, 5.105E-02, 5.105E-02
 8.001E+01, 1.314E+03,-6.528E+02,-6.166E+02, 1.064E+01, 9.379E-01, 0.000E+00, 0.000E+00, 5.855E+01, 5.583E+01, 5.056E-02, 5.056E-02
 9.001E+01, 1.312E+03,-5.674E+02,-7.084E+02, 1.201E+01, 8.771E-01, 0.000E+00, 0.000E+00, 5.032E+01, 4.888E+01, 5.007E-02, 5.007E-02
 1.000E+02, 1.685E+03,-6.249E+02,-1.048E+03, 1.159E+01, 7.192E-01, 0.000E+00, 0.000E+00, 2.652E+01, 2.444E+01, 4.958E-02, 4.958E-02
 1.100E+02, 1.633E+03,-5.884E+02,-1.028E+03, 1.061E+01, 7.788E-01, 0.000E+00, 0.000E+00, 3.237E+01, 2.800E+01, 4.909E-02, 4.909E-02
 1.200E+02, 1.836E+03,-6.405E+02,-1.197E+03, 1.112E+01, 7.715E-01, 0.000E+00, 0.000E+00, 1.253E+01, 1.057E+01, 4.860E-02, 4.860E-02
 1.300E+02, 1.822E+03,-6.135E+02,-1.230E+03, 1.401E+01, 7.771E-01, 0.000E+00, 0.000E+00,-4.742E+00,-6.003E+00, 4.811E-02, 4.811E-02
 1.400E+02, 1.842E+03,-6.163E+02,-1.219E+03, 1.535E+01, 7.449E-01, 0.000E+00, 0.000E+00, 2.518E+01, 2.300E+01, 4.762E-02, 4.762E-02
 1.500E+02, 1.739E+03,-5.872E+02,-1.177E+03, 1.620E+01, 7.320E-01, 0.000E+00, 0.000E+00,-3.701E+00,-7.779E+00, 4.713E-02, 4.713E-02
 1.600E+02, 1.823E+03,-6.119E+02,-1.193E+03, 1.373E+01, 6.999E-01, 0.000E+00, 0.000E+00, 3.352E+01, 3.291E+01, 4.664E-02, 4.664E-02
 1.700E+02, 1.982E+03,-6.728E+02,-1.317E+03, 1.144E+01, 7.194E-01, 0.000E+00, 0.000E+00, 3.135E+00, 4.441E+00, 4.615E-02, 4.615E-02
 1.800E+02, 2.002E+03,-6.654E+02,-1.365E+03, 1.154E+01, 7.380E-01, 0.000E+00, 0.000E+00,-1.511E+01,-1.613E+01, 4.566E-02, 4.566E-02
 1.900E+02, 2.100E+03,-6.945E+02,-1.398E+03, 1.390E+01, 7.327E-01, 0.000E+00, 0.000E+00, 2.160E+01, 2.217E+01, 4.517E-02, 4.517E-02
 2.000E+02, 2.071E+03,-7.101E+02,-1.383E+03, 1.308E+01, 7.038E-01, 0.000E+00, 0.000E+00,-7.916E+00,-8.260E+00, 4.468E-02, 4.468E-02
 2.100E+02, 2.083E+03,-7.004E+02,-1.402E+03, 1.414E+01, 7.381E-01, 0.000E+00, 0.000E+00,-5.386E+00,-4.390E+00, 4.419E-02, 4.419E-02
 2.200E+02, 2.077E+03,-6.818E+02,-1.427E+03, 1.507E+01, 7.227E-01, 0.000E+00, 0.000E+00,-1.669E+01,-1.612E+01, 4.370E-02, 4.370E-02
 2.300E+02, 1.968E+03,-6.712E+02,-1.317E+03, 1.377E+01, 7.408E-01, 0.000E+00, 0.000E+00,-3.950E+00,-6.163E+00, 4.321E-02, 4.321E-02
 2.400E+02, 1.954E+03,-6.599E+02,-1.302E+03, 1.381E+01, 7.136E-01, 0.000E+00, 0.000E+00, 5.978E+00, 6.359E+00, 4.272E-02, 4.272E-02
 2.500E+02, 2.007E+03,-6.778E+02,-1.328E+03, 1.388E+01, 7.178E-01, 0.000E+00, 0.000E+00, 1.814E+01, 1.503E+01, 4.223E-02, 4.223E-02
 2.600E+02, 1.892E+03,-6.423E+02,-1.282E+03, 1.507E+01, 6.530E-01, 0.000E+00, 0.000E+00,-1.593E+01,-1.707E+01, 4.174E-02, 4.174E-02
 2.700E+02, 2.017E+03,-6.798E+02,-1.375E+03, 1.581E+01, 7.026E-01, 0.000E+00, 0.000E+00,-1.980E+01,-2.106E+01, 4.125E-02, 4.125E-02
 2.800E+02, 1.780E+03,-6.041E+02,-1.208E+03, 1.667E+01, 6.959E-01, 0.000E+00, 0.000E+00,-1.140E+01,-1.492E+01, 4.076E-02, 4.076E-02
 2.900E+02, 1.826E+03,-6.143E+02,-1.215E+03, 1.673E+01, 6.953E-01, 0.000E+00, 0.000E+00, 1.498E+01, 1.401E+01, 4.033E-02, 4.033E-02
 3.000E+02, 1.836E+03,-6.207E+02,-1.220E+03, 1.798E+01, 7.273E-01, 0.000E+00, 0.000E+00, 1.575E+01, 1.375E+01, 4.026E-02, 4.026E-02
 3.100E+02, 1.749E+03,-6.048E+02,-1.167E+03, 1.541E+01, 6.586E-01, 0.000E+00, 0.000E+00,-6.180E+00,-7.299E+00, 4.025E-02, 4.025E-02
 3.200E+02, 1.785E+03,-6.044E+02,-1.189E+03, 1.667E+01, 6.763E-01, 0.000E+00, 0.000E+00, 1.089E+01, 9.695E+00, 4.023E-02, 4.023E-02
 3.300E+02, 1.807E+03,-5.972E+02,-1.255E+03, 1.816E+01, 6.737E-01, 0.000E+00, 0.000E+00,-2.417E+01,-2.650E+01, 4.022E-02, 4.022E-02
 3.400E+02, 1.742E+03,-5.882E+02,-1.160E+03, 1.829E+01, 6.329E-01, 0.000E+00, 0.000E+00, 1.396E+01, 1.316E+01, 4.021E-02, 4.021E-02
 3.500E+02, 1.838E+03,-6.056E+02,-1.248E+03, 2.021E+01, 6.517E-01, 0.000E+00, 0.000E+00, 3.810E+00, 4.766E+00, 4.019E-02, 4.019E-02
 3.600E+02, 1.746E+03,-5.910E+02,-1.169E+03, 2.159E+01, 6.465E-01, 0.000E+00, 0.000E+00, 7.943E+00, 7.336E+00, 4.018E-02, 4.018E-02
 3.700E+02, 1.902E+03,-6.453E+02,-1.261E+03, 1.785E+01, 6.339E-01, 0.000E+00, 0.000E+00, 1.719E+01, 1.441E+01, 4.016E-02, 4.016E-02
