s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-3.696E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.701E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.008E+01, 9.195E-01, 0.000E+00, 4.785E-02, 2.548E-02, 2.243E-01, 9.981E-04, 0.000E+00, 0.000E+00, 1.183E+00, 1.218E+00, 0.000E+00, 2.066E-05, 0.000E+00, 0.000E+00
 2.006E+01, 2.745E+00, 0.000E+00, 4.700E-02, 5.288E-02, 1.116E-01, 2.962E-03, 0.000E+00, 0.000E+00, 2.942E+00, 2.960E+00, 0.000E+00, 6.102E-05, 0.000E+00, 0.000E+00
 3.003E+01, 4.583E+00, 0.000E+00, 2.030E-02, 8.537E-02,-7.103E-02, 4.905E-03, 0.000E+00, 0.000E+00, 4.607E+00, 4.623E+00, 0.000E+00, 1.012E-04, 0.000E+00, 0.000E+00
 4.006E+01, 6.435E+00, 0.000E+00,-2.009E-02, 1.160E-01,-3.026E-01, 6.834E-03, 0.000E+00, 0.000E+00, 6.223E+00, 6.236E+00, 0.000E+00, 1.415E-04, 0.000E+00, 0.000E+00
 5.004E+01, 8.275E+00, 0.000E+00,-7.471E-02, 1.457E-01,-4.844E-01, 8.761E-03, 0.000E+00, 0.000E+00, 7.858E+00, 7.870E+00, 0.000E+00, 1.819E-04, 0.000E+00, 0.000E+00
 6.004E+01, 1.012E+01, 0.000E+00,-1.462E-01, 1.766E-01,-6.904E-01, 1.068E-02, 0.000E+00, 0.000E+00, 9.455E+00, 9.468E+00, 0.000E+00, 2.221E-04, 0.000E+00, 0.000E+00
 7.001E+01, 1.182E+01, 0.000E+00,-2.346E-01,-2.080E-01,-9.404E-01, 1.241E-02, 0.000E+00, 0.000E+00, 1.044E+01, 1.045E+01, 0.000E+00, 2.588E-04, 0.000E+00, 0.000E+00
 8.006E+01, 1.254E+01, 0.000E+00,-3.221E-01,-4.805E-01,-1.165E+00, 1.312E-02, 0.000E+00, 0.000E+00, 1.057E+01, 1.058E+01, 0.000E+00, 2.741E-04, 0.000E+00, 0.000E+00
 9.006E+01, 1.308E+01, 0.000E+00,-4.167E-01,-1.086E+00,-1.297E+00, 1.369E-02, 0.000E+00, 0.000E+00, 1.028E+01, 1.029E+01, 0.000E+00, 2.860E-04, 0.000E+00, 0.000E+00
 1.000E+02, 1.364E+01, 0.000E+00,-5.139E-01,-1.128E+00,-1.553E+00, 1.426E-02, 0.000E+00, 0.000E+00, 1.045E+01, 1.046E+01, 0.000E+00, 2.978E-04, 0.000E+00, 0.000E+00
 1.100E+02, 1.416E+01, 0.000E+00,-6.040E-01,-1.857E+00,-1.806E+00, 1.481E-02, 0.000E+00, 0.000E+00, 9.900E+00, 9.912E+00, 0.000E+00, 3.097E-04, 0.000E+00, 0.000E+00
 1.200E+02, 1.471E+01, 0.000E+00,-6.931E-01,-2.183E+00,-1.986E+00, 1.540E-02, 0.000E+00, 0.000E+00, 9.852E+00, 9.865E+00, 0.000E+00, 3.215E-04, 0.000E+00, 0.000E+00
 1.300E+02, 1.526E+01, 0.000E+00,-7.852E-01,-2.875E+00,-2.109E+00, 1.594E-02, 0.000E+00, 0.000E+00, 9.487E+00, 9.502E+00, 0.000E+00, 3.334E-04, 0.000E+00, 0.000E+00
 1.400E+02, 1.581E+01, 0.000E+00,-8.819E-01,-2.724E+00,-2.331E+00, 1.646E-02, 0.000E+00, 0.000E+00, 9.878E+00, 9.891E+00, 0.000E+00, 3.452E-04, 0.000E+00, 0.000E+00
 1.500E+02, 1.631E+01, 0.000E+00,-9.691E-01,-3.287E+00,-2.528E+00, 1.705E-02, 0.000E+00, 0.000E+00, 9.550E+00, 9.548E+00, 0.000E+00, 3.571E-04, 0.000E+00, 0.000E+00
 1.601E+02, 1.689E+01, 0.000E+00,-1.063E+00,-4.231E+00,-2.709E+00, 1.760E-02, 0.000E+00, 0.000E+00, 8.876E+00, 8.900E+00, 0.000E+00, 3.689E-04, 0.000E+00, 0.000E+00
 1.700E+02, 1.743E+01, 0.000E+00,-1.170E+00,-4.316E+00,-2.911E+00, 1.816E-02, 0.000E+00, 0.000E+00, 9.032E+00, 9.049E+00, 0.000E+00, 3.808E-04, 0.000E+00, 0.000E+00
 1.800E+02, 1.797E+01, 0.000E+00,-1.276E+00,-4.769E+00,-3.048E+00, 1.863E-02, 0.000E+00, 0.000E+00, 8.880E+00, 8.892E+00, 0.000E+00, 3.926E-04, 0.000E+00, 0.000E+00
 1.900E+02, 1.850E+01, 0.000E+00,-1.388E+00,-5.533E+00,-3.335E+00, 1.926E-02, 0.000E+00, 0.000E+00, 8.240E+00, 8.260E+00, 0.000E+00, 4.044E-04, 0.000E+00, 0.000E+00
 2.000E+02, 1.904E+01, 0.000E+00,-1.491E+00,-5.753E+00,-3.433E+00, 1.984E-02, 0.000E+00, 0.000E+00, 8.371E+00, 8.380E+00, 0.000E+00, 4.163E-04, 0.000E+00, 0.000E+00
 2.100E+02, 1.959E+01, 0.000E+00,-1.606E+00,-6.194E+00,-3.525E+00, 2.037E-02, 0.000E+00, 0.000E+00, 8.279E+00, 8.287E+00, 0.000E+00, 4.282E-04, 0.000E+00, 0.000E+00
 2.200E+02, 2.011E+01, 0.000E+00,-1.718E+00,-7.114E+00,-3.638E+00, 2.088E-02, 0.000E+00, 0.000E+00, 7.636E+00, 7.661E+00, 0.000E+00, 4.400E-04, 0.000E+00, 0.000E+00
 2.300E+02, 2.070E+01, 0.000E+00,-1.841E+00,-7.335E+00,-3.660E+00, 2.148E-02, 0.000E+00, 0.000E+00, 7.861E+00, 7.881E+00, 0.000E+00, 4.519E-04, 0.000E+00, 0.000E+00
