s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-3.696E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.701E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.003E+01, 3.086E+01,-3.467E-01, 5.999E-01,-6.824E-01, 4.324E-02, 0.000E+00, 0.000E+00, 2.996E+01, 3.047E+01, 0.000E+00, 1.020E-03, 0.000E+00, 0.000E+00
 2.001E+01, 9.324E+01,-3.030E+00, 1.713E+00,-4.733E+00, 1.253E-01, 0.000E+00, 0.000E+00, 8.713E+01, 8.732E+01, 0.000E+00, 3.031E-03, 0.000E+00, 0.000E+00
 3.002E+01, 1.561E+02,-9.741E+00,-2.955E+00,-9.068E+00, 2.012E-01, 0.000E+00, 0.000E+00, 1.343E+02, 1.345E+02, 0.000E+00, 5.046E-03, 0.000E+00, 0.000E+00
 4.001E+01, 2.195E+02,-2.531E+01,-3.225E+01,-1.346E+01, 2.714E-01, 0.000E+00, 0.000E+00, 1.485E+02, 1.487E+02, 0.000E+00, 7.062E-03, 0.000E+00, 0.000E+00
 5.001E+01, 2.807E+02,-5.244E+01,-6.539E+01,-1.757E+01, 3.360E-01, 0.000E+00, 0.000E+00, 1.456E+02, 1.457E+02, 0.000E+00, 9.076E-03, 0.000E+00, 0.000E+00
 6.000E+01, 3.431E+02,-9.372E+01,-1.002E+02,-1.891E+01, 3.895E-01, 0.000E+00, 0.000E+00, 1.306E+02, 1.307E+02, 0.000E+00, 1.109E-02, 0.000E+00, 0.000E+00
 7.001E+01, 4.048E+02,-1.436E+02,-1.274E+02,-1.642E+01, 4.371E-01, 0.000E+00, 0.000E+00, 1.177E+02, 1.179E+02, 0.000E+00, 1.311E-02, 0.000E+00, 0.000E+00
 8.001E+01, 4.642E+02,-1.972E+02,-1.629E+02,-1.318E+01, 4.609E-01, 0.000E+00, 0.000E+00, 9.127E+01, 9.138E+01, 0.000E+00, 1.512E-02, 0.000E+00, 0.000E+00
 9.001E+01, 5.237E+02,-2.442E+02,-1.914E+02,-8.361E+00, 4.873E-01, 0.000E+00, 0.000E+00, 7.992E+01, 8.015E+01, 0.000E+00, 1.714E-02, 0.000E+00, 0.000E+00
 1.000E+02, 5.860E+02,-2.968E+02,-2.069E+02,-6.328E+00, 4.954E-01, 0.000E+00, 0.000E+00, 7.651E+01, 7.644E+01, 0.000E+00, 1.915E-02, 0.000E+00, 0.000E+00
 1.100E+02, 6.339E+02,-3.399E+02,-2.344E+02,-3.006E+00, 4.843E-01, 0.000E+00, 0.000E+00, 5.694E+01, 5.705E+01, 0.000E+00, 2.117E-02, 0.000E+00, 0.000E+00
 1.200E+02, 7.000E+02,-3.880E+02,-2.462E+02,-3.932E-01, 4.865E-01, 0.000E+00, 0.000E+00, 6.594E+01, 6.587E+01, 0.000E+00, 2.318E-02, 0.000E+00, 0.000E+00
 1.300E+02, 7.422E+02,-4.180E+02,-2.804E+02, 1.074E+00, 4.780E-01, 0.000E+00, 0.000E+00, 4.541E+01, 4.534E+01, 0.000E+00, 2.520E-02, 0.000E+00, 0.000E+00
 1.400E+02, 7.839E+02,-4.419E+02,-2.963E+02, 2.687E+00, 4.816E-01, 0.000E+00, 0.000E+00, 4.916E+01, 4.885E+01, 0.000E+00, 2.722E-02, 0.000E+00, 0.000E+00
 1.500E+02, 8.087E+02,-4.683E+02,-3.176E+02, 5.734E+00, 4.324E-01, 0.000E+00, 0.000E+00, 2.927E+01, 2.885E+01, 0.000E+00, 2.923E-02, 0.000E+00, 0.000E+00
 1.600E+02, 8.414E+02,-4.784E+02,-3.406E+02, 6.882E+00, 4.728E-01, 0.000E+00, 0.000E+00, 3.000E+01, 2.980E+01, 0.000E+00, 3.125E-02, 0.000E+00, 0.000E+00
 1.700E+02, 9.426E+02,-5.204E+02,-3.886E+02, 9.303E+00, 4.314E-01, 0.000E+00, 0.000E+00, 4.382E+01, 4.341E+01, 0.000E+00, 3.326E-02, 0.000E+00, 0.000E+00
 1.800E+02, 1.000E+03,-5.380E+02,-4.237E+02, 9.227E+00, 4.525E-01, 0.000E+00, 0.000E+00, 4.898E+01, 4.837E+01, 0.000E+00, 3.528E-02, 0.000E+00, 0.000E+00
 1.900E+02, 9.852E+02,-5.289E+02,-4.400E+02, 1.150E+01, 4.579E-01, 0.000E+00, 0.000E+00, 2.846E+01, 2.826E+01, 0.000E+00, 3.730E-02, 0.000E+00, 0.000E+00
 2.000E+02, 1.071E+03,-5.477E+02,-5.037E+02, 1.199E+01, 4.442E-01, 0.000E+00, 0.000E+00, 3.257E+01, 3.250E+01, 0.000E+00, 3.931E-02, 0.000E+00, 0.000E+00
 2.100E+02, 1.166E+03,-5.658E+02,-5.784E+02, 1.139E+01, 4.561E-01, 0.000E+00, 0.000E+00, 3.385E+01, 3.355E+01, 0.000E+00, 4.133E-02, 0.000E+00, 0.000E+00
 2.200E+02, 1.190E+03,-5.561E+02,-6.354E+02, 1.247E+01, 4.570E-01, 0.000E+00, 0.000E+00, 1.228E+01, 1.177E+01, 0.000E+00, 4.334E-02, 0.000E+00, 0.000E+00
 2.300E+02, 1.222E+03,-5.508E+02,-6.686E+02, 1.296E+01, 4.641E-01, 0.000E+00, 0.000E+00, 1.689E+01, 1.635E+01, 0.000E+00, 4.451E-02, 0.000E+00, 0.000E+00
 2.400E+02, 1.145E+03,-5.031E+02,-6.401E+02, 1.299E+01, 4.559E-01, 0.000E+00, 0.000E+00, 1.647E+01, 1.574E+01, 0.000E+00, 4.482E-02, 0.000E+00, 0.000E+00
 2.500E+02, 1.279E+03,-5.345E+02,-7.349E+02, 1.245E+01, 4.722E-01, 0.000E+00, 0.000E+00, 2.235E+01, 2.249E+01, 0.000E+00, 4.513E-02, 0.000E+00, 0.000E+00
 2.600E+02, 1.298E+03,-5.307E+02,-7.625E+02, 1.316E+01, 4.634E-01, 0.000E+00, 0.000E+00, 1.881E+01, 1.885E+01, 0.000E+00, 4.545E-02, 0.000E+00, 0.000E+00
