s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-4.211E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.216E-05, 0.000E+00, 0.000E+00
 1.002E+01, 3.331E+02,-5.847E+01, 2.181E+00,-7.712E+00, 0.000E+00, 0.000E+00,-1.006E+01, 2.571E+02, 2.591E+02, 1.128E-02, 1.128E-02
 2.000E+01, 4.030E+02,-8.083E+01,-5.173E+01,-1.831E+01, 0.000E+00, 0.000E+00,-1.150E+01, 2.411E+02, 2.406E+02, 1.288E-02, 1.288E-02
 3.002E+01, 4.034E+02,-1.132E+02,-1.090E+02,-2.172E+01, 0.000E+00, 0.000E+00,-1.173E+01, 1.482E+02, 1.477E+02, 1.309E-02, 1.309E-02
 4.002E+01, 4.245E+02,-1.538E+02,-1.439E+02,-1.827E+01, 0.000E+00, 0.000E+00,-1.224E+01, 9.691E+01, 9.625E+01, 1.369E-02, 1.369E-02
 5.002E+01, 4.283E+02,-1.756E+02,-1.602E+02,-1.130E+01, 0.000E+00, 0.000E+00,-1.230E+01, 6.993E+01, 6.890E+01, 1.377E-02, 1.377E-02
 6.000E+01, 4.118E+02,-1.805E+02,-1.738E+02,-3.778E+00, 0.000E+00, 0.000E+00,-1.184E+01, 4.278E+01, 4.196E+01, 1.315E-02, 1.315E-02
 7.001E+01, 4.110E+02,-1.881E+02,-1.717E+02,-6.695E-01, 0.000E+00, 0.000E+00,-1.191E+01, 3.974E+01, 3.858E+01, 1.327E-02, 1.327E-02
 8.001E+01, 4.157E+02,-1.938E+02,-1.815E+02, 3.709E+00, 0.000E+00, 0.000E+00,-1.195E+01, 3.349E+01, 3.218E+01, 1.331E-02, 1.331E-02
