s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TOLUENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-4.211E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.216E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 5.006E+02, 0.000E+00,-9.724E+01,-8.363E+00,-5.263E+00, 0.000E+00, 0.000E+00,-5.560E+00, 3.823E+02, 3.842E+02, 0.000E+00, 1.290E-02, 0.000E+00, 0.000E+00
 2.001E+01, 5.671E+02, 0.000E+00,-1.470E+02,-1.092E+02,-1.365E+01, 0.000E+00, 0.000E+00,-5.936E+00, 2.918E+02, 2.913E+02, 0.000E+00, 1.402E-02, 0.000E+00, 0.000E+00
 3.002E+01, 5.732E+02, 0.000E+00,-2.313E+02,-1.650E+02,-9.842E+00, 0.000E+00, 0.000E+00,-5.932E+00, 1.618E+02, 1.612E+02, 0.000E+00, 1.410E-02, 0.000E+00, 0.000E+00
 4.002E+01, 5.855E+02, 0.000E+00,-2.992E+02,-1.759E+02,-1.607E+00, 0.000E+00, 0.000E+00,-6.112E+00, 1.032E+02, 1.026E+02, 0.000E+00, 1.461E-02, 0.000E+00, 0.000E+00
 5.001E+01, 6.222E+02, 0.000E+00,-3.455E+02,-1.989E+02, 4.299E+00, 0.000E+00, 0.000E+00,-6.439E+00, 7.614E+01, 7.574E+01, 0.000E+00, 1.556E-02, 0.000E+00, 0.000E+00
 6.002E+01, 5.993E+02, 0.000E+00,-3.476E+02,-1.975E+02, 9.661E+00, 0.000E+00, 0.000E+00,-6.215E+00, 5.815E+01, 5.764E+01, 0.000E+00, 1.468E-02, 0.000E+00, 0.000E+00
 7.002E+01, 5.721E+02, 0.000E+00,-3.352E+02,-2.074E+02, 1.129E+01, 0.000E+00, 0.000E+00,-6.039E+00, 3.541E+01, 3.467E+01, 0.000E+00, 1.442E-02, 0.000E+00, 0.000E+00
 8.000E+01, 5.794E+02, 0.000E+00,-3.374E+02,-2.068E+02, 9.895E+00, 0.000E+00, 0.000E+00,-6.093E+00, 3.908E+01, 3.891E+01, 0.000E+00, 1.449E-02, 0.000E+00, 0.000E+00
 9.001E+01, 5.755E+02, 0.000E+00,-3.254E+02,-2.101E+02, 6.634E+00, 0.000E+00, 0.000E+00,-6.166E+00, 4.091E+01, 4.042E+01, 0.000E+00, 1.439E-02, 0.000E+00, 0.000E+00
 1.000E+02, 5.620E+02, 0.000E+00,-3.239E+02,-2.196E+02, 6.020E+00, 0.000E+00, 0.000E+00,-6.121E+00, 1.886E+01, 1.843E+01, 0.000E+00, 1.438E-02, 0.000E+00, 0.000E+00
 1.100E+02, 6.040E+02, 0.000E+00,-3.462E+02,-2.252E+02, 6.750E+00, 0.000E+00, 0.000E+00,-6.089E+00, 3.357E+01, 3.322E+01, 0.000E+00, 1.440E-02, 0.000E+00, 0.000E+00
 1.200E+02, 5.940E+02, 0.000E+00,-3.545E+02,-2.251E+02, 8.499E+00, 0.000E+00, 0.000E+00,-6.051E+00, 1.762E+01, 1.682E+01, 0.000E+00, 1.457E-02, 0.000E+00, 0.000E+00
 1.300E+02, 5.835E+02, 0.000E+00,-3.538E+02,-2.290E+02, 9.175E+00, 0.000E+00, 0.000E+00,-6.091E+00, 4.629E+00, 3.787E+00, 0.000E+00, 1.434E-02, 0.000E+00, 0.000E+00
 1.400E+02, 5.821E+02, 0.000E+00,-3.447E+02,-2.247E+02, 1.067E+01, 0.000E+00, 0.000E+00,-6.143E+00, 1.776E+01, 1.715E+01, 0.000E+00, 1.456E-02, 0.000E+00, 0.000E+00
 1.500E+02, 5.981E+02, 0.000E+00,-3.525E+02,-2.338E+02, 9.599E+00, 0.000E+00, 0.000E+00,-6.109E+00, 1.613E+01, 1.528E+01, 0.000E+00, 1.454E-02, 0.000E+00, 0.000E+00
 1.600E+02, 5.687E+02, 0.000E+00,-3.353E+02,-2.414E+02, 1.070E+01, 0.000E+00, 0.000E+00,-6.090E+00,-2.623E+00,-3.457E+00, 0.000E+00, 1.439E-02, 0.000E+00, 0.000E+00
 1.700E+02, 5.687E+02, 0.000E+00,-3.325E+02,-2.305E+02, 1.231E+01, 0.000E+00, 0.000E+00,-6.191E+00, 1.265E+01, 1.183E+01, 0.000E+00, 1.457E-02, 0.000E+00, 0.000E+00
 1.800E+02, 5.872E+02, 0.000E+00,-3.408E+02,-2.479E+02, 1.205E+01, 0.000E+00, 0.000E+00,-6.128E+00, 4.740E+00, 4.305E+00, 0.000E+00, 1.438E-02, 0.000E+00, 0.000E+00
 1.900E+02, 5.875E+02, 0.000E+00,-3.380E+02,-2.503E+02, 1.107E+01, 0.000E+00, 0.000E+00,-6.122E+00, 5.029E+00, 4.271E+00, 0.000E+00, 1.448E-02, 0.000E+00, 0.000E+00
 2.000E+02, 5.892E+02, 0.000E+00,-3.373E+02,-2.486E+02, 1.169E+01, 0.000E+00, 0.000E+00,-6.184E+00, 9.577E+00, 8.822E+00, 0.000E+00, 1.449E-02, 0.000E+00, 0.000E+00
 2.100E+02, 5.989E+02, 0.000E+00,-3.396E+02,-2.541E+02, 1.265E+01, 0.000E+00, 0.000E+00,-6.186E+00, 1.238E+01, 1.167E+01, 0.000E+00, 1.454E-02, 0.000E+00, 0.000E+00
 2.200E+02, 5.880E+02, 0.000E+00,-3.334E+02,-2.600E+02, 1.240E+01, 0.000E+00, 0.000E+00,-6.116E+00, 1.610E+00, 8.926E-01, 0.000E+00, 1.443E-02, 0.000E+00, 0.000E+00
 2.300E+02, 6.123E+02, 0.000E+00,-3.504E+02,-2.619E+02, 1.326E+01, 0.000E+00, 0.000E+00,-6.106E+00, 7.714E+00, 7.195E+00, 0.000E+00, 1.444E-02, 0.000E+00, 0.000E+00
 2.400E+02, 5.898E+02, 0.000E+00,-3.350E+02,-2.556E+02, 1.305E+01, 0.000E+00, 0.000E+00,-6.169E+00, 6.896E+00, 6.085E+00, 0.000E+00, 1.458E-02, 0.000E+00, 0.000E+00
 2.500E+02, 5.797E+02, 0.000E+00,-3.223E+02,-2.657E+02, 1.388E+01, 0.000E+00, 0.000E+00,-6.041E+00, 3.111E-01,-5.118E-01, 0.000E+00, 1.438E-02, 0.000E+00, 0.000E+00
 2.600E+02, 5.777E+02, 0.000E+00,-3.192E+02,-2.641E+02, 1.434E+01, 0.000E+00, 0.000E+00,-6.066E+00, 3.358E+00, 2.687E+00, 0.000E+00, 1.443E-02, 0.000E+00, 0.000E+00
 2.700E+02, 5.880E+02, 0.000E+00,-3.258E+02,-2.689E+02, 1.442E+01, 0.000E+00, 0.000E+00,-6.048E+00, 2.112E+00, 1.632E+00, 0.000E+00, 1.443E-02, 0.000E+00, 0.000E+00
 2.800E+02, 6.079E+02, 0.000E+00,-3.384E+02,-2.811E+02, 1.375E+01, 0.000E+00, 0.000E+00,-6.052E+00,-3.006E+00,-3.846E+00, 0.000E+00, 1.464E-02, 0.000E+00, 0.000E+00
 2.900E+02, 5.937E+02, 0.000E+00,-3.235E+02,-2.653E+02, 1.513E+01, 0.000E+00, 0.000E+00,-6.742E+00, 1.397E+01, 1.333E+01, 0.000E+00, 1.602E-02, 0.000E+00, 0.000E+00
 3.000E+02, 6.587E+02, 0.000E+00,-3.610E+02,-2.878E+02, 1.416E+01, 0.000E+00, 0.000E+00,-8.030E+00, 1.678E+01, 1.594E+01, 0.000E+00, 1.898E-02, 0.000E+00, 0.000E+00
 3.100E+02, 7.344E+02, 0.000E+00,-4.091E+02,-3.109E+02, 1.385E+01, 0.000E+00, 0.000E+00,-9.378E+00, 1.982E+01, 1.897E+01, 0.000E+00, 2.203E-02, 0.000E+00, 0.000E+00
 3.200E+02, 8.013E+02, 0.000E+00,-4.494E+02,-3.101E+02, 1.356E+01, 0.000E+00, 0.000E+00,-1.067E+01, 4.550E+01, 4.463E+01, 0.000E+00, 2.496E-02, 0.000E+00, 0.000E+00
 3.300E+02, 8.597E+02, 0.000E+00,-4.771E+02,-3.584E+02, 1.295E+01, 0.000E+00, 0.000E+00,-1.212E+01, 2.648E+01, 2.502E+01, 0.000E+00, 2.796E-02, 0.000E+00, 0.000E+00
 3.400E+02, 9.727E+02, 0.000E+00,-4.881E+02,-4.523E+02, 1.432E+01, 0.000E+00, 0.000E+00,-1.391E+01, 3.373E+01, 3.270E+01, 0.000E+00, 3.109E-02, 0.000E+00, 0.000E+00
 3.500E+02, 9.928E+02, 0.000E+00,-4.762E+02,-4.851E+02, 1.427E+01, 0.000E+00, 0.000E+00,-1.537E+01, 3.160E+01, 3.043E+01, 0.000E+00, 3.380E-02, 0.000E+00, 0.000E+00
