s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 5.217E-14, 4.518E-10, 1.952E-06, 4.225E-04, 7.703E-02, 6.778E-01, 1.319E+00, 2.636E-01, 2.634E-01
 1.199E+02, 1.377E-07, 4.854E-05, 7.645E-03, 1.412E-01, 1.152E+00, 2.846E+00, 3.708E+00, 2.659E-01, 2.651E-01
 1.799E+02, 6.706E-05, 5.979E-03, 2.003E-01, 1.007E+00, 2.954E+00, 4.623E+00, 5.220E+00, 2.678E-01, 2.632E-01
 2.399E+02, 2.296E-03, 7.542E-02, 8.707E-01, 2.391E+00, 4.538E+00, 5.967E+00, 6.480E+00, 2.703E-01, 2.608E-01
 2.999E+02, 1.855E-02, 3.088E-01, 1.879E+00, 3.786E+00, 5.861E+00, 7.134E+00, 7.625E+00, 2.726E-01, 2.585E-01
 3.599E+02, 7.369E-02, 7.199E-01, 2.979E+00, 5.059E+00, 7.031E+00, 8.235E+00, 8.735E+00, 2.748E-01, 2.563E-01
 4.199E+02, 1.864E-01, 1.253E+00, 4.068E+00, 6.224E+00, 8.115E+00, 9.301E+00, 9.800E+00, 2.768E-01, 2.543E-01
 4.799E+02, 3.638E-01, 1.861E+00, 5.129E+00, 7.321E+00, 9.141E+00, 1.031E+01, 1.084E+01, 2.786E-01, 2.524E-01
 5.399E+02, 6.028E-01, 2.519E+00, 6.171E+00, 8.387E+00, 1.015E+01, 1.126E+01, 1.180E+01, 2.806E-01, 2.505E-01
 5.999E+02, 8.946E-01, 3.245E+00, 7.229E+00, 9.437E+00, 1.109E+01, 1.219E+01, 1.269E+01, 2.825E-01, 2.485E-01
 6.599E+02, 1.250E+00, 4.050E+00, 8.277E+00, 1.048E+01, 1.201E+01, 1.304E+01, 1.347E+01, 2.845E-01, 2.466E-01
 7.199E+02, 1.667E+00, 4.918E+00, 9.372E+00, 1.152E+01, 1.289E+01, 1.378E+01, 1.416E+01, 2.864E-01, 2.447E-01
 7.799E+02, 2.168E+00, 5.852E+00, 1.043E+01, 1.234E+01, 1.373E+01, 1.454E+01, 1.488E+01, 2.881E-01, 2.430E-01
 8.399E+02, 2.743E+00, 6.748E+00, 1.131E+01, 1.321E+01, 1.460E+01, 1.529E+01, 1.557E+01, 2.898E-01, 2.412E-01
 8.999E+02, 3.374E+00, 7.582E+00, 1.211E+01, 1.414E+01, 1.537E+01, 1.599E+01, 1.630E+01, 2.917E-01, 2.394E-01
