s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 5.029E-14, 4.419E-10, 1.899E-06, 4.053E-04, 7.196E-02, 6.602E-01, 1.335E+00, 4.258E-01, 4.258E-01
 1.199E+02, 1.172E-07, 4.140E-05, 6.758E-03, 1.327E-01, 1.132E+00, 2.841E+00, 3.741E+00, 4.292E-01, 4.285E-01
 1.799E+02, 6.008E-05, 5.569E-03, 1.939E-01, 9.934E-01, 2.925E+00, 4.620E+00, 5.259E+00, 4.308E-01, 4.269E-01
 2.399E+02, 2.182E-03, 7.310E-02, 8.586E-01, 2.369E+00, 4.531E+00, 5.972E+00, 6.504E+00, 4.324E-01, 4.253E-01
 2.999E+02, 1.789E-02, 3.014E-01, 1.866E+00, 3.781E+00, 5.866E+00, 7.131E+00, 7.641E+00, 4.340E-01, 4.237E-01
 3.599E+02, 7.173E-02, 7.111E-01, 2.976E+00, 5.076E+00, 7.031E+00, 8.231E+00, 8.730E+00, 4.355E-01, 4.222E-01
 4.199E+02, 1.839E-01, 1.249E+00, 4.077E+00, 6.239E+00, 8.117E+00, 9.283E+00, 9.786E+00, 4.368E-01, 4.208E-01
 4.799E+02, 3.623E-01, 1.863E+00, 5.133E+00, 7.328E+00, 9.139E+00, 1.032E+01, 1.083E+01, 4.381E-01, 4.196E-01
 5.399E+02, 6.038E-01, 2.523E+00, 6.162E+00, 8.368E+00, 1.014E+01, 1.129E+01, 1.182E+01, 4.394E-01, 4.183E-01
 5.999E+02, 9.025E-01, 3.223E+00, 7.181E+00, 9.404E+00, 1.111E+01, 1.222E+01, 1.271E+01, 4.407E-01, 4.170E-01
 6.599E+02, 1.250E+00, 3.993E+00, 8.212E+00, 1.043E+01, 1.202E+01, 1.309E+01, 1.355E+01, 4.420E-01, 4.157E-01
 7.199E+02, 1.654E+00, 4.820E+00, 9.235E+00, 1.145E+01, 1.293E+01, 1.389E+01, 1.428E+01, 4.433E-01, 4.144E-01
 7.799E+02, 2.124E+00, 5.695E+00, 1.030E+01, 1.242E+01, 1.375E+01, 1.464E+01, 1.500E+01, 4.445E-01, 4.132E-01
 8.399E+02, 2.670E+00, 6.603E+00, 1.126E+01, 1.321E+01, 1.459E+01, 1.538E+01, 1.571E+01, 4.455E-01, 4.122E-01
 8.999E+02, 3.281E+00, 7.457E+00, 1.207E+01, 1.409E+01, 1.543E+01, 1.613E+01, 1.642E+01, 4.468E-01, 4.109E-01
