Time, Height, T_lower, T_upper
0.000000, 1.877746, 26.999405, 26.999405
20.043225, 2.643570, 26.997434, 26.997521
40.001152, 3.601529, 27.785058, 32.225572
60.019133, 3.443500, 28.471753, 60.522760
80.007540, 3.416718, 28.749855, 62.589015
100.019430, 3.012190, 29.088681, 54.713190
120.006830, 2.606446, 29.407534, 59.465594
140.017990, 2.593369, 29.646361, 65.021002
160.001680, 2.457120, 29.598256, 67.985192
180.016440, 2.466966, 29.720824, 73.200155
200.019690, 2.204665, 29.948090, 76.303741
220.015850, 2.195058, 30.069306, 79.344839
240.019880, 2.128791, 30.245575, 81.551003
260.008830, 2.028650, 30.386796, 84.527475
280.005350, 1.983078, 30.595449, 86.981511
300.007730, 1.919048, 31.033902, 89.168978
320.011850, 1.915922, 31.704194, 91.088849
340.004650, 1.841185, 31.839509, 93.820128
360.009540, 1.820743, 32.298602, 97.460681
380.016210, 1.787077, 32.909183, 99.280497
400.005710, 1.774463, 33.025910, 99.581167
420.012510, 1.719939, 33.276847, 102.797851
440.001640, 1.707500, 33.359144, 103.673741
460.014730, 1.683292, 33.003804, 106.476238
480.006320, 1.615628, 33.355498, 105.277526
500.008390, 1.647718, 34.150725, 108.824657
520.006230, 1.613478, 33.927352, 109.571282
540.015290, 1.569510, 34.473025, 108.674987
560.011030, 1.602645, 35.206457, 112.266682
580.007240, 1.569117, 35.902564, 112.076351
600.015300, 1.568573, 35.608837, 114.896384
620.013250, 1.600160, 36.718808, 117.003128
640.018080, 1.553479, 36.444725, 116.442141
660.002900, 1.559129, 36.984351, 117.095848
680.002730, 1.539072, 37.131233, 118.347464
700.011210, 1.535408, 37.059927, 119.403055
720.014650, 1.529936, 37.685027, 119.838304
740.021990, 1.541736, 38.957803, 120.962623
760.000830, 1.500118, 37.993112, 119.904857
780.011160, 1.516685, 38.971339, 121.864508
800.012990, 1.485217, 38.718264, 122.454029
820.008610, 1.509367, 39.283024, 123.545471
840.012140, 1.468501, 39.286718, 123.112570
860.002000, 1.507816, 40.281372, 125.576965
880.002930, 1.512263, 40.586095, 126.015727
900.015120, 1.493669, 40.167346, 125.556169
920.001760, 1.456440, 40.122942, 125.320771
940.009780, 1.465358, 40.247981, 126.291733
960.021140, 1.482932, 41.230147, 126.569267
980.015410, 1.491038, 42.179885, 127.565070
1000.018200, 1.464407, 41.415300, 127.317545
1020.003900, 1.482142, 42.460459, 129.297825
1040.002900, 1.464134, 41.934745, 129.800191
1060.016900, 1.440337, 42.087820, 129.209940
1080.007600, 1.431469, 41.579805, 129.429219
1100.004900, 1.428153, 41.395343, 129.325295
1120.019900, 1.454532, 42.666243, 131.949109
1140.004100, 1.456726, 43.033959, 131.676776
1160.015200, 1.458506, 43.445843, 132.448223
1180.017000, 1.429557, 43.004206, 130.852945
1200.009100, 1.409947, 42.834379, 130.974205
1220.015500, 1.437416, 43.621432, 132.233080
1240.019300, 1.447128, 44.395321, 132.285131
1260.002100, 1.475672, 45.066776, 134.846935
1280.019000, 1.454519, 44.189899, 133.610914
1300.007500, 1.448294, 44.603197, 133.966805
1320.012700, 1.447862, 44.317633, 134.338557
1340.000400, 1.473920, 45.243401, 135.759739
1360.021300, 1.431085, 44.108508, 134.909071
1380.005500, 1.405072, 44.082131, 134.634138
1400.021600, 1.415612, 44.367503, 135.589368
1420.006800, 1.395308, 44.244709, 134.331902
1440.011700, 1.404749, 44.590218, 135.044430
1460.006100, 1.400779, 44.795799, 136.187902
1480.004200, 1.464298, 46.627643, 137.239596
1500.021800, 1.391865, 44.102584, 135.582689
1520.001100, 1.439065, 46.221018, 137.017047
1540.011400, 1.387268, 45.567045, 134.975020
1560.010400, 1.406235, 46.303673, 136.155500
1580.006100, 1.421664, 46.446052, 137.645020
1600.004000, 1.392693, 46.055484, 137.227280
1620.008500, 1.391356, 46.373553, 137.031715
1640.018100, 1.371098, 45.774924, 136.165328
1660.014000, 1.400172, 46.016177, 138.092798
1680.021300, 1.405852, 45.314109, 138.202858
1700.001100, 1.397599, 45.396541, 138.038623
1720.003100, 1.393628, 47.196081, 138.605202
1740.019400, 1.406796, 47.127702, 139.644575
1760.003600, 1.436355, 48.490092, 138.958142
1780.022100, 1.428154, 47.944361, 139.885534
1800.024100, 1.426536, 47.089060, 139.036170
1820.012400, 1.389001, 46.061445, 139.318197
1840.019100, 1.370107, 45.811106, 139.057321
1860.001200, 1.378199, 47.374162, 138.935985
1880.021100, 1.379586, 47.483524, 138.787758
1900.015600, 1.362569, 46.927892, 138.235975
1920.017300, 1.349352, 46.773756, 137.715412
1940.012200, 1.334611, 46.444114, 138.342534
1960.004800, 1.335785, 47.239417, 139.622089
1980.021700, 1.364512, 47.315238, 139.339995
2000.001100, 1.347449, 47.300698, 138.669845
2020.014500, 1.335511, 46.323031, 138.964687
2040.007700, 1.361396, 48.326141, 140.476686
2060.016400, 1.358226, 48.316317, 139.125498
2080.006000, 1.319709, 46.776751, 140.357595
2100.009800, 1.331872, 47.334077, 139.448767
2120.019200, 1.335979, 48.347714, 139.101467
2140.017200, 1.360227, 48.456488, 140.866157
2160.014400, 1.349244, 47.331685, 140.814870
2180.018400, 1.313968, 46.904760, 139.784205
2200.010400, 1.338289, 47.259958, 141.137186
2220.017100, 1.339536, 47.942207, 141.444536
2240.002400, 1.382182, 49.650863, 142.161858
2260.008200, 1.380120, 50.160361, 142.929036
2280.012400, 1.364897, 49.053111, 141.002583
2300.020600, 1.375786, 49.078133, 141.586446
2320.017800, 1.363119, 47.900239, 142.328000
2340.002900, 1.379106, 48.625084, 141.945978
2360.014900, 1.351733, 48.671752, 141.579516
2380.017200, 1.382183, 50.418300, 142.772553
2400.015500, 1.321186, 48.540997, 141.333814
2420.006100, 1.352237, 48.518117, 142.486204
2440.017500, 1.325250, 48.037817, 141.769602
2460.022100, 1.302375, 48.392126, 141.288870
2480.010300, 1.353414, 49.488283, 142.390134
2500.013700, 1.357173, 50.571533, 143.093711
2520.007200, 1.371277, 49.394181, 143.185542
2540.002000, 1.340885, 49.139001, 142.190640
2560.022300, 1.320196, 49.156058, 143.006012
2580.002700, 1.382031, 51.265232, 143.947350
2600.014100, 1.319693, 48.920068, 142.825046
2620.018500, 1.312263, 48.101215, 142.403495
2640.016900, 1.299088, 48.505872, 141.420681
2660.010600, 1.344980, 50.391696, 144.443133
2680.005100, 1.349166, 49.962144, 144.177878
2700.006100, 1.363495, 50.978590, 144.159618
2720.015000, 1.367613, 50.692814, 143.696011
2740.007100, 1.388111, 51.686202, 144.930970
2760.007200, 1.390895, 51.372542, 145.519764
2780.018100, 1.349648, 50.426559, 144.417368
2800.004600, 1.354599, 51.075002, 143.494740
2820.004100, 1.327970, 49.783452, 143.470925
2840.019200, 1.310111, 47.935782, 144.260094
2860.013300, 1.340702, 49.745871, 143.728979
2880.006700, 1.335616, 49.646745, 143.520852
2900.012900, 1.322881, 50.171203, 143.409993
2920.009700, 1.324337, 50.080771, 143.846228
2940.016700, 1.299057, 48.156588, 144.102797
2960.012500, 1.342760, 51.487128, 145.364746
2980.004600, 1.369149, 51.364937, 145.576563
3000.008600, 1.334496, 50.759023, 144.499830
