s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_PRODUCTS 3,MLR_PRODUCTS 4,MLR_PRODUCTS 5,MLR_PROPANE,MLR_PRODUCTS 6,MLR_WATER VAPOR,MLR_Gas1,MLR_Gas2,MLR_Gas3,MLR_Gas4,MLR_Gas5
 0.000E+00, 0.000E+00, 0.000E+00,-2.169E-03, 2.088E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-2.169E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 5.530E+00, 0.000E+00,-1.587E+00,-7.964E-01,-5.874E-01, 2.508E-02, 0.000E+00, 0.000E+00, 2.583E+00, 2.585E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.219E-04, 0.000E+00, 9.967E-06, 2.006E-10, 5.467E-16, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 1.658E+01, 0.000E+00,-4.736E+00,-8.149E+00,-2.188E+00, 2.145E-01, 0.000E+00, 0.000E+00, 1.742E+00, 1.726E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.656E-04, 0.000E+00, 1.443E-04, 1.751E-06, 4.109E-08, 1.561E-11, 2.841E-15, 1.930E-19
 3.000E+01, 2.976E+01, 0.000E+00,-8.586E+00,-1.590E+01,-3.563E+00, 5.245E-01, 0.000E+00, 0.000E+00, 2.273E+00, 2.239E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.389E-04, 0.000E+00, 3.653E-04, 3.937E-05, 2.600E-05, 8.821E-06, 6.641E-09, 1.248E-12
 4.000E+01, 5.243E+01, 0.000E+00,-1.576E+01,-2.987E+01,-5.255E+00, 1.051E+00, 0.000E+00, 0.000E+00, 2.715E+00, 2.602E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.418E-04, 0.000E+00, 7.535E-04, 1.345E-04, 3.461E-04, 2.512E-04, 8.447E-07, 5.190E-10
 5.000E+01, 7.956E+01, 0.000E+00,-2.495E+01,-4.749E+01,-6.387E+00, 1.705E+00, 0.000E+00, 0.000E+00, 2.632E+00, 2.444E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.143E-03, 0.000E+00, 1.171E-03, 2.631E-04, 9.828E-04, 7.408E-04, 5.411E-06, 6.456E-09
 6.000E+01, 1.079E+02, 0.000E+00,-3.478E+01,-6.581E+01,-7.805E+00, 2.444E+00, 0.000E+00, 0.000E+00, 2.193E+00, 1.923E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.241E-03, 0.000E+00, 1.469E-03, 4.305E-04, 1.837E-03, 1.411E-03, 1.605E-05, 2.915E-08
 7.000E+01, 1.417E+02, 0.000E+00,-4.627E+01,-8.660E+01,-1.009E+01, 3.312E+00, 0.000E+00, 0.000E+00, 2.459E+00, 2.041E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.314E-03, 0.000E+00, 1.880E-03, 6.492E-04, 2.935E-03, 2.254E-03, 3.440E-05, 8.525E-08
 8.000E+01, 1.912E+02, 0.000E+00,-6.416E+01,-1.179E+02,-1.272E+01, 4.675E+00, 0.000E+00, 0.000E+00, 1.810E+00, 1.128E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.360E-03, 0.000E+00, 2.498E-03, 9.230E-04, 4.641E-03, 3.599E-03, 6.293E-05, 1.933E-07
