cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 5.0000000E-001, 6.6843372E+002, 6.5784398E+002,-1.2411397E-002, 8.4599048E+001, 1.1762196E+002, 9.2720241E-002, 1.1025319E-003, 2.8889340E-002, 4.9952080E-002, 4.2081088E-001, 1.1459881E-001, 3.9416903E-002, 3.4181670E-001, 4.1569065E-002, 1.1072436E-003
 1.5000000E+000, 7.9855945E+002, 7.9944116E+002, 8.4942664E-002, 8.3801068E+001, 1.3147469E+002, 1.3080146E-001, 2.4663664E-003, 3.5254307E-002, 5.9442123E-002, 2.9803997E-001, 1.3775268E-001, 4.6904867E-002, 4.1606365E-001, 5.3318984E-002, 1.4253507E-003
 2.5000000E+000, 8.8370692E+002, 8.9140907E+002, 8.4942664E-002, 9.7164448E+001, 1.6277613E+002, 1.3080146E-001, 4.5818062E-003, 3.8976724E-002, 6.2793891E-002, 2.3472909E-001, 1.4824922E-001, 4.9548557E-002, 4.5678529E-001, 5.8644364E-002, 1.5788110E-003
 3.5000000E+000, 9.4128763E+002, 9.5483635E+002, 4.4762249E-001, 1.0656247E+002, 1.8351328E+002, 1.9731379E-001, 7.3231900E-003, 4.1694481E-002, 6.3359677E-002, 1.9544071E-001, 1.5330856E-001, 4.9993445E-002, 4.8446515E-001, 6.0562810E-002, 1.6458557E-003
 4.5000000E+000, 9.8196347E+002, 1.0005844E+003, 6.4969774E-001, 1.1029629E+002, 1.9248391E+002, 2.4195097E-001, 9.7289301E-003, 4.3830265E-002, 6.3116483E-002, 1.6799079E-001, 1.5632880E-001, 4.9800047E-002, 5.0476773E-001, 6.1304871E-002, 1.6809418E-003
 5.5000000E+000, 1.0176468E+003, 1.0410920E+003, 8.5287635E-001, 1.1254525E+002, 2.0002406E+002, 2.8743921E-001, 1.1585122E-002, 4.5867230E-002, 6.2468296E-002, 1.4670521E-001, 1.5861959E-001, 4.9286983E-002, 5.2103380E-001, 6.1419208E-002, 1.7003920E-003
 6.5000000E+000, 1.0479498E+003, 1.0760896E+003, 1.0528943E+000, 1.1347982E+002, 2.0502436E+002, 3.3461310E-001, 1.3721716E-002, 4.7719582E-002, 6.1270841E-002, 1.2929465E-001, 1.5986231E-001, 4.8340406E-002, 5.3539517E-001, 6.0794267E-002, 1.7011226E-003
 7.5000000E+000, 1.0718849E+003, 1.1037637E+003, 1.2434446E+000, 1.1236038E+002, 2.0742771E+002, 3.8404015E-001, 1.6279614E-002, 4.9388696E-002, 5.9498852E-002, 1.1524433E-001, 1.6002653E-001, 4.6940370E-002, 5.4830144E-001, 5.9418816E-002, 1.6827576E-003
 8.5000000E+000, 1.0897909E+003, 1.1242172E+003, 1.4234727E+000, 1.0787889E+002, 2.0543982E+002, 4.3648812E-001, 1.9153406E-002, 5.0683489E-002, 5.7609877E-002, 1.0355391E-001, 1.5945273E-001, 4.5448223E-002, 5.5986661E-001, 5.7835556E-002, 1.6566959E-003
 9.5000000E+000, 1.1050484E+003, 1.1404925E+003, 1.5929343E+000, 1.0378669E+002, 2.0736894E+002, 4.8988185E-001, 2.2158730E-002, 5.1707560E-002, 5.5729329E-002, 9.3407648E-002, 1.5847322E-001, 4.3962908E-002, 5.7042138E-001, 5.6198541E-002, 1.6273802E-003
 1.0500000E+001, 1.1186312E+003, 1.1544676E+003, 1.7524235E+000, 1.0112391E+002, 2.1209179E+002, 5.4438812E-001, 2.5347900E-002, 5.2635509E-002, 5.3651953E-002, 8.4498356E-002, 1.5707325E-001, 4.2322266E-002, 5.8043723E-001, 5.4296275E-002, 1.5910780E-003
 1.1500000E+001, 1.1295304E+003, 1.1652025E+003, 1.9008565E+000, 9.9082713E+001, 2.1679857E+002, 5.9880247E-001, 2.8687096E-002, 5.3385932E-002, 5.1530885E-002, 7.6627960E-002, 1.5533974E-001, 4.0647246E-002, 5.8985888E-001, 5.2309456E-002, 1.5514513E-003
 1.2500000E+001, 1.1383044E+003, 1.1730586E+003, 2.0390245E+000, 9.8005440E+001, 2.2349841E+002, 6.5321475E-001, 3.2104579E-002, 5.4028226E-002, 4.9351403E-002, 6.9666824E-002, 1.5335840E-001, 3.8926181E-002, 5.9875866E-001, 5.0224753E-002, 1.5086748E-003
 1.3500000E+001, 1.1445483E+003, 1.1779905E+003, 2.1669096E+000, 9.7216421E+001, 2.2983279E+002, 7.0505962E-001, 3.5559073E-002, 5.4442211E-002, 4.7315233E-002, 6.3444980E-002, 1.5122370E-001, 3.7318408E-002, 6.0700272E-001, 4.8271048E-002, 1.4672542E-003
 1.4500000E+001, 1.1490046E+003, 1.1805329E+003, 2.2851603E+000, 9.7215016E+001, 2.3740528E+002, 7.5656941E-001, 3.9064709E-002, 5.4698102E-002, 4.5347926E-002, 5.7817454E-002, 1.4894088E-001, 3.5765105E-002, 6.1478289E-001, 4.6366019E-002, 1.4258100E-003
 1.5500000E+001, 1.1520106E+003, 1.1812899E+003, 2.3936701E+000, 9.7553079E+001, 2.4529616E+002, 8.0872946E-001, 4.2678358E-002, 5.4893886E-002, 4.3298712E-002, 5.2719679E-002, 1.4645251E-001, 3.4147177E-002, 6.2234330E-001, 4.4348547E-002, 1.3812630E-003
 1.6500000E+001, 1.1530448E+003, 1.1797700E+003, 2.4942263E+000, 9.8227899E+001, 2.5299876E+002, 8.5676003E-001, 4.6415405E-002, 5.4966683E-002, 4.1244244E-002, 4.8080347E-002, 1.4376836E-001, 3.2525183E-002, 6.2965235E-001, 4.2309906E-002, 1.3353053E-003
 1.7500000E+001, 1.1524186E+003, 1.1760345E+003, 2.5868617E+000, 9.9760050E+001, 2.6168451E+002, 9.0093702E-001, 5.0266576E-002, 5.4895666E-002, 3.9227192E-002, 4.3828275E-002, 1.4091555E-001, 3.0932823E-002, 6.3670573E-001, 4.0296608E-002, 1.2889042E-003
 1.8500000E+001, 1.1502437E+003, 1.1701014E+003, 2.6704874E+000, 1.0273626E+002, 2.7227300E+002, 9.4520342E-001, 5.4251381E-002, 5.4687080E-002, 3.7234806E-002, 3.9904542E-002, 1.3788633E-001, 2.9360027E-002, 6.4356779E-001, 3.8296663E-002, 1.2418409E-003
 1.9500000E+001, 1.1464307E+003, 1.1621223E+003, 2.7446265E+000, 1.0735925E+002, 2.8387754E+002, 9.9074611E-001, 5.8365468E-002, 5.4339863E-002, 3.5272936E-002, 3.6299368E-002, 1.3468713E-001, 2.7811413E-002, 6.5023650E-001, 3.6319586E-002, 1.1943145E-003
