s,kg/m2/s
Time,"MLRPUA"
 0.0000000E+000, 0.0000000E+000
 2.0007447E+000, 9.4191658E-003
 4.0007981E+000, 1.1742977E-002
 6.0002956E+000, 1.1988520E-002
 8.0003630E+000, 1.2668779E-002
 1.0000139E+001, 1.3087747E-002
 1.2000389E+001, 1.3702831E-002
 1.4000066E+001, 1.4210700E-002
 1.6000305E+001, 1.4609907E-002
 1.8000122E+001, 1.4668948E-002
 2.0000490E+001, 1.4444787E-002
 2.2000343E+001, 1.4756749E-002
 2.4000536E+001, 1.5136025E-002
 2.6000653E+001, 1.5257555E-002
 2.8000036E+001, 1.5343524E-002
 3.0000575E+001, 1.5467627E-002
 3.2000834E+001, 1.5548809E-002
 3.4000389E+001, 1.5142888E-002
 3.6000624E+001, 1.5372820E-002
 3.8000623E+001, 1.5609913E-002
 4.0000612E+001, 1.5662871E-002
 4.2000499E+001, 1.5741031E-002
 4.4000705E+001, 1.5626457E-002
 4.6000355E+001, 1.5864722E-002
 4.8000441E+001, 1.5619804E-002
 5.0000232E+001, 1.6095074E-002
 5.2000055E+001, 1.6327005E-002
 5.4000022E+001, 1.6418499E-002
 5.6000831E+001, 1.6080106E-002
 5.8000021E+001, 1.6356643E-002
 6.0000000E+001, 1.6308004E-002
