cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 9.7369225E+002, 1.7070692E+002,-9.5000000E+000, 1.2036999E+003, 1.7645512E+002, 9.6466130E+002, 2.6061180E+002, 7.3885551E+002, 2.3038430E+002, 6.0323704E+002, 1.6996365E+002, 5.2052476E+002, 1.1593023E+002, 5.2000000E+001, 1.0000000E-001, 2.0010355E+000, 1.1559544E+001, 8.8723136E+000, 6.8253107E+000, 0.0000000E+000, 7.7929929E-001
 2.5000000E+000, 1.0548686E+003, 1.5761270E+002,-7.4655172E+000, 1.2285196E+003, 1.4432996E+002, 1.0395150E+003, 2.4297159E+002, 7.7934907E+002, 2.3524645E+002, 6.1984421E+002, 1.7432765E+002, 5.3041309E+002, 1.2029744E+002, 5.6480000E+001, 2.9900000E-001, 2.9207093E+000, 1.0516633E+001, 8.1999526E+000, 6.3670113E+000, 4.5000000E+000, 7.4404044E-001
 4.5000000E+000, 1.1199412E+003, 1.5148644E+002,-5.4310345E+000, 1.2347314E+003, 1.2929330E+002, 1.0940378E+003, 2.2445314E+002, 8.1439842E+002, 2.3601536E+002, 6.3634915E+002, 1.7875911E+002, 5.4058396E+002, 1.2441137E+002, 6.0960000E+001, 4.9800000E-001, 2.8365659E+000, 8.9903955E+000, 7.0616373E+000, 5.5518407E+000, 9.0000000E+000, 7.9794934E-001
 6.5000000E+000, 1.1580931E+003, 1.4170348E+002,-3.3965517E+000, 1.2362205E+003, 1.1993805E+002, 1.1355421E+003, 2.0228811E+002, 8.4252622E+002, 2.3477462E+002, 6.5299365E+002, 1.8407645E+002, 5.4722858E+002, 1.2665855E+002, 6.5440000E+001, 6.9700000E-001, 2.5055892E+000, 8.2600615E+000, 6.5909576E+000, 5.2294940E+000, 1.3500000E+001, 9.1841049E-001
 8.5000000E+000, 1.1859015E+003, 1.3438279E+002,-1.3620690E+000, 1.2414562E+003, 1.1273111E+002, 1.1664107E+003, 1.8896575E+002, 8.6303122E+002, 2.3287781E+002, 6.6250779E+002, 1.8645868E+002, 5.4981695E+002, 1.2563437E+002, 6.9920000E+001, 8.9600000E-001, 2.2218413E+000, 7.5995507E+000, 6.1546725E+000, 4.9287498E+000, 1.8000000E+001, 1.0366120E+000
 1.0500000E+001, 1.2015480E+003, 1.2609186E+002, 6.7241379E-001, 1.2451589E+003, 1.1370092E+002, 1.1698156E+003, 1.8955470E+002, 8.6825300E+002, 2.3052012E+002, 6.6306677E+002, 1.8617053E+002, 5.5039043E+002, 1.2330927E+002, 7.4400000E+001, 1.0950000E+000, 1.9781949E+000, 7.0024206E+000, 5.7506701E+000, 4.6479921E+000, 2.2500000E+001, 1.1007501E+000
 1.2500000E+001, 1.2147229E+003, 1.2163135E+002, 2.7068966E+000, 1.2469817E+003, 1.1523832E+002, 1.1439692E+003, 1.9547711E+002, 8.5097729E+002, 2.2498086E+002, 6.5756265E+002, 1.8382141E+002, 5.4934317E+002, 1.2245128E+002, 7.8880000E+001, 1.2940000E+000, 1.7682747E+000, 6.4625082E+000, 5.3767544E+000, 4.3857434E+000, 2.7000000E+001, 1.1010751E+000
 1.4500000E+001, 1.2230872E+003, 1.1941358E+002, 4.7413793E+000, 1.2487436E+003, 1.2131110E+002, 1.0931998E+003, 2.1031814E+002, 8.2000356E+002, 2.1982081E+002, 6.4869585E+002, 1.7904922E+002, 5.4520075E+002, 1.2053692E+002, 8.3360000E+001, 1.4930000E+000, 1.5866593E+000, 5.9740362E+000, 5.0307562E+000, 4.1406481E+000, 3.1500000E+001, 1.0597372E+000
 1.6500000E+001, 1.2309425E+003, 1.1831755E+002, 6.7758621E+000, 1.2444748E+003, 1.3574987E+002, 1.0175200E+003, 2.2722178E+002, 7.8152229E+002, 2.1705639E+002, 6.3429433E+002, 1.7403629E+002, 5.3861690E+002, 1.1880994E+002, 8.7840000E+001, 1.6920000E+000, 1.4288293E+000, 5.5316697E+000, 4.7105940E+000, 3.9114728E+000, 3.6000000E+001, 9.6585428E-001
 1.8500000E+001, 1.2387107E+003, 1.1591549E+002, 8.8103448E+000, 1.2168644E+003, 1.6508169E+002, 9.3393202E+002, 2.3408598E+002, 7.4146719E+002, 2.1662535E+002, 6.1489888E+002, 1.6952565E+002, 5.3095976E+002, 1.1792695E+002, 9.2320000E+001, 1.8910000E+000, 1.1702582E+000, 4.7662273E+000, 4.1400367E+000, 3.4964831E+000, 4.0500000E+001, 9.4447311E-001
 2.0500000E+001, 1.2451589E+003, 1.1370092E+002, 1.0844828E+001, 1.1497111E+003, 2.0023212E+002, 8.5898779E+002, 2.4917458E+002, 7.0414550E+002, 2.1677810E+002, 5.9672004E+002, 1.6720161E+002, 5.2173533E+002, 1.1658913E+002, 9.6800000E+001, 2.0900000E+000, 1.0639042E+000, 4.4347809E+000, 3.8860903E+000, 3.3086845E+000, 4.5000000E+001, 9.4172453E-001
 2.2500000E+001, 1.2499982E+003, 1.1187438E+002, 1.2879310E+001, 1.0736269E+003, 2.2050728E+002, 7.9775327E+002, 2.6244425E+002, 6.6972921E+002, 2.1726402E+002, 5.7871567E+002, 1.6454229E+002, 5.1215354E+002, 1.1557774E+002, 1.0128000E+002, 2.2890000E+000, 9.6989065E-001, 4.1326568E+000, 3.6508783E+000, 3.1328086E+000, 4.9500000E+001, 9.5088718E-001
 2.4500000E+001, 1.2537400E+003, 1.1172860E+002, 1.4913793E+001, 1.0052712E+003, 2.3152902E+002, 7.4012515E+002, 2.5787996E+002, 6.3730590E+002, 2.1149637E+002, 5.6104016E+002, 1.5904460E+002, 5.0187165E+002, 1.1399316E+002, 1.0576000E+002, 2.4880000E+000, 8.8647083E-001, 3.8567074E+000, 3.4329397E+000, 2.9680222E+000, 5.4000000E+001, 9.6413839E-001
 2.6500000E+001, 1.2561743E+003, 1.1286055E+002, 1.6948276E+001, 9.4115353E+002, 2.3798656E+002, 6.9245855E+002, 2.5233528E+002, 6.1012640E+002, 2.0618138E+002, 5.4397156E+002, 1.5556214E+002, 4.9126283E+002, 1.1023492E+002, 1.1024000E+002, 2.6870000E+000, 8.1218547E-001, 3.6041410E+000, 3.2309287E+000, 2.8135431E+000, 5.8500000E+001, 9.7510981E-001
 2.8500000E+001, 1.2573727E+003, 1.1534955E+002, 1.8982759E+001, 8.7574820E+002, 2.4349869E+002, 6.5311125E+002, 2.4261797E+002, 5.8704958E+002, 2.0113868E+002, 5.2549636E+002, 1.4641576E+002, 4.8152769E+002, 1.0752785E+002, 1.1472000E+002, 2.8860000E+000, 7.4580995E-001, 3.3724916E+000, 3.0436056E+000, 2.6686382E+000, 6.3000000E+001, 9.6540401E-001
 3.0500000E+001, 1.2571844E+003, 1.1859436E+002, 2.1017241E+001, 8.1667484E+002, 2.5155702E+002, 6.2154727E+002, 2.3098428E+002, 5.6541184E+002, 1.9495807E+002, 5.0710036E+002, 1.3842029E+002, 4.7152109E+002, 1.0351582E+002, 1.1920000E+002, 3.0850000E+000, 6.8631245E-001, 3.1595826E+000, 2.8698270E+000, 2.5326220E+000, 6.7500000E+001, 9.6282261E-001
 3.2500000E+001, 1.2562488E+003, 1.2246064E+002, 2.3051724E+001, 7.6977181E+002, 2.5667474E+002, 5.9699600E+002, 2.2427027E+002, 5.4286152E+002, 1.8327805E+002, 4.8907977E+002, 1.3122931E+002, 4.6070945E+002, 9.6975809E+001, 1.2368000E+002, 3.2840000E+000, 6.3281913E-001, 2.9634987E+000, 2.7085378E+000, 2.4048567E+000, 7.2000000E+001, 9.5422661E-001
 3.4500000E+001, 1.2543065E+003, 1.2692212E+002, 2.5086207E+001, 7.2846294E+002, 2.6199061E+002, 5.7697884E+002, 2.1722729E+002, 5.2236371E+002, 1.7263168E+002, 4.7315699E+002, 1.2198859E+002, 4.4951510E+002, 8.9975778E+001, 1.2816000E+002, 3.4830000E+000, 5.4098329E-001, 2.6152690E+000, 2.4195979E+000, 2.1717584E+000, 7.6500000E+001, 9.2681595E-001
