cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 6.4774404E+002, 6.4115714E+002, 4.9232264E-003, 6.0684549E+001, 7.0441616E+001, 2.3997434E-004, 3.4897861E-004, 3.7431369E-002, 4.5249547E-002, 2.8144179E-001, 1.2323546E-001, 4.0132200E-002, 4.5419648E-001, 4.1525714E-002, 6.4219306E-003
 1.2550505E+000, 7.7202188E+002, 7.7159549E+002,-3.3797954E-002, 6.1760020E+001, 7.7008066E+001, 7.6882580E-002, 8.0604574E-004, 4.2161872E-002, 5.0204340E-002, 1.9521841E-001, 1.3762494E-001, 4.4525132E-002, 5.0950765E-001, 4.8606450E-002, 7.5244451E-003
 2.2601010E+000, 8.3960256E+002, 8.4222352E+002, 4.7022259E-002, 8.0163118E+001, 1.0218818E+002, 1.0099793E-001, 1.4480808E-003, 4.4687254E-002, 5.1818038E-002, 1.5614489E-001, 1.4370366E-001, 4.5953478E-002, 5.3561394E-001, 5.1393815E-002, 7.9706954E-003
 3.2651515E+000, 8.8631208E+002, 8.9129812E+002, 1.9921855E-001, 9.3765431E+001, 1.2105415E+002, 1.1932423E-001, 2.1437217E-003, 4.6614005E-002, 5.2178272E-002, 1.3283064E-001, 1.4698522E-001, 4.6269065E-002, 5.5215286E-001, 5.2458946E-002, 8.1565543E-003
 4.2702020E+000, 9.2236660E+002, 9.2976513E+002, 3.8173078E-001, 1.0419944E+002, 1.3565820E+002, 1.4412735E-001, 3.1195257E-003, 4.8270866E-002, 5.1860983E-002, 1.1636367E-001, 1.4883513E-001, 4.5983055E-002, 5.6480461E-001, 5.2593229E-002, 8.2022781E-003
 5.2752525E+000, 9.4889253E+002, 9.5821979E+002, 5.7636361E-001, 1.0575824E+002, 1.3965139E+002, 1.7739807E-001, 4.4675794E-003, 4.9559048E-002, 5.1244834E-002, 1.0391801E-001, 1.4970789E-001, 4.5432276E-002, 5.7509485E-001, 5.2291583E-002, 8.1789305E-003
 6.2803030E+000, 9.7180680E+002, 9.8294824E+002, 7.7404192E-001, 1.0594050E+002, 1.4172427E+002, 2.1689277E-001, 6.0024535E-003, 5.0697501E-002, 5.0435503E-002, 9.3551958E-002, 1.5007234E-001, 4.4710140E-002, 5.8421761E-001, 5.1711971E-002, 8.1128101E-003
 7.2853535E+000, 9.9204563E+002, 1.0045484E+003, 9.7125184E-001, 1.0547865E+002, 1.4419996E+002, 2.5885855E-001, 7.8399476E-003, 5.1675046E-002, 4.9450329E-002, 8.4661322E-002, 1.4994214E-001, 4.3832085E-002, 5.9261999E-001, 5.0891417E-002, 8.0092449E-003
 8.2904040E+000, 1.0107642E+003, 1.0243103E+003, 1.1644008E+000, 1.0697496E+002, 1.5009473E+002, 3.0120708E-001, 9.8636611E-003, 5.2545940E-002, 4.8337176E-002, 7.6915382E-002, 1.4946595E-001, 4.2840526E-002, 6.0043642E-001, 4.9890665E-002, 7.8778014E-003
 9.2954545E+000, 1.0282095E+003, 1.0427518E+003, 1.3520936E+000, 1.0871788E+002, 1.5657216E+002, 3.4250018E-001, 1.1988912E-002, 5.3401632E-002, 4.7069136E-002, 7.0147889E-002, 1.4872850E-001, 4.1711328E-002, 6.0779971E-001, 4.8689147E-002, 7.7166556E-003
 1.0300505E+001, 1.0435799E+003, 1.0588277E+003, 1.5314064E+000, 1.0894581E+002, 1.6197336E+002, 3.8205192E-001, 1.4311389E-002, 5.4098894E-002, 4.5768718E-002, 6.4105474E-002, 1.4772188E-001, 4.0553729E-002, 6.1474619E-001, 4.7432794E-002, 7.5452257E-003
 1.1305556E+001, 1.0570025E+003, 1.0726155E+003, 1.7017390E+000, 1.0891596E+002, 1.6784409E+002, 4.2046062E-001, 1.6845500E-002, 5.4685875E-002, 4.4389679E-002, 5.8694222E-002, 1.4644175E-001, 3.9326511E-002, 6.2141459E-001, 4.6072078E-002, 7.3569877E-003
 1.2310606E+001, 1.0679306E+003, 1.0835732E+003, 1.8608057E+000, 1.0873790E+002, 1.7369075E+002, 4.6029601E-001, 1.9706265E-002, 5.5133653E-002, 4.2907767E-002, 5.3826474E-002, 1.4481188E-001, 3.8008185E-002, 6.2793836E-001, 4.4586834E-002, 7.1486545E-003
 1.3315657E+001, 1.0763740E+003, 1.0915901E+003, 2.0085662E+000, 1.0899697E+002, 1.8024558E+002, 5.0330373E-001, 2.2807136E-002, 5.5388576E-002, 4.1434216E-002, 4.9430910E-002, 1.4292897E-001, 3.6697756E-002, 6.3418262E-001, 4.3099661E-002, 6.9374103E-003
 1.4320707E+001, 1.0830679E+003, 1.0973785E+003, 2.1431683E+000, 1.1109708E+002, 1.8931163E+002, 5.5099997E-001, 2.6108308E-002, 5.5536862E-002, 3.9913510E-002, 4.5418442E-002, 1.4082659E-001, 3.5345667E-002, 6.4027932E-001, 4.1549536E-002, 6.7155191E-003
 1.5325758E+001, 1.0881109E+003, 1.1013104E+003, 2.2667367E+000, 1.1402967E+002, 1.9853965E+002, 6.0143817E-001, 2.9444009E-002, 5.5592675E-002, 3.8421303E-002, 4.1807164E-002, 1.3863956E-001, 3.4019133E-002, 6.4605581E-001, 4.0021440E-002, 6.4954679E-003
 1.6330808E+001, 1.0928522E+003, 1.1050669E+003, 2.3796630E+000, 1.1713057E+002, 2.0733511E+002, 6.5391665E-001, 3.2759110E-002, 5.5669102E-002, 3.6887619E-002, 3.8469768E-002, 1.3641629E-001, 3.2655681E-002, 6.5168773E-001, 3.8444486E-002, 6.2684503E-003
 1.7335859E+001, 1.0960280E+003, 1.1070816E+003, 2.4862787E+000, 1.1991776E+002, 2.1543292E+002, 7.0243775E-001, 3.6130478E-002, 5.5675530E-002, 3.5359350E-002, 3.5430869E-002, 1.3410429E-001, 3.1297211E-002, 6.5711348E-001, 3.6869357E-002, 6.0406748E-003
 1.8340909E+001, 1.0976415E+003, 1.1072944E+003, 2.5856435E+000, 1.2238384E+002, 2.2322510E+002, 7.4599053E-001, 3.9546004E-002, 5.5577579E-002, 3.3883461E-002, 3.2646440E-002, 1.3172840E-001, 2.9985552E-002, 6.6229365E-001, 3.5346690E-002, 5.8190864E-003
