s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=20","CO2Rear_FDS_RI=20","CORear_FDS_RI=20","UHRear_FDS_RI=20","H2ORear_FDS_RI=20","O2Front_FDS_RI=20","CO2Front_FDS_RI=20","COFront_FDS_RI=20","UHFront_FDS_RI=20","H2OFront_FDS_RI=20","TRSampA_FDS_RI=20","TRSampBB_FDS_RI=20","TFSampA_FDS_RI=20","TFSampBB_FDS_RI=20","ITER_RI=20"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999650E+001, 2.0000000E+001, 1.9999717E+001, 0.0000000E+000
 1.0004063E+001, 1.7705661E-001, 1.4243683E-002, 5.7961356E-005, 7.2997462E-005, 3.6002959E-002, 1.9235231E-001, 7.3558808E-003, 2.8737049E-005, 2.8763083E-005, 2.2192701E-002, 1.2372516E+002, 6.9809116E+001, 1.3531348E+002, 8.9969494E+001, 0.0000000E+000
 2.0002021E+001, 1.3782722E-001, 3.1960720E-002, 9.3404531E-005, 1.1602493E-004, 7.1409368E-002, 1.4554631E-001, 2.8470435E-002, 9.0795325E-005, 9.8725728E-005, 6.4447229E-002, 4.5072146E+002, 3.5507435E+002, 4.0490195E+002, 3.1824082E+002, 0.0000000E+000
 3.0003204E+001, 1.1458405E-001, 4.2476264E-002, 9.7783927E-005, 1.4818243E-004, 9.2374797E-002, 1.0312352E-001, 4.7019372E-002, 5.5864905E-004, 1.4255377E-003, 1.0277864E-001, 4.7078617E+002, 4.4648600E+002, 5.1167079E+002, 4.7609504E+002, 0.0000000E+000
 4.0003113E+001, 9.7354908E-002, 5.0237221E-002, 1.2607213E-004, 2.2727588E-004, 1.0792183E-001, 1.1381179E-001, 4.2778963E-002, 1.3768024E-004, 1.6401269E-004, 9.3095642E-002, 5.5065248E+002, 5.0388943E+002, 5.3127716E+002, 5.0220871E+002, 2.9220320E-002
 5.0000462E+001, 9.7587791E-002, 5.0085543E-002, 1.5658709E-004, 3.4869849E-004, 1.0770882E-001, 1.2251814E-001, 3.8877603E-002, 1.0384030E-004, 1.4316782E-004, 8.5222212E-002, 4.8454588E+002, 4.7319215E+002, 4.8014516E+002, 4.6609347E+002, 0.0000000E+000
 6.0007044E+001, 9.4927484E-002, 5.1253332E-002, 1.8282129E-004, 4.2068670E-004, 1.1011263E-001, 1.2116618E-001, 3.9475242E-002, 1.1592103E-004, 1.5067805E-004, 8.6448657E-002, 5.1550475E+002, 4.8137168E+002, 5.0600385E+002, 4.8537901E+002, 0.0000000E+000
 7.0002128E+001, 9.8984488E-002, 4.9520196E-002, 1.0712236E-004, 2.3581545E-004, 1.0643710E-001, 1.0314580E-001, 4.7405191E-002, 2.6186257E-004, 8.1405651E-004, 1.0267551E-001, 5.1480731E+002, 4.9283876E+002, 5.4186769E+002, 5.1133700E+002, 0.0000000E+000
 8.0001871E+001, 9.7507563E-002, 5.0160228E-002, 1.2535788E-004, 3.1926773E-004, 1.0776563E-001, 1.1622352E-001, 4.1719304E-002, 1.0956568E-004, 1.6140560E-004, 9.0901212E-002, 5.2378452E+002, 5.0382151E+002, 5.1677065E+002, 5.2020183E+002, 0.0000000E+000
 9.0002900E+001, 9.9273669E-002, 4.9380384E-002, 1.1259291E-004, 2.6386800E-004, 1.0617446E-001, 1.1111133E-001, 4.3984155E-002, 1.4418554E-004, 2.7039534E-004, 9.5515465E-002, 5.5478643E+002, 5.2087491E+002, 5.6883212E+002, 5.3764880E+002, 0.0000000E+000
 1.0000293E+002, 8.9861982E-002, 5.3360963E-002, 3.0194683E-004, 9.5096666E-004, 1.1466003E-001, 1.1788167E-001, 4.0912276E-002, 1.5445898E-004, 2.1579662E-004, 8.9425341E-002, 5.3723001E+002, 5.2197010E+002, 5.6370123E+002, 5.4328989E+002, 0.0000000E+000
 1.1000046E+002, 9.4028493E-002, 5.1708423E-002, 1.4805703E-004, 3.3117995E-004, 1.1091743E-001, 1.2188589E-001, 3.9018055E-002, 2.1692405E-004, 3.2271309E-004, 8.5834685E-002, 5.3582109E+002, 5.0896473E+002, 5.8287068E+002, 5.5548722E+002, 0.0000000E+000
 1.2000000E+002, 9.1018214E-002, 5.3094617E-002, 1.3393354E-004, 2.5529470E-004, 1.1363834E-001, 1.1785267E-001, 4.0963737E-002, 1.2667471E-004, 1.4513703E-004, 8.9446354E-002, 5.8699820E+002, 5.5233729E+002, 5.3364988E+002, 5.2972210E+002, 0.0000000E+000
