s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,O2Rear_FDS_RI=10,CO2Rear_FDS_RI=10,CORear_FDS_RI=10,UHRear_FDS_RI=10,H2ORear_FDS_RI=10,O2Front_FDS_RI=10,CO2Front_FDS_RI=10,COFront_FDS_RI=10,UHFront_FDS_RI=10,H2OFront_FDS_RI=10,TRSampA_FDS_RI=10,TRSampBB_FDS_RI=10,TFSampA_FDS_RI=10,TFSampBB_FDS_RI=10,ITER_RI=10
 0.0000000E+000, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000
 1.0004578E+001, 1.2629309E-001, 3.4565787E-002, 2.0992840E-003, 2.3569713E-003, 8.3774588E-002, 1.0959334E-001, 3.8138370E-002, 5.2397338E-003, 6.6410386E-003, 1.0020425E-001, 4.3539213E+002, 2.6483404E+002, 5.7109012E+002, 4.4255913E+002, 7.7412009E-001
 2.0008834E+001, 9.4618848E-003, 7.5759906E-002, 1.0198927E-002, 2.8450301E-002, 1.8969909E-001, 8.5867259E-003, 6.4100588E-002, 1.6321965E-002, 8.2129378E-002, 1.8425009E-001, 8.1379457E+002, 7.5798051E+002, 9.3435341E+002, 8.8386783E+002, 1.0000000E+000
 3.0008698E+001, 2.0536527E-006, 6.6936605E-002, 1.7414045E-002, 8.0058545E-002, 1.9316791E-001, 4.1055034E-003, 6.0739424E-002, 2.0893606E-002, 8.3946982E-002, 1.9115656E-001, 7.2490675E+002, 7.1633636E+002, 1.0601131E+003, 9.5524278E+002, 1.0000000E+000
 4.0008118E+001, 1.7098637E-006, 6.4769372E-002, 1.9636140E-002, 7.6145704E-002, 1.9550431E-001, 4.2398728E-003, 5.7390081E-002, 2.1349832E-002, 1.1327446E-001, 1.8559028E-001, 7.5311671E+002, 7.4543927E+002, 1.0408297E+003, 9.8829249E+002, 1.0000000E+000
 5.0005394E+001, 1.1216796E-005, 6.5426613E-002, 1.9982637E-002, 6.4944377E-002, 1.9794260E-001, 4.4722581E-003, 5.6798825E-002, 2.0548521E-002, 1.2811755E-001, 1.8189712E-001, 7.9284324E+002, 7.8039450E+002, 1.1068752E+003, 1.0303066E+003, 1.0000000E+000
 6.0003771E+001, 1.0455336E-005, 6.1584815E-002, 2.0822881E-002, 9.5493221E-002, 1.9252875E-001, 5.4080379E-003, 6.0123150E-002, 1.9952002E-002, 9.5617450E-002, 1.8702340E-001, 8.2048417E+002, 8.1562357E+002, 1.0684689E+003, 1.0257158E+003, 1.0000000E+000
 7.0009961E+001, 4.2050675E-006, 6.1740978E-002, 2.0724128E-002, 9.5063011E-002, 1.9254935E-001, 3.3461827E-003, 6.0091884E-002, 1.9534381E-002, 1.1089360E-001, 1.8558428E-001, 8.4146264E+002, 8.3577921E+002, 1.1075662E+003, 1.0344785E+003, 1.0000000E+000
 8.0001779E+001, 7.9615984E-006, 6.2510864E-002, 2.1217575E-002, 8.0918068E-002, 1.9567525E-001, 5.8473179E-003, 5.8900170E-002, 2.1023808E-002, 9.3503879E-002, 1.8779858E-001, 8.7280905E+002, 8.6602493E+002, 1.1262249E+003, 1.0666075E+003, 1.0000000E+000
 9.0003539E+001, 6.1360341E-007, 6.0894054E-002, 2.2366864E-002, 8.4183428E-002, 1.9585010E-001, 5.2164206E-004, 5.6778769E-002, 2.3394411E-002, 1.1286093E-001, 1.9046579E-001, 8.8263987E+002, 8.8104868E+002, 1.1549802E+003, 1.0885522E+003, 1.0000000E+000
 1.0000377E+002, 1.0594745E-006, 6.1737829E-002, 2.2282324E-002, 7.6262948E-002, 1.9734753E-001, 1.3352862E-004, 5.4099005E-002, 2.4425232E-002, 1.3064973E-001, 1.8804463E-001, 8.8697023E+002, 8.8810321E+002, 1.1316611E+003, 1.0857462E+003, 1.0000000E+000
 1.1000730E+002, 3.1194109E-006, 6.0243472E-002, 2.2917346E-002, 8.4406374E-002, 1.9619211E-001, 1.4614277E-003, 5.9019158E-002, 2.1335814E-002, 1.0951322E-001, 1.8882526E-001, 9.0071302E+002, 8.9781532E+002, 1.1427361E+003, 1.0801729E+003, 1.0000000E+000
 1.2000000E+002, 3.2307481E-005, 6.3912789E-002, 2.1099409E-002, 6.7375323E-002, 1.9823295E-001, 2.6272360E-003, 5.9505156E-002, 2.1096552E-002, 1.0166384E-001, 1.8914884E-001, 9.1198192E+002, 9.1187999E+002, 1.0812886E+003, 1.0619044E+003, 1.0000000E+000
