s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00, 0.000E+00,-1.626E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.626E-09, 0.000E+00, 0.000E+00
 8.001E+01, 1.806E+01,-7.015E+00,-9.899E-01,-1.645E-01, 1.732E-02, 0.000E+00, 0.000E+00, 0.000E+00, 9.886E+00, 9.912E+00, 4.303E-04, 4.303E-04
 1.600E+02, 2.681E+01,-1.055E+01,-1.119E+01, 2.547E-01, 2.340E-02, 0.000E+00, 0.000E+00, 0.000E+00, 5.339E+00, 5.352E+00, 6.179E-04, 6.179E-04
 2.401E+02, 2.693E+01,-1.092E+01,-1.537E+01, 9.552E-01, 2.375E-02, 0.000E+00, 0.000E+00, 0.000E+00, 1.604E+00, 1.621E+00, 6.155E-04, 6.155E-04
 3.201E+02, 2.678E+01,-1.091E+01,-1.687E+01, 1.660E+00, 2.392E-02, 0.000E+00, 0.000E+00, 0.000E+00, 6.781E-01, 6.892E-01, 6.131E-04, 6.131E-04
 4.000E+02, 2.685E+01,-1.086E+01,-1.762E+01, 2.141E+00, 2.382E-02, 0.000E+00, 0.000E+00, 0.000E+00, 5.413E-01, 5.364E-01, 6.268E-04, 6.268E-04
 4.800E+02, 5.340E+01,-2.130E+01,-2.718E+01, 3.024E+00, 3.398E-02, 0.000E+00, 0.000E+00, 0.000E+00, 7.996E+00, 7.978E+00, 1.308E-03, 1.308E-03
 5.600E+02, 9.106E+01,-4.184E+01,-5.001E+01, 6.822E+00, 2.273E-02, 0.000E+00, 0.000E+00, 0.000E+00, 6.267E+00, 6.058E+00, 2.340E-03, 2.340E-03
 6.400E+02, 1.335E+02,-6.490E+01,-7.732E+01, 1.258E+01, 9.625E-03, 0.000E+00, 0.000E+00, 0.000E+00, 4.363E+00, 3.900E+00, 3.214E-03, 3.214E-03
 7.200E+02, 1.437E+02,-6.791E+01,-9.138E+01, 1.497E+01, 8.861E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.627E-01,-6.562E-01, 3.307E-03, 3.307E-03
 8.000E+02, 1.449E+02,-6.723E+01,-9.284E+01, 1.598E+01, 8.801E-03, 0.000E+00, 0.000E+00, 0.000E+00, 1.213E+00, 7.726E-01, 3.295E-03, 3.295E-03
 8.800E+02, 1.409E+02,-6.665E+01,-9.216E+01, 1.676E+01, 8.119E-03, 0.000E+00, 0.000E+00, 0.000E+00,-4.235E-01,-1.096E+00, 3.283E-03, 3.283E-03
 9.600E+02, 1.443E+02,-6.686E+01,-9.493E+01, 1.727E+01, 8.326E-03, 0.000E+00, 0.000E+00, 0.000E+00, 2.534E-01,-2.343E-01, 3.270E-03, 3.270E-03
 1.040E+03, 1.436E+02,-6.598E+01,-9.528E+01, 1.738E+01, 8.943E-03, 0.000E+00, 0.000E+00, 0.000E+00, 2.801E-01,-3.160E-01, 3.258E-03, 3.258E-03
 1.120E+03, 1.389E+02,-6.414E+01,-9.340E+01, 1.761E+01, 7.496E-03, 0.000E+00, 0.000E+00, 0.000E+00,-5.180E-01,-1.026E+00, 3.246E-03, 3.246E-03
 1.200E+03, 1.442E+02,-6.706E+01,-9.459E+01, 1.808E+01, 8.548E-03, 0.000E+00, 0.000E+00, 0.000E+00, 1.171E+00, 6.315E-01, 3.233E-03, 3.233E-03
 1.280E+03, 1.396E+02,-6.454E+01,-9.474E+01, 1.803E+01, 8.525E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.038E+00,-1.684E+00, 3.221E-03, 3.221E-03
 1.360E+03, 1.408E+02,-6.499E+01,-9.399E+01, 1.806E+01, 8.802E-03, 0.000E+00, 0.000E+00, 0.000E+00, 5.439E-01,-7.038E-02, 3.209E-03, 3.209E-03
 1.440E+03, 1.397E+02,-6.416E+01,-9.463E+01, 1.809E+01, 8.685E-03, 0.000E+00, 0.000E+00, 0.000E+00,-5.046E-01,-1.028E+00, 3.197E-03, 3.197E-03
 1.520E+03, 1.389E+02,-6.359E+01,-9.387E+01, 1.804E+01, 8.534E-03, 0.000E+00, 0.000E+00, 0.000E+00, 3.762E-02,-5.076E-01, 3.184E-03, 3.184E-03
 1.600E+03, 1.389E+02,-6.491E+01,-9.270E+01, 1.828E+01, 8.159E-03, 0.000E+00, 0.000E+00, 0.000E+00, 2.113E-01,-4.192E-01, 3.172E-03, 3.172E-03
 1.680E+03, 1.375E+02,-6.317E+01,-9.326E+01, 1.822E+01, 8.504E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.643E-01,-7.244E-01, 3.160E-03, 3.160E-03
 1.760E+03, 1.371E+02,-6.349E+01,-9.251E+01, 1.804E+01, 8.110E-03, 0.000E+00, 0.000E+00, 0.000E+00,-3.422E-01,-8.647E-01, 3.147E-03, 3.147E-03
 1.840E+03, 1.365E+02,-6.466E+01,-9.051E+01, 1.838E+01, 8.123E-03, 0.000E+00, 0.000E+00, 0.000E+00, 4.380E-01,-2.613E-01, 3.135E-03, 3.135E-03
 1.920E+03, 1.382E+02,-6.561E+01,-9.177E+01, 1.835E+01, 8.716E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.214E-01,-8.130E-01, 3.168E-03, 3.168E-03
