s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03,-4.462E-06,-6.886E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.004E+01, 2.009E-01, 4.329E-03, 1.878E-11, 3.140E-12, 3.960E-12, 8.755E-03, 1.999E-01, 4.929E-03, 3.019E-11, 5.645E-12, 6.367E-12, 9.183E-03, 7.608E-01, 6.185E-01, 8.276E+01, 9.292E+01, 2.243E+01, 9.194E+01, 2.296E+01, 8.610E+01, 4.712E+01, 4.283E+01, 6.101E+01, 2.005E+01, 2.000E+01, 7.185E+01, 2.000E+01, 2.000E+01, 2.000E+01, 7.506E+01, 6.710E+01, 2.000E+01, 2.000E+01, 6.148E+01, 5.298E+01, 4.832E+01, 3.203E+01, 2.107E+01, 2.259E+01, 2.000E+01, 2.126E+01, 2.000E+01, 2.120E+01, 1.501E-06,-7.998E-01,-1.241E-06,-4.011E-01,-1.312E-01, 5.349E-06, 4.185E-03, 5.247E-06, 5.968E-02
 1.600E+02, 1.814E-01, 1.588E-02, 5.222E-11, 4.380E-12, 1.102E-11, 1.701E-02, 1.807E-01, 1.629E-02, 6.928E-10, 6.077E-11, 1.462E-10, 1.730E-02, 1.953E+00, 2.032E+00, 2.366E+02, 2.590E+02, 3.597E+01, 2.473E+02, 4.252E+01, 2.485E+02, 1.043E+02, 1.029E+02, 1.649E+02, 2.252E+01, 2.000E+01, 2.286E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.293E+02, 2.180E+02, 2.000E+01, 2.000E+01, 2.120E+02, 1.701E+02, 1.632E+02, 5.952E+01, 2.038E+01, 2.504E+01, 2.000E+01, 2.376E+01, 2.000E+01, 2.310E+01,-1.077E-05,-2.080E+00,-7.293E-06,-1.052E+00, 6.419E-02, 5.703E-07, 4.597E-01, 6.304E-07, 6.331E-01
 2.400E+02, 1.743E-01, 2.008E-02, 1.966E-11, 1.658E-12, 4.149E-12, 2.001E-02, 1.769E-01, 1.850E-02, 6.440E-09, 4.828E-10, 1.359E-09, 1.888E-02, 2.605E+00, 3.034E+00, 2.812E+02, 2.926E+02, 4.170E+01, 2.864E+02, 6.202E+01, 2.889E+02, 1.311E+02, 1.414E+02, 2.099E+02, 3.083E+01, 2.000E+01, 2.739E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.695E+02, 2.582E+02, 2.000E+01, 2.000E+01, 2.459E+02, 1.774E+02, 1.804E+02, 6.787E+01, 2.043E+01, 2.696E+01, 2.000E+01, 2.544E+01, 2.000E+01, 2.443E+01, 3.244E-06,-2.334E+00, 1.615E-06,-9.587E-01, 1.392E-01, 1.477E-06, 5.441E-01, 1.557E-06, 7.725E-01
 3.200E+02, 1.709E-01, 2.208E-02, 3.149E-11, 2.542E-12, 6.648E-12, 2.144E-02, 1.764E-01, 1.883E-02, 5.660E-09, 5.603E-10, 1.195E-09, 1.912E-02, 2.978E+00, 3.427E+00, 2.974E+02, 3.050E+02, 4.909E+01, 2.986E+02, 7.212E+01, 2.960E+02, 1.479E+02, 1.585E+02, 2.285E+02, 4.055E+01, 2.000E+01, 2.838E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.749E+02, 2.652E+02, 2.000E+01, 2.000E+01, 2.613E+02, 1.901E+02, 1.879E+02, 7.005E+01, 2.048E+01, 2.788E+01, 2.000E+01, 2.625E+01, 2.000E+01, 2.510E+01,-3.481E-07,-2.453E+00,-3.997E-06,-1.105E+00, 1.715E-01, 2.808E-06, 5.931E-01, 2.630E-06, 8.283E-01
 4.000E+02, 1.698E-01, 2.274E-02, 4.801E-11, 4.152E-12, 1.014E-11, 2.191E-02, 1.760E-01, 1.905E-02, 6.592E-09, 5.799E-10, 1.391E-09, 1.927E-02, 3.399E+00, 3.937E+00, 3.091E+02, 3.107E+02, 5.562E+01, 3.108E+02, 7.617E+01, 3.004E+02, 1.621E+02, 1.741E+02, 2.439E+02, 4.859E+01, 2.000E+01, 2.908E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.830E+02, 2.721E+02, 2.000E+01, 2.000E+01, 2.599E+02, 1.970E+02, 1.936E+02, 6.954E+01, 2.048E+01, 2.890E+01, 2.000E+01, 2.706E+01, 2.000E+01, 2.575E+01,-6.670E-06,-2.454E+00,-1.171E-06,-1.106E+00, 1.248E-01,-1.146E-06, 5.790E-01,-1.102E-06, 8.176E-01
 4.800E+02, 1.558E-01, 3.103E-02, 5.406E-08, 1.459E-09, 1.143E-08, 2.785E-02, 1.606E-01, 2.814E-02, 2.190E-06, 1.072E-07, 4.630E-07, 2.579E-02, 7.888E+00, 1.063E+01, 3.865E+02, 4.303E+02, 7.602E+01, 4.115E+02, 9.595E+01, 4.289E+02, 2.483E+02, 2.851E+02, 3.511E+02, 5.469E+01, 2.000E+01, 3.889E+02, 2.000E+01, 2.000E+01, 2.000E+01, 3.702E+02, 3.514E+02, 2.000E+01, 2.000E+01, 3.492E+02, 3.001E+02, 2.927E+02, 1.386E+02, 2.165E+01, 4.191E+01, 2.000E+01, 3.770E+01, 2.000E+01, 3.394E+01,-3.794E-06,-3.064E+00,-6.566E-06,-1.485E+00,-1.671E-01, 3.950E-06, 5.226E-01, 3.938E-06, 7.787E-01
 5.600E+02, 1.084E-01, 5.907E-02, 5.308E-08, 1.316E-09, 1.124E-08, 4.798E-02, 9.389E-02, 6.566E-02, 1.896E-03, 1.259E-04, 4.123E-04, 5.492E-02, 2.272E+01, 3.464E+01, 5.859E+02, 7.855E+02, 1.491E+02, 5.829E+02, 1.922E+02, 6.926E+02, 4.445E+02, 5.278E+02, 6.433E+02, 6.226E+01, 2.000E+01, 6.842E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.133E+02, 5.804E+02, 2.000E+01, 2.000E+01, 5.252E+02, 4.316E+02, 4.393E+02, 2.545E+02, 2.949E+01, 1.020E+02, 2.000E+01, 8.401E+01, 2.000E+01, 7.009E+01, 2.897E-06,-4.364E+00,-3.956E-06,-1.969E+00,-4.072E-01, 8.667E-07, 5.997E-01, 9.487E-07, 9.497E-01
 6.400E+02, 7.018E-02, 8.165E-02, 6.164E-09, 7.385E-11, 1.308E-09, 6.426E-02, 5.383E-02, 8.716E-02, 4.009E-03, 3.562E-04, 8.713E-04, 7.283E-02, 4.117E+01, 6.644E+01, 6.983E+02, 9.328E+02, 2.373E+02, 6.971E+02, 3.529E+02, 9.028E+02, 5.884E+02, 7.038E+02, 8.152E+02, 7.737E+01, 2.000E+01, 8.876E+02, 2.000E+01, 2.000E+01, 2.000E+01, 9.382E+02, 8.498E+02, 2.000E+01, 2.000E+01, 7.014E+02, 5.660E+02, 5.843E+02, 3.929E+02, 3.320E+01, 1.918E+02, 2.000E+01, 1.544E+02, 2.000E+01, 1.264E+02,-3.213E-06,-5.208E+00, 9.315E-07,-2.338E+00,-7.274E-01, 1.073E-06, 6.569E-01, 9.810E-07, 1.048E+00
