m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 3.365E+01, 2.750E+00, 9.749E-01, 2.750E+00, 1.313E+01
 2.850E+00, 2.662E+01, 2.850E+00,-2.415E-01, 2.850E+00, 1.328E+01
 2.950E+00, 2.221E+01, 2.950E+00,-6.564E-01, 2.950E+00, 1.232E+01
 3.050E+00, 1.939E+01, 3.050E+00,-8.711E-01, 3.050E+00, 1.142E+01
 3.150E+00, 1.715E+01, 3.150E+00,-8.634E-01, 3.150E+00, 1.054E+01
 3.250E+00, 1.533E+01, 3.250E+00,-9.097E-01, 3.250E+00, 9.779E+00
 3.350E+00, 1.383E+01, 3.350E+00,-8.530E-01, 3.350E+00, 9.059E+00
 3.450E+00, 1.257E+01, 3.450E+00,-7.787E-01, 3.450E+00, 8.402E+00
 3.550E+00, 1.147E+01, 3.550E+00,-7.254E-01, 3.550E+00, 7.811E+00
 3.650E+00, 1.052E+01, 3.650E+00,-6.710E-01, 3.650E+00, 7.270E+00
 3.750E+00, 9.697E+00, 3.750E+00,-6.161E-01, 3.750E+00, 6.770E+00
 3.850E+00, 8.966E+00, 3.850E+00,-5.598E-01, 3.850E+00, 6.308E+00
 3.950E+00, 8.310E+00, 3.950E+00,-5.102E-01, 3.950E+00, 5.882E+00
 4.050E+00, 7.713E+00, 4.050E+00,-4.575E-01, 4.050E+00, 5.490E+00
 4.150E+00, 7.169E+00, 4.150E+00,-4.108E-01, 4.150E+00, 5.131E+00
 4.250E+00, 6.675E+00, 4.250E+00,-3.690E-01, 4.250E+00, 4.801E+00
 4.350E+00, 6.236E+00, 4.350E+00,-3.234E-01, 4.350E+00, 4.497E+00
 4.450E+00, 5.837E+00, 4.450E+00,-2.758E-01, 4.450E+00, 4.215E+00
 4.550E+00, 5.474E+00, 4.550E+00,-2.291E-01, 4.550E+00, 3.953E+00
 4.650E+00, 5.145E+00, 4.650E+00,-1.829E-01, 4.650E+00, 3.710E+00
 4.750E+00, 4.843E+00, 4.750E+00,-1.385E-01, 4.750E+00, 3.486E+00
 4.850E+00, 4.566E+00, 4.850E+00,-9.618E-02, 4.850E+00, 3.277E+00
 4.950E+00, 4.313E+00, 4.950E+00,-5.420E-02, 4.950E+00, 3.083E+00
 5.050E+00, 4.086E+00, 5.050E+00,-1.154E-02, 5.050E+00, 2.903E+00
 5.150E+00, 3.880E+00, 5.150E+00, 3.261E-02, 5.150E+00, 2.735E+00
 5.250E+00, 3.687E+00, 5.250E+00, 7.249E-02, 5.250E+00, 2.580E+00
 5.350E+00, 3.506E+00, 5.350E+00, 1.081E-01, 5.350E+00, 2.435E+00
 5.450E+00, 3.335E+00, 5.450E+00, 1.397E-01, 5.450E+00, 2.301E+00
 5.550E+00, 3.177E+00, 5.550E+00, 1.698E-01, 5.550E+00, 2.175E+00
 5.650E+00, 3.031E+00, 5.650E+00, 1.979E-01, 5.650E+00, 2.058E+00
 5.750E+00, 2.893E+00, 5.750E+00, 2.204E-01, 5.750E+00, 1.949E+00
 5.850E+00, 2.761E+00, 5.850E+00, 2.383E-01, 5.850E+00, 1.847E+00
 5.950E+00, 2.640E+00, 5.950E+00, 2.566E-01, 5.950E+00, 1.752E+00
 6.050E+00, 2.532E+00, 6.050E+00, 2.766E-01, 6.050E+00, 1.663E+00
 6.150E+00, 2.433E+00, 6.150E+00, 2.966E-01, 6.150E+00, 1.580E+00
 6.250E+00, 2.340E+00, 6.250E+00, 3.148E-01, 6.250E+00, 1.502E+00
 6.350E+00, 2.254E+00, 6.350E+00, 3.330E-01, 6.350E+00, 1.430E+00
 6.450E+00, 2.177E+00, 6.450E+00, 3.531E-01, 6.450E+00, 1.362E+00
 6.550E+00, 2.110E+00, 6.550E+00, 3.753E-01, 6.550E+00, 1.298E+00
 6.650E+00, 2.049E+00, 6.650E+00, 3.988E-01, 6.650E+00, 1.239E+00
 6.750E+00, 1.993E+00, 6.750E+00, 4.225E-01, 6.750E+00, 1.183E+00
