m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 7.604E+01, 2.750E+00, 2.167E+00, 2.750E+00, 1.844E+01
 2.850E+00, 7.813E+01, 2.850E+00, 1.958E+00, 2.850E+00, 2.034E+01
 2.950E+00, 8.111E+01, 2.950E+00, 1.941E+00, 2.950E+00, 2.068E+01
 3.050E+00, 8.456E+01, 3.050E+00, 2.030E+00, 3.050E+00, 2.096E+01
 3.150E+00, 8.722E+01, 3.150E+00, 2.004E+00, 3.150E+00, 2.131E+01
 3.250E+00, 8.971E+01, 3.250E+00, 2.021E+00, 3.250E+00, 2.162E+01
 3.350E+00, 9.176E+01, 3.350E+00, 2.042E+00, 3.350E+00, 2.189E+01
 3.450E+00, 9.349E+01, 3.450E+00, 2.080E+00, 3.450E+00, 2.211E+01
 3.550E+00, 9.492E+01, 3.550E+00, 2.140E+00, 3.550E+00, 2.230E+01
 3.650E+00, 9.613E+01, 3.650E+00, 2.228E+00, 3.650E+00, 2.244E+01
 3.750E+00, 9.712E+01, 3.750E+00, 2.333E+00, 3.750E+00, 2.255E+01
 3.850E+00, 9.789E+01, 3.850E+00, 2.448E+00, 3.850E+00, 2.263E+01
 3.950E+00, 9.843E+01, 3.950E+00, 2.567E+00, 3.950E+00, 2.268E+01
 4.050E+00, 9.872E+01, 4.050E+00, 2.690E+00, 4.050E+00, 2.271E+01
 4.150E+00, 9.869E+01, 4.150E+00, 2.803E+00, 4.150E+00, 2.272E+01
 4.250E+00, 9.831E+01, 4.250E+00, 2.898E+00, 4.250E+00, 2.270E+01
 4.350E+00, 9.773E+01, 4.350E+00, 2.973E+00, 4.350E+00, 2.270E+01
 4.450E+00, 9.684E+01, 4.450E+00, 3.028E+00, 4.450E+00, 2.267E+01
 4.550E+00, 9.573E+01, 4.550E+00, 3.063E+00, 4.550E+00, 2.264E+01
 4.650E+00, 9.442E+01, 4.650E+00, 3.078E+00, 4.650E+00, 2.260E+01
 4.750E+00, 9.295E+01, 4.750E+00, 3.077E+00, 4.750E+00, 2.255E+01
 4.850E+00, 9.135E+01, 4.850E+00, 3.073E+00, 4.850E+00, 2.250E+01
 4.950E+00, 8.964E+01, 4.950E+00, 3.065E+00, 4.950E+00, 2.243E+01
 5.050E+00, 8.783E+01, 5.050E+00, 3.057E+00, 5.050E+00, 2.235E+01
 5.150E+00, 8.592E+01, 5.150E+00, 3.043E+00, 5.150E+00, 2.226E+01
 5.250E+00, 8.394E+01, 5.250E+00, 3.028E+00, 5.250E+00, 2.215E+01
 5.350E+00, 8.192E+01, 5.350E+00, 3.012E+00, 5.350E+00, 2.201E+01
 5.450E+00, 7.981E+01, 5.450E+00, 2.987E+00, 5.450E+00, 2.185E+01
 5.550E+00, 7.768E+01, 5.550E+00, 2.953E+00, 5.550E+00, 2.168E+01
 5.650E+00, 7.548E+01, 5.650E+00, 2.902E+00, 5.650E+00, 2.151E+01
 5.750E+00, 7.325E+01, 5.750E+00, 2.857E+00, 5.750E+00, 2.130E+01
 5.850E+00, 7.103E+01, 5.850E+00, 2.809E+00, 5.850E+00, 2.108E+01
 5.950E+00, 6.884E+01, 5.950E+00, 2.778E+00, 5.950E+00, 2.083E+01
 6.050E+00, 6.665E+01, 6.050E+00, 2.754E+00, 6.050E+00, 2.057E+01
 6.150E+00, 6.451E+01, 6.150E+00, 2.736E+00, 6.150E+00, 2.027E+01
 6.250E+00, 6.238E+01, 6.250E+00, 2.721E+00, 6.250E+00, 1.995E+01
 6.350E+00, 6.028E+01, 6.350E+00, 2.702E+00, 6.350E+00, 1.962E+01
 6.450E+00, 5.820E+01, 6.450E+00, 2.686E+00, 6.450E+00, 1.927E+01
