m,kW/m2
Tot_Flux-z,Tot_Flux
 2.000E-02, 5.856E+01
 8.098E-02, 6.912E+01
 1.420E-01, 7.112E+01
 2.029E-01, 7.019E+01
 2.639E-01, 6.889E+01
 3.249E-01, 6.777E+01
 3.859E-01, 6.673E+01
 4.468E-01, 6.567E+01
 5.078E-01, 6.438E+01
 5.688E-01, 6.280E+01
 6.298E-01, 6.090E+01
 6.908E-01, 5.863E+01
 7.517E-01, 5.598E+01
 8.127E-01, 5.304E+01
 8.737E-01, 4.987E+01
 9.347E-01, 4.660E+01
 9.957E-01, 4.329E+01
 1.057E+00, 3.994E+01
 1.118E+00, 3.665E+01
 1.179E+00, 3.349E+01
 1.240E+00, 3.046E+01
 1.301E+00, 2.764E+01
 1.362E+00, 2.499E+01
 1.423E+00, 2.253E+01
 1.483E+00, 2.025E+01
 1.544E+00, 1.820E+01
 1.605E+00, 1.638E+01
 1.666E+00, 1.479E+01
 1.727E+00, 1.339E+01
 1.788E+00, 1.217E+01
 1.849E+00, 1.109E+01
 1.910E+00, 1.014E+01
 1.971E+00, 9.297E+00
 2.032E+00, 8.544E+00
 2.093E+00, 7.868E+00
 2.154E+00, 7.257E+00
 2.215E+00, 6.711E+00
 2.276E+00, 6.229E+00
 2.337E+00, 5.798E+00
 2.398E+00, 5.417E+00
 2.459E+00, 5.070E+00
 2.520E+00, 4.466E+00
 2.581E+00, 4.201E+00
 2.642E+00, 3.959E+00
 2.703E+00, 3.736E+00
 2.764E+00, 3.529E+00
 2.825E+00, 3.338E+00
 2.886E+00, 3.166E+00
 2.947E+00, 3.006E+00
 3.008E+00, 2.857E+00
 3.069E+00, 2.721E+00
 3.130E+00, 2.598E+00
 3.191E+00, 2.485E+00
 3.252E+00, 2.382E+00
 3.313E+00, 2.289E+00
 3.374E+00, 2.204E+00
 3.435E+00, 2.126E+00
 3.496E+00, 2.056E+00
 3.557E+00, 1.994E+00
 3.618E+00, 1.936E+00
 3.679E+00, 1.884E+00
 3.740E+00, 1.833E+00
 3.801E+00, 1.785E+00
 3.862E+00, 1.740E+00
 3.923E+00, 1.697E+00
 3.984E+00, 1.653E+00
 4.045E+00, 1.609E+00
 4.106E+00, 1.565E+00
 4.167E+00, 1.521E+00
 4.228E+00, 1.479E+00
 4.288E+00, 1.440E+00
 4.349E+00, 1.405E+00
 4.410E+00, 1.374E+00
 4.471E+00, 1.346E+00
 4.532E+00, 1.322E+00
 4.593E+00, 1.301E+00
 4.654E+00, 1.281E+00
 4.715E+00, 1.261E+00
 4.776E+00, 1.242E+00
 4.837E+00, 1.225E+00
 4.898E+00, 1.210E+00
 4.959E+00, 1.197E+00
 5.020E+00, 1.184E+00
 5.081E+00, 1.170E+00
 5.142E+00, 1.155E+00
 5.203E+00, 1.138E+00
 5.264E+00, 1.120E+00
 5.325E+00, 1.101E+00
 5.386E+00, 1.082E+00
 5.447E+00, 1.064E+00
 5.508E+00, 1.042E+00
 5.569E+00, 1.028E+00
 5.630E+00, 1.002E+00
