s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-3.0000000E+001, 0.0000000E+000,-1.9460745E-002,-4.4570855E-023, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9460745E-002, 0.0000000E+000, 0.0000000E+000,-5.7286627E-001
-1.4957576E+001, 0.0000000E+000, 2.7264736E-001, 1.6888609E-002, 5.3647821E-001, 0.0000000E+000,-8.2733804E+000, 0.0000000E+000, 0.0000000E+000,-7.4632289E+000,-7.4473662E+000, 0.0000000E+000, 0.0000000E+000,-5.2050939E+002
 6.3242972E-002, 0.0000000E+000, 2.9015168E-001, 2.0369826E-003, 5.3946606E-001, 0.0000000E+000,-1.3455635E-003, 0.0000000E+000, 0.0000000E+000, 8.3016458E-001, 8.3030916E-001, 0.0000000E+000, 0.0000000E+000,-5.2059321E+002
 1.5010184E+001, 7.5199779E+000,-3.8653545E-001, 4.8439585E-002,-1.1174564E-001,-2.7873352E-002, 5.1414432E-002, 0.0000000E+000, 0.0000000E+000, 7.0528847E+000, 7.0936775E+000, 1.8903633E-004, 1.8903633E-004,-5.1740089E+002
 3.0004251E+001, 4.6504031E+001,-1.1786859E+001, 2.4587219E-001,-3.7544671E+000,-1.6695674E-001, 5.7696576E-001, 0.0000000E+000, 0.0000000E+000, 3.1540601E+001, 3.1618586E+001, 1.1701721E-003, 1.1701721E-003,-4.8149246E+002
 4.5001961E+001, 1.1627889E+002,-3.5731410E+001, 5.5464383E-001,-1.0662518E+001,-3.9442136E-001, 1.2821370E+000, 0.0000000E+000, 0.0000000E+000, 7.1243587E+001, 7.1327321E+001, 2.9314327E-003, 2.9314327E-003,-4.0126473E+002
 6.0004932E+001, 1.8721092E+002,-5.8091828E+001, 6.8781608E-001,-2.0153547E+001,-5.8575703E-001, 2.3358112E+000, 0.0000000E+000, 0.0000000E+000, 1.1121513E+002, 1.1140341E+002, 4.6966996E-003, 4.6966996E-003,-2.5599552E+002
 7.5008026E+001, 2.5782233E+002,-8.1207706E+001,-1.9260167E-001,-3.4029287E+001,-7.3202401E-001, 2.4345401E+000, 0.0000000E+000, 0.0000000E+000, 1.4391469E+002, 1.4409525E+002, 6.4585139E-003, 6.4585139E-003,-1.0434676E+002
 9.0006989E+001, 2.9231170E+002,-9.7522357E+001,-2.3328053E+000,-5.0061508E+001,-7.9905554E-001,-1.0173378E+000, 0.0000000E+000, 0.0000000E+000, 1.4032215E+002, 1.4057863E+002, 7.3416704E-003, 7.3416704E-003,-1.7008519E+002
 1.0500949E+002, 3.0919387E+002,-1.1130048E+002,-5.6810741E+000,-6.5564719E+001,-8.0025407E-001,-1.1081942E+000, 0.0000000E+000, 0.0000000E+000, 1.2453828E+002, 1.2473915E+002, 7.5462482E-003, 7.5462482E-003,-2.4095593E+002
 1.2000803E+002, 3.0995117E+002,-1.2159846E+002,-7.9143979E+000,-7.6314269E+001,-8.2655272E-001,-1.1503487E+000, 0.0000000E+000, 0.0000000E+000, 1.0200282E+002, 1.0214713E+002, 7.7508287E-003, 7.7508287E-003,-3.1368289E+002
 1.3500346E+002, 3.2249217E+002,-1.3377511E+002,-9.6747298E+000,-8.5665640E+001,-8.6288493E-001,-2.7291675E-001, 0.0000000E+000, 0.0000000E+000, 9.1886315E+001, 9.2240888E+001, 7.9553499E-003, 7.9553499E-003,-3.3324839E+002
 1.5000092E+002, 3.2747609E+002,-1.4242352E+002,-1.0555419E+001,-9.3223393E+001,-8.3938464E-001, 1.0162905E+000, 0.0000000E+000, 0.0000000E+000, 8.1262892E+001, 8.1450664E+001, 8.1598508E-003, 8.1598508E-003,-2.7077215E+002
 1.6500662E+002, 3.4560660E+002,-1.5517759E+002,-1.2817102E+001,-1.0107868E+002,-9.1526843E-001,-1.8302800E+000, 0.0000000E+000, 0.0000000E+000, 7.3560927E+001, 7.3787678E+001, 8.6984622E-003, 8.6984622E-003,-3.8682724E+002
 1.8000000E+002, 3.8918346E+002,-1.7429710E+002,-1.4566247E+001,-1.1166202E+002,-9.4481646E-001, 1.5136845E+000, 0.0000000E+000, 0.0000000E+000, 8.8930532E+001, 8.9226960E+001, 9.6670875E-003, 9.6670875E-003,-2.9397917E+002
 1.9500229E+002, 4.2055569E+002,-1.9366693E+002,-1.7061895E+001,-1.2227081E+002,-9.8641348E-001,-1.4402520E-001, 0.0000000E+000, 0.0000000E+000, 8.6248230E+001, 8.6425619E+001, 1.0637214E-002, 1.0637214E-002,-3.0386331E+002
 2.1001138E+002, 4.6577147E+002,-2.2043236E+002,-1.9577753E+001,-1.3606070E+002,-1.0744822E+000,-7.6483055E-001, 0.0000000E+000, 0.0000000E+000, 8.7528617E+001, 8.7861346E+001, 1.1607850E-002, 1.1607850E-002,-3.5432572E+002
 2.2501007E+002, 4.9594440E+002,-2.4578049E+002,-1.9545152E+001,-1.4622177E+002,-1.1862011E+000,-4.4051242E-001, 0.0000000E+000, 0.0000000E+000, 8.2349805E+001, 8.2770272E+001, 1.2338305E-002, 1.2338305E-002,-3.8509511E+002
 2.4000208E+002, 4.9616594E+002,-2.6007643E+002,-1.6655428E+001,-1.5383097E+002,-1.1322747E+000,-5.0492181E-001, 0.0000000E+000, 0.0000000E+000, 6.3424989E+001, 6.3965909E+001, 1.2449624E-002, 1.2449624E-002,-4.2134385E+002
 2.5500604E+002, 4.9813887E+002,-2.7126479E+002,-1.4622258E+001,-1.5810820E+002,-1.1450214E+000, 7.0604198E-001, 0.0000000E+000, 0.0000000E+000, 5.3465684E+001, 5.3704641E+001, 1.2529538E-002, 1.2529538E-002,-3.7881025E+002
 2.7000507E+002, 5.0583234E+002,-2.7860128E+002,-1.4354190E+001,-1.6279627E+002,-1.1451315E+000,-4.6122675E-001, 0.0000000E+000, 0.0000000E+000, 4.8296750E+001, 4.8474239E+001, 1.2609467E-002, 1.2609467E-002,-4.0916890E+002
 2.8500760E+002, 5.0479153E+002,-2.8451256E+002,-1.3623592E+001,-1.6580402E+002,-1.0934895E+000,-7.2104174E-001, 0.0000000E+000, 0.0000000E+000, 3.8522099E+001, 3.9036822E+001, 1.2675070E-002, 1.2675070E-002,-4.5851232E+002
 3.0000122E+002, 5.1069064E+002,-2.8920010E+002,-1.2306786E+001,-1.6898682E+002,-1.0664940E+000, 1.7115283E+000, 0.0000000E+000, 0.0000000E+000, 4.0641863E+001, 4.0841974E+001, 1.2694255E-002, 1.2694255E-002,-3.5263765E+002
 3.1500922E+002, 4.9834074E+002,-2.9094089E+002,-1.1571070E+001,-1.7205591E+002,-9.8430645E-001,-2.7355010E+000, 0.0000000E+000, 0.0000000E+000, 1.9783891E+001, 2.0053065E+001, 1.2709883E-002, 1.2709883E-002,-5.2860119E+002
 3.3001093E+002, 5.1374047E+002,-2.9688737E+002,-1.0627295E+001,-1.7406389E+002,-1.0069173E+000, 2.1439177E+000, 0.0000000E+000, 0.0000000E+000, 3.3118313E+001, 3.3298913E+001, 1.2711265E-002, 1.2711265E-002,-3.9394360E+002
 3.4500644E+002, 4.8044046E+002,-2.9487807E+002,-8.4409276E+000,-1.7489106E+002,-9.5779740E-001,-2.0036686E+000, 0.0000000E+000, 0.0000000E+000,-1.1733409E+000,-7.3106375E-001, 1.2615142E-002, 1.2615142E-002,-5.2219987E+002
 3.6000739E+002, 5.2397801E+002,-3.0085412E+002,-1.2031137E+001,-1.7553185E+002,-8.8052466E-001, 1.8420117E+000, 0.0000000E+000, 0.0000000E+000, 3.6059760E+001, 3.6522394E+001, 1.2499707E-002, 1.2499707E-002,-4.0951747E+002
 3.7501111E+002, 4.7678700E+002,-2.9309894E+002,-7.0727625E+000,-1.7558141E+002,-9.2268093E-001,-1.5205656E+000, 0.0000000E+000, 0.0000000E+000,-1.4735719E+000,-1.4093560E+000, 1.2179108E-002, 1.2179108E-002,-5.0523168E+002
 3.9000595E+002, 4.6221630E+002,-2.8168806E+002,-7.0493983E+000,-1.7009694E+002,-6.8431925E-001, 2.8894047E-001, 0.0000000E+000, 0.0000000E+000, 2.6231326E+000, 2.9865280E+000, 1.1700151E-002, 1.1700151E-002,-4.8934338E+002
 4.0500940E+002, 4.6992612E+002,-2.8159385E+002,-7.8138447E+000,-1.7153930E+002,-6.9636587E-001, 1.2802197E+000, 0.0000000E+000, 0.0000000E+000, 9.4972561E+000, 9.5629728E+000, 1.1221265E-002, 1.1221265E-002,-4.0849561E+002
 4.2000821E+002, 4.2170795E+002,-2.6968023E+002,-4.3722075E+000,-1.6843876E+002,-7.2317967E-001,-7.9886329E-001, 0.0000000E+000, 0.0000000E+000,-2.2363072E+001,-2.2305283E+001, 1.0742281E-002, 1.0742281E-002,-4.5925408E+002
