s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-3.0000000E+001, 0.0000000E+000,-2.0750894E-002,-2.3181374E-023, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0750894E-002, 0.0000000E+000, 0.0000000E+000,-5.8904050E-001
-1.4991801E+001, 0.0000000E+000, 7.2421435E-001, 1.7722472E-002, 1.1846017E+000,-1.0459027E-024,-1.1690719E+000, 0.0000000E+000, 7.4646970E-001, 7.5746665E-001, 0.0000000E+000, 0.0000000E+000,-7.3853801E+001
 2.7897147E-002, 0.0000000E+000, 7.8468580E-001,-6.0904387E-002, 1.1433268E+000,-1.8426209E-024,-1.6157604E-002, 0.0000000E+000, 1.8518682E+000, 1.8509506E+000, 0.0000000E+000, 0.0000000E+000,-7.4869281E+001
 1.5006331E+001, 3.3933654E+001,-8.6935305E+000,-1.7135150E-001,-1.1588644E+000,-1.2610280E-001, 2.2898671E+000, 0.0000000E+000, 2.5965302E+001, 2.6073672E+001, 8.5955034E-004, 8.5955034E-004, 6.8077407E+001
 3.0006260E+001, 3.1393712E+002,-8.5767943E+001,-7.3258415E+000,-2.2870381E+001,-1.0790342E+000, 1.2769760E+001, 0.0000000E+000, 2.0937435E+002, 2.0966368E+002, 8.0573854E-003, 8.0573854E-003, 8.6708306E+002
 4.5001747E+001, 6.4692220E+002,-1.8270999E+002,-4.7818608E+001,-6.8516639E+001,-2.0084850E+000, 6.7184464E+000, 0.0000000E+000, 3.5236065E+002, 3.5258693E+002, 1.6220117E-002, 1.6220117E-002, 1.2850977E+003
 6.0004093E+001, 8.1662143E+002,-2.6144145E+002,-9.1829522E+001,-1.2035217E+002,-2.4150573E+000,-1.0833969E+000, 0.0000000E+000, 3.3916879E+002, 3.3949982E+002, 2.0628729E-002, 2.0628729E-002, 1.2132804E+003
 7.5003860E+001, 9.8967846E+002,-3.7467296E+002,-1.2609265E+002,-1.7767274E+002,-2.7189048E+000,-3.1168166E+000, 0.0000000E+000, 3.0533056E+002, 3.0540439E+002, 2.5038796E-002, 2.5038796E-002, 1.0164539E+003
 9.0005592E+001, 1.1665224E+003,-5.1317688E+002,-1.4965501E+002,-2.2643861E+002,-2.9760338E+000,-2.3345996E-001, 0.0000000E+000, 2.7374049E+002, 2.7404240E+002, 2.9447936E-002, 2.9447936E-002, 9.9700534E+002
 1.0500690E+002, 1.2724467E+003,-6.3497279E+002,-1.5859429E+002,-2.6366401E+002,-3.0373004E+000,-8.8216179E+000, 0.0000000E+000, 2.0362398E+002, 2.0335669E+002, 3.1869034E-002, 3.1869034E-002, 4.4367740E+002
 1.2000402E+002, 1.2863594E+003,-7.0284388E+002,-1.2585693E+002,-2.8156141E+002,-2.9465899E+000, 2.9168228E+000, 0.0000000E+000, 1.7609443E+002, 1.7606739E+002, 3.1848106E-002, 3.1848106E-002, 6.2356773E+002
 1.3500768E+002, 1.2117293E+003,-7.2515456E+002,-1.0598777E+002,-2.9072704E+002,-2.8181309E+000,-7.0617693E+000, 0.0000000E+000, 8.0461158E+001, 7.9980008E+001, 3.0883816E-002, 3.0883816E-002, 1.8087559E+002
 1.5000642E+002, 1.2136366E+003,-7.3289611E+002,-9.6934989E+001,-2.9185031E+002,-2.7011789E+000, 1.6395076E+000, 0.0000000E+000, 9.1183684E+001, 9.0893522E+001, 3.0119929E-002, 3.0119929E-002, 2.8334859E+002
 1.6501096E+002, 1.1663749E+003,-7.2949878E+002,-9.2899928E+001,-2.9574308E+002,-2.6394577E+000,-3.6975118E+000, 0.0000000E+000, 4.2214844E+001, 4.1896191E+001, 3.0557056E-002, 3.0557056E-002, 5.1316729E+001
 1.8000587E+002, 1.1340949E+003,-7.1055151E+002,-8.8232670E+001,-2.9048114E+002,-2.5445971E+000, 2.4100527E+000, 0.0000000E+000, 4.4753565E+001, 4.4695004E+001, 3.1168200E-002, 3.1168200E-002, 2.0099316E+002
 1.9500293E+002, 1.0351716E+003,-6.4935300E+002,-8.4736472E+001,-2.8028777E+002,-1.8757234E+000, 1.6887173E+000, 0.0000000E+000, 2.0746904E+001, 2.0607355E+001, 3.1779155E-002, 3.1779155E-002, 3.0596029E+002
 2.1000255E+002, 1.0746454E+003,-6.5169735E+002,-9.5700703E+001,-2.8566208E+002,-1.2779119E+000,-5.8300424E+000, 0.0000000E+000, 3.4808206E+001, 3.4477306E+001, 3.1522013E-002, 3.1522013E-002,-5.9419399E+001
 2.2500458E+002, 9.8990389E+002,-5.9329218E+002,-8.5964723E+001,-2.6924754E+002,-8.2787337E-001, 5.2623758E+000, 0.0000000E+000, 4.6315982E+001, 4.5833940E+001, 3.0147087E-002, 3.0147087E-002, 2.7071425E+002
 2.4001485E+002, 9.5644077E+002,-5.8168780E+002,-8.6235383E+001,-2.7328543E+002,-8.7919734E-001,-5.4376624E+000, 0.0000000E+000, 9.5206690E+000, 8.9152938E+000, 2.8767100E-002, 2.8767100E-002,-7.0339338E+001
 2.5500890E+002, 7.2396959E+002,-4.8406781E+002,-5.9803557E+001,-2.4662494E+002,-6.6303053E-001,-1.2824145E+000, 0.0000000E+000,-6.4513249E+001,-6.8472160E+001, 2.7387729E-002, 2.7387729E-002,-1.5155243E+002
 2.7001807E+002, 6.0053203E+002,-4.0691091E+002,-4.9658983E+001,-2.2177468E+002,-5.9355444E-001,-7.7767117E-001, 0.0000000E+000,-7.7066914E+001,-7.9183769E+001, 2.5606354E-002, 2.5606354E-002,-2.0302478E+002
 2.8502072E+002, 5.8525924E+002,-3.7667230E+002,-5.3051526E+001,-2.0648177E+002,-4.2871642E-001, 1.0632492E+000, 0.0000000E+000,-4.9822334E+001,-5.0311821E+001, 2.3425536E-002, 2.3425536E-002,-1.3741972E+002
 3.0001099E+002, 5.3903298E+002,-3.4820226E+002,-5.0955985E+001,-1.9450353E+002,-4.3134045E-001,-8.5482325E-001, 0.0000000E+000,-5.5862455E+001,-5.5914962E+001, 2.1245697E-002, 2.1245697E-002,-1.9408151E+002
 3.1501361E+002, 4.9981260E+002,-3.2006202E+002,-5.0615999E+001,-1.8086794E+002,-3.3258759E-001, 5.4076749E-001, 0.0000000E+000,-5.1365201E+001,-5.1525176E+001, 1.9066332E-002, 1.9066332E-002,-1.6089002E+002
 3.3002795E+002, 4.8991566E+002,-3.0578891E+002,-5.3214765E+001,-1.7271332E+002,-3.0534295E-001,-8.3813992E-001, 0.0000000E+000,-4.2084870E+001,-4.2944811E+001, 1.6884782E-002, 1.6884782E-002,-2.1315943E+002
