s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.1224562E-002, 3.0501862E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1224532E-002, 0.0000000E+000, 0.0000000E+000,-5.7902354E-001
 1.0064924E+001, 0.0000000E+000, 2.6199157E-001, 3.9641379E-002, 3.7541968E-001, 0.0000000E+000, 1.3071891E+000, 0.0000000E+000, 1.9781858E+000, 1.9842417E+000, 0.0000000E+000, 0.0000000E+000, 1.0938077E+002
 2.0053701E+001, 0.0000000E+000, 2.9869031E-001,-1.8460755E-002, 3.7814553E-001, 0.0000000E+000, 1.4932885E-002, 0.0000000E+000, 6.7359163E-001, 6.7330798E-001, 0.0000000E+000, 0.0000000E+000, 1.1065750E+002
 3.0058092E+001, 1.0912909E-002, 2.9259886E-001,-2.6292179E-002, 3.3529318E-001,-1.7521150E-004,-2.0772907E-003, 0.0000000E+000, 5.9788968E-001, 6.1026027E-001, 1.2432838E-006, 1.2432838E-006, 1.1029951E+002
 4.0009392E+001, 3.5974011E+001,-8.4579806E+000,-3.3130562E-001,-1.7893241E+000,-1.2492346E-001, 1.5656777E+000, 0.0000000E+000, 2.6678440E+001, 2.6836155E+001, 8.7251943E-004, 8.7251943E-004, 2.3982264E+002
 5.0000172E+001, 8.1200483E+001,-1.9403599E+001,-2.0164672E+000,-7.2031154E+000,-2.7047008E-001, 2.1151051E+000, 0.0000000E+000, 5.4342808E+001, 5.4421937E+001, 1.9544436E-003, 1.9544436E-003, 4.1641177E+002
 6.0002319E+001, 1.2593805E+002,-3.0725387E+001,-6.0541624E+000,-1.2586186E+001,-4.0564722E-001, 3.4833168E+000, 0.0000000E+000, 7.9520316E+001, 7.9649986E+001, 3.0258985E-003, 3.0258985E-003, 7.0756725E+002
 7.0009338E+001, 1.6999827E+002,-4.2822480E+001,-1.1616522E+001,-1.8481425E+001,-5.2902636E-001, 4.3613936E+000, 0.0000000E+000, 1.0065168E+002, 1.0091021E+002, 4.0981252E-003, 4.0981252E-003, 1.0722941E+003
 8.0007744E+001, 2.1504949E+002,-5.6190261E+001,-1.8026840E+001,-2.6740040E+001,-6.3978647E-001, 4.6040436E+000, 0.0000000E+000, 1.1763284E+002, 1.1805661E+002, 5.1701588E-003, 5.1701588E-003, 1.4568069E+003
 9.0003983E+001, 2.5491358E+002,-6.9694113E+001,-2.6815535E+001,-3.6177469E+001,-7.3107073E-001, 3.3274036E+000, 0.0000000E+000, 1.2421355E+002, 1.2482280E+002, 6.0965193E-003, 6.0965193E-003, 1.7355318E+003
 1.0000536E+002, 2.6671896E+002,-7.8284003E+001,-3.2166566E+001,-4.3657567E+001,-7.5375975E-001,-9.7089489E-001, 0.0000000E+000, 1.0999243E+002, 1.1088617E+002, 6.3576181E-003, 6.3576181E-003, 1.6536184E+003
 1.1000743E+002, 2.6869921E+002,-8.5416299E+001,-3.4118529E+001,-5.0080293E+001,-7.5937794E-001,-3.3924243E+000, 0.0000000E+000, 9.3903865E+001, 9.4932282E+001, 6.4228146E-003, 6.4228146E-003, 1.3694099E+003
 1.2000866E+002, 2.6570272E+002,-9.1179047E+001,-3.3437503E+001,-5.4958038E+001,-7.4019725E-001,-3.5883821E+000, 0.0000000E+000, 8.0756144E+001, 8.1799555E+001, 6.2785860E-003, 6.2785860E-003, 1.0688678E+003
 1.3000961E+002, 2.5707270E+002,-9.5029462E+001,-3.0287075E+001,-6.0057612E+001,-7.2993935E-001,-3.6534076E+000, 0.0000000E+000, 6.6354767E+001, 6.7315205E+001, 6.1298407E-003, 6.1298407E-003, 7.6270566E+002
