m,m/s
V_L1_L2-z,V_L1_L2
 5.0000000E-002,-1.1135228E+000
 1.5000000E-001,-1.1064645E+000
 2.5000000E-001,-1.0900980E+000
 3.5000000E-001,-1.0722301E+000
 4.5000000E-001,-1.0388271E+000
 5.5000000E-001,-1.0061716E+000
 6.5000000E-001,-9.6824756E-001
 7.5000000E-001,-9.3600977E-001
 8.5000000E-001,-9.0652067E-001
 9.5000000E-001,-7.4853835E-001
 1.0500000E+000,-3.6024418E-001
 1.1500000E+000, 2.1234715E-001
 1.2500000E+000, 7.3586931E-001
 1.3500000E+000, 1.0954804E+000
 1.4500000E+000, 1.2177395E+000
 1.5500000E+000, 1.2912134E+000
 1.6500000E+000, 1.3853502E+000
 1.7500000E+000, 1.5009699E+000
 1.8500000E+000, 1.7113807E+000
 1.9500000E+000, 2.0255370E+000
 2.0500000E+000, 2.1602558E+000
