s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_C12H26,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.1095089E-002, 4.1175440E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1095048E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9629699E-001
 1.0004390E+001, 0.0000000E+000, 1.2492733E-001, 7.6596969E-003, 1.6937467E-001,-2.3199959E-022, 3.5912262E-001, 0.0000000E+000, 6.5861046E-001, 6.6108432E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9427413E+001
 2.0008780E+001, 0.0000000E+000, 1.4296293E-001,-9.5051786E-003, 1.7334170E-001,-3.2845788E-022,-7.9469961E-004, 0.0000000E+000, 3.0611588E-001, 3.0600475E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9361881E+001
 3.0013170E+001, 0.0000000E+000, 1.3965661E-001,-1.7663267E-002, 1.6068154E-001, 0.0000000E+000,-1.0696517E-003, 0.0000000E+000, 2.8170661E-001, 2.8160522E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9272377E+001
 4.0007053E+001, 1.5907260E+001,-3.6106029E+000,-2.0120644E-001,-6.6422976E-001,-5.3571476E-002, 7.0880933E-001, 0.0000000E+000, 1.1996741E+001, 1.2086459E+001, 0.0000000E+000, 3.8390713E-004, 0.0000000E+000, 8.7861264E+001
 5.0000771E+001, 2.8666349E+001,-6.6216435E+000,-6.9094945E-001,-2.4621085E+000,-9.3520208E-002, 4.5382757E-001, 0.0000000E+000, 1.9220508E+001, 1.9251955E+001, 0.0000000E+000, 6.8642805E-004, 0.0000000E+000, 1.2575803E+002
 6.0010777E+001, 4.4392391E+001,-1.0592118E+001,-1.7637588E+000,-4.2156136E+000,-1.4148623E-001, 3.9022754E-001, 0.0000000E+000, 2.8034518E+001, 2.8069642E+001, 0.0000000E+000, 1.0642677E-003, 0.0000000E+000, 1.5845978E+002
 7.0005775E+001, 6.0415935E+001,-1.4651463E+001,-3.1999023E+000,-6.3770529E+000,-1.8752314E-001, 3.0123925E-001, 0.0000000E+000, 3.6249361E+001, 3.6301232E+001, 0.0000000E+000, 1.4421236E-003, 0.0000000E+000, 1.8365758E+002
 8.0011993E+001, 7.5872954E+001,-1.8876110E+001,-4.5258355E+000,-8.8414590E+000,-2.3122785E-001, 1.1165767E-001, 0.0000000E+000, 4.3428552E+001, 4.3509980E+001, 0.0000000E+000, 1.8199926E-003, 0.0000000E+000, 1.9285458E+002
 9.0010910E+001, 9.2176483E+001,-2.3470000E+001,-5.9360527E+000,-1.1278008E+001,-2.7114213E-001, 1.5971626E-001, 0.0000000E+000, 5.1305306E+001, 5.1380996E+001, 0.0000000E+000, 2.1979514E-003, 0.0000000E+000, 2.0648961E+002
 1.0000845E+002, 1.0821597E+002,-2.8484249E+001,-7.4692652E+000,-1.4221481E+001,-3.1226377E-001, 1.6670950E-001, 0.0000000E+000, 5.7759524E+001, 5.7895422E+001, 0.0000000E+000, 2.5756399E-003, 0.0000000E+000, 2.1984362E+002
 1.1000599E+002, 1.2194223E+002,-3.3090877E+001,-9.1926311E+000,-1.8047655E+001,-3.4844108E-001,-1.8443533E-001, 0.0000000E+000, 6.0956304E+001, 6.1078190E+001, 0.0000000E+000, 2.9163322E-003, 0.0000000E+000, 2.0470100E+002
 1.2001144E+002, 1.2818325E+002,-3.6724523E+001,-1.0633142E+001,-2.1263359E+001,-3.6062404E-001,-1.0466680E-001, 0.0000000E+000, 5.8902107E+001, 5.9096935E+001, 0.0000000E+000, 3.0356908E-003, 0.0000000E+000, 1.9548983E+002
 1.3000285E+002, 1.3122556E+002,-3.9562969E+001,-1.1414549E+001,-2.4416172E+001,-3.7019146E-001, 2.2855729E-001, 0.0000000E+000, 5.5514889E+001, 5.5690240E+001, 0.0000000E+000, 3.1187245E-003, 0.0000000E+000, 2.1454356E+002
 1.4000371E+002, 1.3368240E+002,-4.2382930E+001,-1.2424245E+001,-2.7434880E+001,-3.7565532E-001,-8.5780869E-002, 0.0000000E+000, 5.0743229E+001, 5.0978913E+001, 0.0000000E+000, 3.1751986E-003, 0.0000000E+000, 2.0725465E+002
 1.5000427E+002, 1.3182741E+002,-4.4416625E+001,-1.2574808E+001,-2.9531412E+001,-3.7535576E-001,-1.6401951E-001, 0.0000000E+000, 4.4492378E+001, 4.4765190E+001, 0.0000000E+000, 3.1359950E-003, 0.0000000E+000, 1.9319914E+002
 1.6000458E+002, 1.2970529E+002,-4.5924121E+001,-1.3369336E+001,-3.1229082E+001,-3.7095730E-001,-2.0095591E-001, 0.0000000E+000, 3.8356684E+001, 3.8610841E+001, 0.0000000E+000, 3.0880179E-003, 0.0000000E+000, 1.7642651E+002
 1.7000412E+002, 1.2838089E+002,-4.7347811E+001,-1.3847392E+001,-3.2962435E+001,-3.6519506E-001, 2.1055370E-002, 0.0000000E+000, 3.3586910E+001, 3.3879114E+001, 0.0000000E+000, 3.0400271E-003, 0.0000000E+000, 1.7791352E+002
 1.8001205E+002, 1.2559628E+002,-4.8214905E+001,-1.4037786E+001,-3.4487399E+001,-3.6055775E-001,-2.5857867E-001, 0.0000000E+000, 2.7927110E+001, 2.8237055E+001, 0.0000000E+000, 2.9920067E-003, 0.0000000E+000, 1.5572974E+002
 1.9001222E+002, 1.2365829E+002,-4.8850281E+001,-1.4203880E+001,-3.5916620E+001,-3.5454639E-001,-1.8028204E-001, 0.0000000E+000, 2.3874386E+001, 2.4152678E+001, 0.0000000E+000, 2.9440153E-003, 0.0000000E+000, 1.4072139E+002
 2.0000104E+002, 1.2280347E+002,-4.9647517E+001,-1.4234532E+001,-3.7091302E+001,-3.5152817E-001,-1.7197673E-002, 0.0000000E+000, 2.1168381E+001, 2.1461390E+001, 0.0000000E+000, 2.9055447E-003, 0.0000000E+000, 1.3912313E+002
 2.1000267E+002, 1.2158522E+002,-5.0228610E+001,-1.4541379E+001,-3.7914164E+001,-3.5139595E-001,-1.4008512E-001, 0.0000000E+000, 1.8082772E+001, 1.8409584E+001, 0.0000000E+000, 2.8962639E-003, 0.0000000E+000, 1.2683409E+002
