s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,"DADM_L2_MOY","DEXT_L2_MOY","R2_in","R2_out","TG_L2_NE_005","TG_L2_NE_030","TG_L2_NE_055","TG_L2_NE_080","TG_L2_NE_105","TG_L2_NE_130","TG_L2_NE_155","TG_L2_NE_180","TG_L2_NE_205","TG_L2_NE_230","TG_L2_NE_255","TG_L2_NE_280","TG_L2_NE_305","TG_L2_NE_330","TG_L2_NE_355","TG_L2_NE_380","TG_L2_NE_385","TG_L2_NE_390","TP_L2_N030","TP_L2_N155","TP_L2_N260","TP_L2_N355","TP_L2_WC260","TP_L2_NC265","TP_L2_EC260","TP_L2_SC260","TP_L2_P","TP_L2_SOL","FLT_L2_N030","FLT_L2_N155","FLT_L2_N260","FLT_L2_N355","FLR_L2_N030","FLR_L2_N155","FLR_L2_N260","FLR_L2_N355","FLT_L2_WC260","FLT_L2_NC260","FLT_L2_EC260","FLT_L2_SC260","FLR_L2_P","FLT_L2_PM","FLT_L2_SOL","CO2L2_HAUT","COL2_HAUT","O2L2_HAUT","CO2FP","COFP","O2FP","CO2L2_BAS","COL2_BAS","O2L2_BAS","PLOCAL2_MOY"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-1.2169741E-002,-1.2111552E-002,-1.2085820E-002,-1.2068523E-002,-1.2169741E-002,-1.2111552E-002,-1.2085820E-002,-1.2068523E-002,-1.2069988E-002,-1.2061092E-002,-1.2068725E-002,-1.2074867E-002,-1.2093452E-002,-1.2093452E-002,-1.2102802E-002, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001,-1.7932050E-005
 1.0002584E+001, 1.5680437E-001, 1.5369120E-001, 1.8074978E-001, 1.7708648E-001, 3.0020311E+001, 3.0020860E+001, 3.0023301E+001, 3.0024590E+001, 3.0025828E+001, 3.0027059E+001, 3.0027298E+001, 3.0027106E+001, 3.0027153E+001, 3.0026717E+001, 3.0026317E+001, 3.0025682E+001, 3.0025418E+001, 3.0024733E+001, 3.0024492E+001, 3.0024154E+001, 3.0024154E+001, 3.0024729E+001, 3.0000270E+001, 3.0002679E+001, 3.0002805E+001, 3.0002100E+001, 3.0004145E+001, 3.0000244E+001, 3.0004156E+001, 3.0002848E+001, 3.0103561E+001, 3.0000575E+001,-1.2826320E-002,-1.0509770E-002,-1.0386056E-002,-1.1057490E-002,-1.1729408E-002,-9.4141736E-003,-9.2906066E-003,-9.9617074E-003,-9.0566595E-003,-1.2858827E-002,-9.0515024E-003,-1.0339927E-002,-6.5027257E-003,-7.7662670E-003,-1.2436929E-002, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 2.3934596E+001
 2.0075062E+001, 1.6148194E-001, 1.6053829E-001, 1.8615524E-001, 1.8495996E-001, 3.0027389E+001, 3.0029743E+001, 3.0038272E+001, 3.0043529E+001, 3.0047389E+001, 3.0052220E+001, 3.0052829E+001, 3.0052236E+001, 3.0052830E+001, 3.0051268E+001, 3.0049644E+001, 3.0048130E+001, 3.0046900E+001, 3.0044803E+001, 3.0043701E+001, 3.0167214E+001, 3.0167214E+001, 3.0262159E+001, 3.0000797E+001, 3.0006061E+001, 3.0006380E+001, 3.0004908E+001, 3.0009461E+001, 3.0000677E+001, 3.0009474E+001, 3.0006552E+001, 3.0242502E+001, 3.0001717E+001,-1.2649949E-002,-9.9114575E-003,-9.7293688E-003,-1.0470367E-002,-1.1548153E-002,-8.8147627E-003,-8.6333175E-003,-9.3730670E-003,-8.0503810E-003,-1.2727471E-002,-8.0427734E-003,-9.6152027E-003,-5.2272001E-003,-7.1656745E-003,-1.2029168E-002, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.1880091E+001
 3.0020061E+001, 1.6160879E-001, 1.6053528E-001, 1.8630119E-001, 1.8490392E-001, 3.0028015E+001, 3.0032428E+001, 3.0045248E+001, 3.0054348E+001, 3.0060300E+001, 3.0069777E+001, 3.0070491E+001, 3.0070879E+001, 3.0070456E+001, 3.0067765E+001, 3.0065627E+001, 3.0062982E+001, 3.0060958E+001, 3.0057791E+001, 3.0056103E+001, 3.0602033E+001, 3.0602033E+001, 3.1234349E+001, 3.0001220E+001, 3.0008239E+001, 3.0008745E+001, 3.0007232E+001, 3.0012983E+001, 3.0001049E+001, 3.0013034E+001, 3.0009025E+001, 3.0353287E+001, 3.0002662E+001,-1.2564788E-002,-9.7716440E-003,-9.5300249E-003,-1.0764977E-002,-1.1463024E-002,-8.6792655E-003,-8.4388422E-003,-9.0481742E-003,-7.7754144E-003,-1.2632875E-002,-7.8331254E-003,-9.4035872E-003,-4.9369004E-003,-6.5114337E-003,-1.1829194E-002, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.8342911E-004, 0.0000000E+000, 2.0595667E-001, 3.1606498E+001
 4.0008551E+001, 1.2382950E-001, 1.6744096E-001, 1.4280234E-001, 1.9244709E-001, 3.0147441E+001, 3.0175228E+001, 3.0189396E+001, 3.0211843E+001, 3.0208732E+001, 3.0213047E+001, 3.0211829E+001, 3.0205218E+001, 3.0198447E+001, 3.0189185E+001, 3.0183341E+001, 3.0175057E+001, 3.0170081E+001, 3.0162983E+001, 3.0159674E+001, 3.3117486E+001, 3.3117486E+001, 3.6958096E+001, 3.0036730E+001, 3.0041681E+001, 3.0038407E+001, 3.0039480E+001, 3.0040245E+001, 3.0004342E+001, 3.0042319E+001, 3.0028284E+001, 3.1611104E+001, 3.0092672E+001, 2.2092792E-002, 2.1384318E-002, 1.7574693E-002, 1.6245861E-002, 2.3204250E-002, 2.2562835E-002, 1.6792859E-002, 9.8247217E-003, 1.4194520E-002,-9.6657073E-003, 1.6830422E-002, 7.6708441E-003, 2.2290567E-002, 6.8322583E-002, 7.6191180E-002, 3.8342911E-004, 4.4162881E-015, 2.0595667E-001, 3.8858030E-004, 1.5995824E-008, 2.0594804E-001, 3.8342911E-004, 1.5395163E-050, 2.0595667E-001, 1.0331619E+002
 5.0002735E+001, 7.3712681E-002, 1.7495449E-001, 8.5037144E-002, 1.9799814E-001, 3.0445534E+001, 3.0477379E+001, 3.0502021E+001, 3.0554000E+001, 3.0532536E+001, 3.0531055E+001, 3.0517222E+001, 3.0490365E+001, 3.0467273E+001, 3.0431066E+001, 3.0560942E+001, 3.1566053E+001, 3.2785847E+001, 3.3687594E+001, 3.4367488E+001, 4.0589830E+001, 4.0589830E+001, 4.7308793E+001, 3.0123430E+001, 3.0122130E+001, 3.0132507E+001, 3.0166735E+001, 3.0125054E+001, 3.0019223E+001, 3.0140410E+001, 3.0080409E+001, 3.5615955E+001, 3.0320705E+001, 7.1818458E-002, 6.6464173E-002, 7.0713064E-002, 8.2066644E-002, 7.3102175E-002, 6.7348518E-002, 5.7490196E-002, 4.4310064E-002, 6.5513533E-002,-1.3050220E-003, 6.8991314E-002, 3.6033816E-002, 6.3270260E-002, 2.2643532E-001, 2.0937830E-001, 5.0294365E-004, 3.7112221E-007, 2.0575676E-001, 3.9388768E-004, 3.2476666E-008, 2.0593914E-001, 3.8342911E-004, 1.6268186E-028, 2.0595667E-001, 1.6967255E+002
 6.0003447E+001, 6.7224817E-003, 1.8181806E-001, 7.7702007E-003, 1.9889196E-001, 3.0893781E+001, 3.1016612E+001, 3.1114850E+001, 3.1147805E+001, 3.1181497E+001, 3.1250523E+001, 3.1280604E+001, 3.1571123E+001, 3.1940323E+001, 3.2123586E+001, 3.2475263E+001, 3.2922643E+001, 3.4815457E+001, 4.1757393E+001, 4.3352595E+001, 4.9724399E+001, 4.9724399E+001, 5.8982184E+001, 3.0273996E+001, 3.0259313E+001, 3.0329115E+001, 3.0414896E+001, 3.0345251E+001, 3.0064134E+001, 3.0310092E+001, 3.0191283E+001, 4.1499347E+001, 3.0718178E+001, 1.4457414E-001, 1.3141419E-001, 1.6291091E-001, 1.9972450E-001, 1.4583020E-001, 1.3259343E-001, 1.1817765E-001, 9.9393724E-002, 1.8189212E-001, 2.3043098E-002, 1.5181579E-001, 9.2184212E-002, 1.3370345E-001, 4.7748431E-001, 4.0372691E-001, 1.0868664E-003, 2.1843468E-006, 2.0478002E-001, 3.9724968E-004, 4.2916665E-008, 2.0593349E-001, 3.8342911E-004, 3.9618839E-019, 2.0595667E-001, 2.0983242E+002
 7.0000741E+001,-5.2313137E-002, 1.8758238E-001,-6.0027963E-002, 1.9785175E-001, 3.1232853E+001, 3.1528701E+001, 3.1673982E+001, 3.1927362E+001, 3.2132546E+001, 3.2473592E+001, 3.2852636E+001, 3.4953964E+001, 3.6715738E+001, 3.8908985E+001, 4.0221016E+001, 4.2681154E+001, 4.7044896E+001, 5.5073494E+001, 5.5869946E+001, 6.6535799E+001, 6.6535799E+001, 7.5766085E+001, 3.0468868E+001, 3.0449014E+001, 3.0643437E+001, 3.0783625E+001, 3.0627644E+001, 3.0166412E+001, 3.0568225E+001, 3.0383834E+001, 4.9026000E+001, 3.1239632E+001, 2.1511839E-001, 2.0834676E-001, 3.0169999E-001, 3.4060020E-001, 2.1604143E-001, 2.0762852E-001, 1.9499576E-001, 1.7010483E-001, 2.7987323E-001, 7.3781848E-002, 2.7097437E-001, 1.8796382E-001, 2.2215762E-001, 6.9570930E-001, 5.9314479E-001, 1.9772227E-003, 4.9491233E-006, 2.0329071E-001, 4.0101847E-004, 5.4619832E-008, 2.0592716E-001, 3.8344852E-004, 6.0276412E-011, 2.0595664E-001, 2.3396779E+002
 8.0010541E+001,-1.0190738E-001, 1.9589337E-001,-1.1602248E-001, 1.9915228E-001, 3.2198266E+001, 3.3206820E+001, 3.3617385E+001, 3.4192537E+001, 3.4795180E+001, 3.6352259E+001, 3.6976871E+001, 4.0510033E+001, 4.4768410E+001, 4.8900694E+001, 5.1740721E+001, 5.5488301E+001, 6.0088182E+001, 6.5511920E+001, 6.8514856E+001, 7.8731834E+001, 7.8731834E+001, 8.7814517E+001, 3.0696321E+001, 3.0694290E+001, 3.1107557E+001, 3.1256666E+001, 3.1095310E+001, 3.0360439E+001, 3.1101381E+001, 3.0773579E+001, 5.6312544E+001, 3.1787835E+001, 2.8775735E-001, 2.9648519E-001, 4.5758425E-001, 4.7979272E-001, 2.8435226E-001, 2.8587283E-001, 2.7822442E-001, 2.4760726E-001, 4.7949947E-001, 1.5716428E-001, 4.9687727E-001, 3.7385398E-001, 3.2318294E-001, 9.3096506E-001, 7.4803163E-001, 3.0933192E-003, 8.4148793E-006, 2.0142381E-001, 4.0721086E-004, 7.3848923E-008, 2.0591677E-001, 3.9030680E-004, 2.1356931E-008, 2.0594517E-001, 2.8463889E+002
