m,kW
z_HRRPUL,HRRPUL
 1.0000000E+000, 2.1392016E+006
 3.0000000E+000, 1.4741351E+006
 5.0000000E+000, 7.1579085E+005
 7.0000000E+000, 4.0022314E+005
 9.0000000E+000, 2.8533609E+005
 1.1000000E+001, 2.3814118E+005
 1.3000000E+001, 2.1637413E+005
 1.5000000E+001, 2.0637355E+005
 1.7000000E+001, 2.0187660E+005
 1.9000000E+001, 2.0008900E+005
 2.1000000E+001, 2.0026754E+005
 2.3000000E+001, 2.0277659E+005
 2.5000000E+001, 2.0528522E+005
 2.7000000E+001, 2.0870934E+005
 2.9000000E+001, 2.1253359E+005
 3.1000000E+001, 2.1492568E+005
 3.3000000E+001, 2.1748634E+005
 3.5000000E+001, 2.2072610E+005
 3.7000000E+001, 2.2354510E+005
 3.9000000E+001, 2.2619036E+005
 4.1000000E+001, 2.2818650E+005
 4.3000000E+001, 2.2959684E+005
 4.5000000E+001, 2.3171012E+005
 4.7000000E+001, 2.3271546E+005
 4.9000000E+001, 2.3385685E+005
 5.1000000E+001, 2.3486567E+005
 5.3000000E+001, 2.3611582E+005
 5.5000000E+001, 2.3585270E+005
 5.7000000E+001, 2.3590546E+005
 5.9000000E+001, 2.3597903E+005
 6.1000000E+001, 2.3532116E+005
 6.3000000E+001, 2.3378528E+005
 6.5000000E+001, 2.3182927E+005
 6.7000000E+001, 2.2834623E+005
 6.9000000E+001, 2.2542475E+005
 7.1000000E+001, 2.2391035E+005
 7.3000000E+001, 2.2374504E+005
 7.5000000E+001, 2.2225533E+005
 7.7000000E+001, 2.1938545E+005
 7.9000000E+001, 2.1527943E+005
 8.1000000E+001, 2.1034366E+005
 8.3000000E+001, 2.0461151E+005
 8.5000000E+001, 1.9855337E+005
 8.7000000E+001, 1.9303173E+005
 8.9000000E+001, 1.8785176E+005
 9.1000000E+001, 1.8170929E+005
 9.3000000E+001, 1.7716002E+005
 9.5000000E+001, 1.7280144E+005
 9.7000000E+001, 1.6810332E+005
 9.9000000E+001, 1.6343722E+005
 1.0100000E+002, 1.5711001E+005
 1.0300000E+002, 1.5034705E+005
 1.0500000E+002, 1.4301857E+005
 1.0700000E+002, 1.3618373E+005
 1.0900000E+002, 1.3005991E+005
 1.1100000E+002, 1.2408311E+005
 1.1300000E+002, 1.1822888E+005
 1.1500000E+002, 1.1230470E+005
 1.1700000E+002, 1.0621453E+005
 1.1900000E+002, 1.0066522E+005
 1.2100000E+002, 9.5611907E+004
 1.2300000E+002, 9.1045275E+004
 1.2500000E+002, 8.6717476E+004
 1.2700000E+002, 8.2103456E+004
 1.2900000E+002, 7.7287025E+004
 1.3100000E+002, 7.1974392E+004
 1.3300000E+002, 6.6880207E+004
 1.3500000E+002, 6.2183147E+004
 1.3700000E+002, 5.7391125E+004
 1.3900000E+002, 5.3190935E+004
 1.4100000E+002, 4.9229754E+004
 1.4300000E+002, 4.5769506E+004
 1.4500000E+002, 4.2479078E+004
 1.4700000E+002, 3.9501099E+004
 1.4900000E+002, 3.6540703E+004
 1.5100000E+002, 3.3639961E+004
 1.5300000E+002, 3.0710255E+004
 1.5500000E+002, 2.8258137E+004
 1.5700000E+002, 2.6207451E+004
 1.5900000E+002, 2.4121472E+004
 1.6100000E+002, 2.1987312E+004
 1.6300000E+002, 1.9631722E+004
 1.6500000E+002, 1.7491846E+004
 1.6700000E+002, 1.5340665E+004
 1.6900000E+002, 1.3513336E+004
 1.7100000E+002, 1.1888102E+004
 1.7300000E+002, 1.0504434E+004
 1.7500000E+002, 9.2213550E+003
 1.7700000E+002, 8.1274466E+003
 1.7900000E+002, 6.9830790E+003
 1.8100000E+002, 6.0907895E+003
 1.8300000E+002, 5.1937670E+003
 1.8500000E+002, 4.4564550E+003
 1.8700000E+002, 3.7490627E+003
 1.8900000E+002, 3.1904425E+003
 1.9100000E+002, 2.7134464E+003
 1.9300000E+002, 2.3532171E+003
 1.9500000E+002, 2.0410373E+003
 1.9700000E+002, 1.7806486E+003
 1.9900000E+002, 1.2127133E+003
