s,kg/s/m2,C,C
Time,"MASS FLUX WATER","TMP WALL","TMP WALL MAX"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 1.0010000E+001, 2.1900480E-005, 3.2781805E+001, 3.2838609E+001
 2.0000000E+001, 8.0738161E-005, 5.4262820E+001, 5.4556026E+001
 3.0000000E+001, 2.1430442E-004, 7.2332254E+001, 7.3224227E+001
 4.0000000E+001, 5.2340761E-004, 8.7769752E+001, 9.0040728E+001
 5.0010000E+001, 2.9759126E-003, 9.7797125E+001, 9.9775769E+001
 6.0010000E+001, 6.9615532E-003, 9.8875083E+001, 9.9908519E+001
 7.0010000E+001, 8.1688267E-003, 9.8841809E+001, 9.9914182E+001
 8.0000000E+001, 1.1105086E-002, 9.8820146E+001, 9.9922384E+001
 9.0000000E+001, 1.1363253E-002, 9.8785493E+001, 9.9928875E+001
 1.0000000E+002, 1.1580976E-002, 9.8757161E+001, 9.9932594E+001
 1.1000000E+002, 1.1764797E-002, 9.8733113E+001, 9.9936835E+001
 1.2000000E+002, 1.1916670E-002, 9.8710603E+001, 9.9938760E+001
 1.3000000E+002, 1.2043255E-002, 9.8689621E+001, 9.9944337E+001
 1.4000000E+002, 1.2429300E-002, 9.8783873E+001, 9.9937948E+001
 1.5000000E+002, 1.5192809E-002, 9.8945970E+001, 9.9918928E+001
 1.6001000E+002, 1.6505348E-002, 9.8917117E+001, 9.9923406E+001
 1.7001000E+002, 1.6563700E-002, 9.8877988E+001, 9.9925259E+001
 1.8001000E+002, 1.6789854E-002, 9.8844391E+001, 9.9928085E+001
 1.9001000E+002, 1.6835723E-002, 9.8816958E+001, 9.9929890E+001
 2.0001000E+002, 1.6996135E-002, 9.8786285E+001, 9.9931031E+001
 2.1001000E+002, 1.7066919E-002, 9.8766369E+001, 9.9934450E+001
 2.2001000E+002, 1.7125512E-002, 9.8742443E+001, 9.9932554E+001
 2.3001000E+002, 1.7519938E-002, 9.8940540E+001, 9.9935862E+001
 2.4001000E+002, 1.8383275E-002, 9.8910626E+001, 9.9935659E+001
 2.5001000E+002, 1.8660472E-002, 9.8881833E+001, 9.9937067E+001
