s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_WATER VAPOR,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.8817842E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8817842E-019, 0.0000000E+000, 0.0000000E+000
 1.2000000E+000, 0.0000000E+000, 1.4578213E-005, 1.9907226E-006, 3.6315334E-005,-7.0158729E-007, 0.0000000E+000, 0.0000000E+000, 5.1417045E-005, 5.2182683E-005, 0.0000000E+000, 2.4047532E-007
 2.4100001E+000, 0.0000000E+000, 1.7830002E-005, 4.5027194E-006, 1.2191880E-004,-1.3894775E-007, 0.0000000E+000, 0.0000000E+000, 1.4343199E-004, 1.4411257E-004, 0.0000000E+000, 2.8017212E-007
 3.6099999E+000, 0.0000000E+000, 1.9897591E-005, 7.4917700E-006, 2.0655437E-004, 6.0497304E-007, 0.0000000E+000, 0.0000000E+000, 2.3390205E-004, 2.3454870E-004, 0.0000000E+000, 3.5734252E-007
 4.8099999E+000, 0.0000000E+000, 2.1750560E-005, 1.1957920E-005, 2.8664670E-004, 1.9575949E-006, 0.0000000E+000, 0.0000000E+000, 3.2163144E-004, 3.2231278E-004, 0.0000000E+000, 5.3322002E-007
 6.0100002E+000, 0.0000000E+000, 2.3433970E-005, 1.8708564E-005, 3.6782813E-004, 4.4586792E-006, 0.0000000E+000, 0.0000000E+000, 4.1359592E-004, 4.1442934E-004, 0.0000000E+000, 8.1454057E-007
 7.2100000E+000, 0.0000000E+000, 2.4934391E-005, 2.7599442E-005, 4.5855298E-004, 8.2922726E-006, 0.0000000E+000, 0.0000000E+000, 5.1818132E-004, 5.1937908E-004, 0.0000000E+000, 1.1569875E-006
 8.4099998E+000, 0.0000000E+000, 2.6150620E-005, 3.6530605E-005, 5.5709070E-004, 1.2755523E-005, 0.0000000E+000, 0.0000000E+000, 6.3084449E-004, 6.3252745E-004, 0.0000000E+000, 1.4533775E-006
 9.6099997E+000, 0.0000000E+000, 2.7053356E-005, 4.0642632E-005, 6.4925063E-004, 1.6042517E-005, 0.0000000E+000, 0.0000000E+000, 7.3069321E-004, 7.3298914E-004, 0.0000000E+000, 1.5533080E-006
 1.0810000E+001, 0.0000000E+000, 2.7724206E-005, 3.2810290E-005, 7.2664392E-004, 1.9188823E-005, 0.0000000E+000, 0.0000000E+000, 8.0353450E-004, 8.0636723E-004, 0.0000000E+000, 1.6191249E-006
 1.2010000E+001, 0.0000000E+000, 2.8443001E-005,-2.1488077E-004, 8.0697090E-004, 2.5353803E-005, 0.0000000E+000, 0.0000000E+000, 6.4444464E-004, 6.4588693E-004, 0.0000000E+000, 1.9057864E-006
 1.3210000E+001, 0.0000000E+000, 2.9879539E-005,-6.2616208E-004, 8.9698201E-004, 3.2821287E-005, 0.0000000E+000, 0.0000000E+000, 3.3188509E-004, 3.3352075E-004, 0.0000000E+000, 2.2359314E-006
 1.4410000E+001, 0.0000000E+000, 3.1532201E-005,-6.6682574E-004, 9.8298994E-004, 3.9152251E-005, 0.0000000E+000, 0.0000000E+000, 3.8538565E-004, 3.8684865E-004, 0.0000000E+000, 2.4452958E-006
