s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1876582E-001, 4.1876582E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0115361E+000, 1.3462644E-002, 2.7515048E+000, 3.5180682E+000, 2.5294475E+001, 1.7754869E+001, 7.1372027E-002, 3.6238255E-002, 1.2639350E+001, 2.1430383E+000, 2.7105615E-001, 4.7930955E-003
 2.0032473E+000, 2.3532650E-002, 1.0299073E+000, 5.5487154E+000, 4.1172092E+001, 4.0323704E+001, 1.3013208E-001, 6.0153726E-002, 4.3437796E+001, 4.4436850E+001, 4.3352413E+001, 4.2412741E+001
 3.0004557E+000, 2.4989383E-002, 1.3804865E+000, 3.5774769E+000, 4.3086249E+001, 3.8966714E+001, 1.7735689E-001, 9.1924581E-002, 4.8670624E+001, 6.1882557E+001, 6.4673461E+001, 6.3712365E+001
 4.0013274E+000, 3.4906774E-002, 5.7696525E-001, 3.8425348E+000, 3.6339610E+001, 4.5094633E+001, 2.3999848E-001, 9.3930019E-002, 3.8846382E+001, 4.3702149E+001, 4.8648672E+001, 5.3532774E+001
 5.0009161E+000, 3.7619447E-002, 6.3419825E-001, 2.9912433E+000, 3.5914941E+001, 4.4526942E+001, 2.7967486E-001, 1.1544596E-001, 3.8567595E+001, 4.3847173E+001, 4.9271655E+001, 5.4103801E+001
 6.0011232E+000, 3.6454404E-002, 6.5099643E-001, 5.1905068E+000, 3.2849499E+001, 3.9367279E+001, 3.0973138E-001, 8.0046697E-002, 3.5542432E+001, 4.1710980E+001, 4.9552121E+001, 5.6824597E+001
 7.0002133E+000, 3.4039413E-002, 9.9193258E-001, 2.3216823E+000, 3.7142095E+001, 4.1367305E+001, 3.1693437E-001, 1.2052089E-001, 4.0739154E+001, 4.8493459E+001, 5.5784285E+001, 6.1184259E+001
 8.0010299E+000, 3.4047285E-002, 7.3123817E-001, 1.5584181E+000, 3.4454488E+001, 3.5828742E+001, 3.5914760E-001, 2.1551858E-001, 3.7805952E+001, 4.4805417E+001, 5.1712114E+001, 5.7538318E+001
