s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2,C,C,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4","T_SURF_MEAN","T_SURF_MAX","HF_MEAN"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1868836E-001, 4.1874927E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001,-1.9972526E-005
 1.0002972E+001, 1.7476049E-004, 7.4725496E-002, 1.2705393E-002, 2.8956710E+000, 9.8272943E-001, 9.1538548E-005, 3.1514783E-005, 1.4905475E+000, 2.0382245E-001, 1.6250086E-002, 1.4050777E-002, 2.0993954E+001, 2.2212144E+001, 1.2745335E+000
 2.0011119E+001, 2.4358094E-004, 1.5413506E-001, 1.4430774E-002, 6.4774405E+000, 1.1271874E+000, 2.1570000E-004, 3.5963598E-005, 4.3976296E+000, 1.5394300E+000, 1.1443560E-001, 3.3499159E-002, 2.3507264E+001, 3.0331572E+001, 1.8151813E+000
 3.0008895E+001, 3.0701948E-004, 2.1011523E-001, 1.7116749E-002, 1.0412027E+001, 1.2358775E+000, 4.1227813E-004, 4.3564541E-005, 7.6894924E+000, 3.9807897E+000, 1.4172344E+000, 3.1299887E-001, 2.6238053E+001, 4.2508393E+001, 2.2404841E+000
 4.0000836E+001, 4.2001005E-004, 3.3845431E-001, 2.2896853E-002, 2.0349553E+001, 1.3516242E+000, 1.2444389E-003, 5.0270888E-005, 1.5066196E+001, 8.2550133E+000, 4.4919767E+000, 2.1645419E+000, 2.9485221E+001, 6.4262577E+001, 2.9340710E+000
 5.0001441E+001, 1.5532573E-003, 8.7989623E-001, 3.6238548E-002, 6.2978590E+001, 2.8855419E+000, 4.5031644E-002, 6.8022308E-005, 5.9374650E+001, 5.1447615E+001, 4.2906662E+001, 3.6319802E+001, 3.4721246E+001, 9.6019184E+001, 6.6494957E+000
 6.0003842E+001, 5.8986191E-003, 8.4504354E-001, 4.0404265E-002, 6.0355415E+001, 7.1415340E+000, 2.0415730E-001, 8.7207001E-005, 6.9862280E+001, 8.2973556E+001, 8.4649246E+001, 8.2911319E+001, 4.6600327E+001, 9.8126261E+001, 1.4668505E+001
 7.0001717E+001, 1.6775875E-002, 9.3735548E-001, 1.2106559E-001, 5.7171749E+001, 1.4182269E+001, 2.8657156E-001, 2.5521991E-004, 6.5626959E+001, 8.2419401E+001, 9.0839984E+001, 9.4040984E+001, 6.4886746E+001, 9.8092646E+001, 2.6974495E+001
 8.0000798E+001, 4.3028622E-002, 8.3193220E-001, 5.4881410E-001, 5.2404225E+001, 2.9187407E+001, 4.1562419E-001, 1.5816802E-002, 5.9068427E+001, 7.4849376E+001, 8.7900664E+001, 9.5051957E+001, 8.7354920E+001, 9.8304185E+001, 4.5723406E+001
 9.0001876E+001, 5.8380037E-002, 7.0484283E-001, 1.3070560E+000, 4.2107452E+001, 3.9887148E+001, 5.2198186E-001, 1.2024142E-001, 4.8379004E+001, 6.1984086E+001, 7.5128744E+001, 8.4087238E+001, 9.5910197E+001, 9.8449183E+001, 4.2606541E+001
 1.0000032E+002, 4.8128001E-002, 2.6163138E-001, 5.1904411E-001, 3.8194069E+001, 2.5788347E+001, 5.7861706E-001, 3.7106590E-001, 4.4703829E+001, 5.8009777E+001, 7.1127907E+001, 8.1645360E+001, 9.6080233E+001, 9.8746840E+001, 3.1424503E+001
 1.1000158E+002, 5.0164776E-002, 2.2532692E-001, 4.8745490E-001, 3.7143511E+001, 2.6462838E+001, 5.9411087E-001, 4.1553728E-001, 4.3364213E+001, 5.6505965E+001, 7.0311014E+001, 8.3336359E+001, 9.6085037E+001, 9.8640630E+001, 3.0953852E+001
 1.2000139E+002, 5.3505526E-002, 2.1313773E-001, 4.0533038E-001, 3.8315049E+001, 2.5710471E+001, 6.0558220E-001, 4.1223347E-001, 4.4967686E+001, 5.9444828E+001, 7.5877744E+001, 9.0195653E+001, 9.6096002E+001, 9.8851349E+001, 3.1649410E+001
 1.3000149E+002, 5.3562567E-002, 2.3225625E-001, 3.7396130E-001, 3.7081399E+001, 2.5941496E+001, 6.1591493E-001, 4.1475588E-001, 4.3368254E+001, 5.6444768E+001, 7.0356663E+001, 8.4621884E+001, 9.6168899E+001, 9.8738271E+001, 3.1177524E+001
 1.4000007E+002, 5.4699334E-002, 2.5838893E-001, 3.7042021E-001, 3.7016429E+001, 2.4530887E+001, 5.8611882E-001, 4.0799646E-001, 4.3373397E+001, 5.6891058E+001, 7.1077577E+001, 8.3599125E+001, 9.6188706E+001, 9.8832570E+001, 3.0957496E+001
 1.5000202E+002, 5.7077666E-002, 2.1258841E-001, 3.8876564E-001, 3.7678486E+001, 2.5935873E+001, 6.0563524E-001, 4.2974917E-001, 4.4199817E+001, 5.8481606E+001, 7.4239525E+001, 8.8210980E+001, 9.6195769E+001, 9.8694924E+001, 3.1498609E+001
 1.6000062E+002, 5.7489591E-002, 1.9339564E-001, 4.3176853E-001, 3.7677038E+001, 2.6932484E+001, 6.2097126E-001, 3.9645692E-001, 4.4281791E+001, 5.8981621E+001, 7.5437733E+001, 9.0091363E+001, 9.6271753E+001, 9.8676770E+001, 3.1407762E+001
 1.7000055E+002, 5.8580318E-002, 2.1883980E-001, 4.5752510E-001, 3.6847683E+001, 2.8387038E+001, 6.0437326E-001, 4.1699134E-001, 4.3219405E+001, 5.7079139E+001, 7.2288041E+001, 8.6717129E+001, 9.6229167E+001, 9.8568373E+001, 3.1191619E+001
 1.8000277E+002, 6.1923719E-002, 2.1727671E-001, 3.8869361E-001, 3.7471908E+001, 2.8198704E+001, 6.1822480E-001, 4.7289616E-001, 4.4007283E+001, 5.8062407E+001, 7.3043913E+001, 8.8047242E+001, 9.6213401E+001, 9.8529737E+001, 3.2103522E+001
 1.9000062E+002, 6.6017379E-002, 1.7231562E-001, 3.5960840E-001, 3.9751604E+001, 3.0830984E+001, 6.3070889E-001, 5.0267106E-001, 4.7058473E+001, 6.3585595E+001, 8.1721262E+001, 9.4579688E+001, 9.6308423E+001, 9.8806343E+001, 3.3518091E+001
 2.0000097E+002, 6.8617448E-002, 1.8933362E-001, 3.9601905E-001, 3.9603234E+001, 3.1298093E+001, 6.1187493E-001, 4.8655535E-001, 4.6717943E+001, 6.2351765E+001, 7.8999454E+001, 9.3545188E+001, 9.6318902E+001, 9.9062686E+001, 3.4369787E+001
 2.1000036E+002, 6.2585748E-002, 1.6649903E-001, 3.9107680E-001, 3.6041702E+001, 2.6414360E+001, 6.0324188E-001, 4.2683953E-001, 4.2553389E+001, 5.6483870E+001, 7.0819972E+001, 8.5240228E+001, 9.6260653E+001, 9.9311053E+001, 3.1251351E+001
 2.2000074E+002, 6.6551537E-002, 1.9835329E-001, 2.9818793E-001, 3.8047649E+001, 2.8762023E+001, 5.5256598E-001, 4.8000471E-001, 4.5059234E+001, 6.0271434E+001, 7.6699817E+001, 9.2302777E+001, 9.6301098E+001, 9.9438509E+001, 3.3137915E+001
 2.3000149E+002, 5.8633193E-002, 2.2244468E-001, 2.5697084E-001, 3.4726622E+001, 2.4749749E+001, 5.0687958E-001, 4.4824384E-001, 4.1207149E+001, 5.5702430E+001, 7.1376995E+001, 8.5998031E+001, 9.6295428E+001, 9.9080293E+001, 2.9613994E+001
 2.4000097E+002, 6.1767927E-002, 2.1483445E-001, 2.8822292E-001, 3.5120603E+001, 2.4435445E+001, 4.8624026E-001, 3.8901696E-001, 4.1476324E+001, 5.5476580E+001, 6.9845736E+001, 8.4215237E+001, 9.6295261E+001, 9.9018691E+001, 3.1456218E+001
 2.5000052E+002, 5.4097864E-002, 1.9394508E-001, 2.6057070E-001, 3.1875623E+001, 2.5085241E+001, 4.5257653E-001, 4.4692497E-001, 3.7617278E+001, 5.0248876E+001, 6.2791370E+001, 7.5836873E+001, 9.6247801E+001, 9.8954242E+001, 2.8544194E+001
 2.6000096E+002, 5.0048134E-002, 2.2214973E-001, 3.4539672E-001, 3.0876010E+001, 2.4249338E+001, 4.3571963E-001, 3.7356147E-001, 3.6345497E+001, 4.8479694E+001, 6.1000980E+001, 7.3515267E+001, 9.6163776E+001, 9.9032560E+001, 2.7703655E+001
 2.7000029E+002, 4.8531473E-002, 2.6596277E-001, 3.8762714E-001, 3.0634317E+001, 2.4513158E+001, 4.1340424E-001, 3.4507158E-001, 3.5811269E+001, 4.7415664E+001, 5.8959656E+001, 7.1542677E+001, 9.6191978E+001, 9.8853453E+001, 2.8130337E+001
 2.8000048E+002, 4.8051272E-002, 2.7625171E-001, 5.3345262E-001, 3.0663608E+001, 2.7061204E+001, 4.0544125E-001, 2.7565305E-001, 3.5646863E+001, 4.6716792E+001, 5.7914453E+001, 6.9177207E+001, 9.6109145E+001, 9.8771785E+001, 2.9161962E+001
 2.9000197E+002, 4.9908984E-002, 3.2361710E-001, 8.1186803E-001, 3.1962566E+001, 3.0039714E+001, 3.9295066E-001, 2.1613904E-001, 3.6823282E+001, 4.7347063E+001, 5.7880993E+001, 6.8252251E+001, 9.6081160E+001, 9.8594572E+001, 3.1670863E+001
 3.0000176E+002, 5.2579370E-002, 3.7694254E-001, 7.3546311E-001, 3.3218156E+001, 3.0251721E+001, 3.8907850E-001, 2.2219692E-001, 3.7774640E+001, 4.7792252E+001, 5.8198744E+001, 6.8256528E+001, 9.6080654E+001, 9.8537927E+001, 3.5191354E+001
 3.1000201E+002, 5.2139579E-002, 4.4417738E-001, 1.2935224E+000, 3.4526428E+001, 3.6920558E+001, 3.6180073E-001, 1.0469599E-001, 3.8850168E+001, 4.8358196E+001, 5.7747924E+001, 6.7074712E+001, 9.6043309E+001, 9.8626778E+001, 3.7731510E+001
 3.2000095E+002, 5.1701844E-002, 5.5302655E-001, 1.3780752E+000, 3.6971670E+001, 4.0911847E+001, 3.2103584E-001, 9.6927946E-002, 4.0905007E+001, 4.9694702E+001, 5.8497298E+001, 6.6727731E+001, 9.6023909E+001, 9.8603428E+001, 4.1919904E+001
 3.3000094E+002, 4.9951860E-002, 9.0632170E-001, 1.2603646E+000, 4.3273097E+001, 3.9907266E+001, 2.7755624E-001, 1.2036061E-001, 4.7381039E+001, 5.6369621E+001, 6.5073494E+001, 7.2201657E+001, 9.6030951E+001, 9.8628012E+001, 4.7461235E+001
 3.4000033E+002, 4.5674274E-002, 9.7409811E-001, 1.2591009E+000, 4.8886327E+001, 4.0368971E+001, 2.6311597E-001, 9.9962809E-002, 5.3200928E+001, 6.2171180E+001, 7.0462805E+001, 7.7215119E+001, 9.6303719E+001, 9.8846843E+001, 5.2370126E+001
 3.5000182E+002, 4.0062599E-002, 1.1404743E+000, 1.4092784E+000, 6.0604880E+001, 4.2959711E+001, 1.4949765E-001, 8.5604340E-002, 6.3919053E+001, 6.9562884E+001, 7.3414547E+001, 7.6563781E+001, 9.6422412E+001, 9.9234056E+001, 5.9846413E+001
 3.6000258E+002, 2.9712796E-002, 1.2089197E+000, 1.6190968E+000, 7.6122275E+001, 4.5063605E+001, 7.0547865E-002, 6.5571980E-002, 7.7681832E+001, 7.8242094E+001, 7.8624476E+001, 7.9460504E+001, 9.6365341E+001, 9.9023714E+001, 6.4716859E+001
 3.7000106E+002, 2.0979413E-002, 1.5271235E+000, 1.7055517E+000, 8.6038604E+001, 4.5750449E+001, 2.6511535E-002, 5.1201043E-002, 8.5423138E+001, 8.2848098E+001, 8.0528270E+001, 7.8742590E+001, 9.5942220E+001, 9.8789274E+001, 6.6144567E+001
 3.8000156E+002, 1.4398344E-002, 1.2792292E+000, 1.8105683E+000, 8.2515616E+001, 4.2049226E+001, 9.0839960E-003, 3.1534574E-002, 8.0598171E+001, 7.6165718E+001, 7.1256324E+001, 6.6519677E+001, 9.5195902E+001, 9.8887884E+001, 6.2698838E+001
 3.9000001E+002, 9.0659263E-003, 8.8095949E-001, 1.7343963E+000, 6.0036026E+001, 4.0224013E+001, 8.2386370E-004, 2.3129623E-002, 5.6899890E+001, 5.1076049E+001, 4.5125385E+001, 3.9211709E+001, 9.3965255E+001, 9.8597005E+001, 5.0499628E+001
 4.0000421E+002, 6.9480484E-003, 6.8304100E-001, 1.6786660E+000, 3.6967188E+001, 4.3323085E+001, 5.2659727E-005, 1.9127927E-002, 3.2996713E+001, 2.7607279E+001, 2.3392478E+001, 1.9824704E+001, 9.2654686E+001, 9.9192209E+001, 4.1244857E+001
 4.1000082E+002, 5.2999172E-003, 3.5624498E-001, 1.4878087E+000, 2.0175691E+001, 3.8338899E+001, 3.8094327E-006, 1.5430158E-002, 1.6631312E+001, 1.2688343E+001, 1.0125790E+001, 8.1358035E+000, 9.1209971E+001, 9.9112412E+001, 3.2099951E+001
 4.2000368E+002, 4.2628427E-003, 1.5885060E-001, 1.3348410E+000, 1.3379936E+001, 3.4333190E+001, 1.1442029E-006, 1.0454844E-002, 1.0135040E+001, 6.9884068E+000, 5.1644719E+000, 3.8871747E+000, 9.0019458E+001, 9.8791940E+001, 2.6678317E+001
 4.3000327E+002, 3.4833823E-003, 1.6761256E-002, 1.2109642E+000, 9.6633919E+000, 3.3291954E+001, 5.5970652E-007, 8.5765849E-003, 6.8807614E+000, 4.5116269E+000, 3.2323452E+000, 2.3277349E+000, 8.8375704E+001, 9.8638488E+001, 2.2040064E+001
 4.4000224E+002, 2.4819448E-003,-7.1358950E-002, 1.2043099E+000, 5.6284073E+000, 5.0107143E+001, 1.0991013E-007, 1.7735427E-002, 3.4164769E+000, 1.9173347E+000, 1.2157917E+000, 7.8974560E-001, 8.6859850E+001, 9.8417892E+001, 1.6031210E+001
 4.5000039E+002, 1.8404912E-003,-8.8344796E-002, 1.1087454E+000, 3.5903666E+000, 4.9106725E+001, 1.2664233E-007, 9.3545246E-003, 1.8836332E+000, 9.3866893E-001, 5.3186784E-001, 3.1838349E-001, 8.5307098E+001, 9.8377655E+001, 1.1848972E+001
 4.6000050E+002, 1.5663620E-003,-7.6662396E-002, 7.4942477E-001, 2.8212213E+000, 2.8829495E+001, 1.0147157E-007, 2.8754028E-003, 1.3947685E+000, 6.9443559E-001, 4.0764407E-001, 2.5599719E-001, 8.3913972E+001, 9.8439667E+001, 9.8712945E+000
 4.7000770E+002, 1.3907883E-003,-9.5899599E-002, 4.1417116E-001, 2.3156088E+000, 1.1822433E+001, 4.3745537E-008, 7.9231367E-004, 1.1038023E+000, 5.5147155E-001, 3.1531581E-001, 1.8756848E-001, 8.2412322E+001, 9.8427207E+001, 8.2191062E+000
 4.8000910E+002, 1.0750218E-003,-1.3808319E-001, 2.5712607E-001, 1.9607475E+000, 6.3972873E+000, 1.3150065E-007, 3.4178419E-004, 8.3955950E-001, 3.7314130E-001, 1.8921601E-001, 1.0564949E-001, 8.0890140E+001, 9.8273948E+001, 6.5676141E+000
 4.9000060E+002, 9.2126221E-004,-1.7224394E-001, 1.4161535E-001, 1.7349078E+000, 4.3589953E+000, 1.7625983E-008, 2.6696215E-004, 7.7582568E-001, 3.6514363E-001, 1.8980228E-001, 1.0790031E-001, 7.9491179E+001, 9.8107730E+001, 4.8804192E+000
 5.0000000E+002, 8.4590065E-004,-2.6466389E-001, 9.8801239E-002, 1.5134944E+000, 3.6504933E+000, 4.4322814E-009, 1.6938848E-004, 6.3823242E-001, 2.8835285E-001, 1.4773420E-001, 8.2929858E-002, 7.7858456E+001, 9.8212110E+001, 4.0786334E+000
