s,kW/m2,kW/m2,kg/s/m2,C,C
Time,"qdot","mdot_ideal","mdot","Tsurf","Tsurf_max"
 0.000E+00, 2.000E+01, 3.460E-02, 0.000E+00, 2.000E+01, 2.000E+01
 1.000E+01, 3.041E+01, 5.261E-02, 4.452E-03, 3.397E+01, 4.319E+01
 2.000E+01, 5.438E+01, 9.407E-02, 3.832E-02, 5.395E+01, 6.278E+01
 3.000E+01, 4.378E+01, 7.574E-02, 5.048E-02, 5.544E+01, 6.295E+01
 4.000E+01, 4.081E+01, 7.060E-02, 5.389E-02, 5.533E+01, 6.302E+01
 5.000E+01, 4.029E+01, 6.970E-02, 5.648E-02, 5.526E+01, 6.246E+01
 6.000E+01, 3.991E+01, 6.905E-02, 5.763E-02, 5.522E+01, 6.210E+01
 7.000E+01, 4.001E+01, 6.922E-02, 5.865E-02, 5.521E+01, 6.199E+01
 8.000E+01, 4.008E+01, 6.933E-02, 5.940E-02, 5.525E+01, 6.208E+01
 9.000E+01, 3.961E+01, 6.852E-02, 5.924E-02, 5.519E+01, 6.152E+01
 1.000E+02, 3.934E+01, 6.807E-02, 6.018E-02, 5.519E+01, 6.160E+01
 1.100E+02, 3.908E+01, 6.761E-02, 6.163E-02, 5.516E+01, 6.143E+01
 1.200E+02, 3.879E+01, 6.710E-02, 6.208E-02, 5.519E+01, 6.145E+01
 1.300E+02, 3.847E+01, 6.656E-02, 6.208E-02, 5.511E+01, 6.136E+01
 1.400E+02, 3.807E+01, 6.587E-02, 6.194E-02, 5.513E+01, 6.135E+01
 1.500E+02, 3.879E+01, 6.710E-02, 6.345E-02, 5.511E+01, 6.140E+01
 1.600E+02, 3.854E+01, 6.667E-02, 6.337E-02, 5.508E+01, 6.100E+01
 1.700E+02, 3.860E+01, 6.678E-02, 6.385E-02, 5.513E+01, 6.078E+01
 1.800E+02, 3.856E+01, 6.671E-02, 6.392E-02, 5.511E+01, 6.076E+01
 1.900E+02, 3.849E+01, 6.659E-02, 6.390E-02, 5.508E+01, 6.069E+01
 2.000E+02, 3.797E+01, 6.569E-02, 6.322E-02, 5.509E+01, 6.063E+01
 2.100E+02, 3.833E+01, 6.631E-02, 6.392E-02, 5.504E+01, 6.022E+01
 2.200E+02, 3.881E+01, 6.715E-02, 6.472E-02, 5.506E+01, 6.033E+01
 2.300E+02, 3.850E+01, 6.660E-02, 6.434E-02, 5.509E+01, 6.058E+01
 2.400E+02, 3.811E+01, 6.593E-02, 6.378E-02, 5.501E+01, 6.027E+01
 2.500E+02, 3.835E+01, 6.634E-02, 6.414E-02, 5.504E+01, 6.018E+01
 2.600E+02, 3.879E+01, 6.710E-02, 6.498E-02, 5.509E+01, 6.044E+01
 2.700E+02, 3.779E+01, 6.538E-02, 6.342E-02, 5.503E+01, 6.016E+01
 2.800E+02, 3.821E+01, 6.610E-02, 6.407E-02, 5.506E+01, 6.043E+01
 2.900E+02, 3.846E+01, 6.653E-02, 6.455E-02, 5.508E+01, 6.021E+01
 3.000E+02, 3.825E+01, 6.617E-02, 6.429E-02, 5.499E+01, 5.988E+01
 3.100E+02, 3.795E+01, 6.565E-02, 6.380E-02, 5.509E+01, 6.029E+01
 3.200E+02, 3.843E+01, 6.649E-02, 6.462E-02, 5.507E+01, 5.979E+01
 3.300E+02, 3.877E+01, 6.707E-02, 6.523E-02, 5.501E+01, 6.003E+01
 3.400E+02, 3.883E+01, 6.717E-02, 6.548E-02, 5.504E+01, 6.026E+01
 3.500E+02, 3.853E+01, 6.665E-02, 6.494E-02, 5.498E+01, 5.989E+01
 3.600E+02, 3.826E+01, 6.618E-02, 6.447E-02, 5.505E+01, 6.009E+01
 3.700E+02, 3.846E+01, 6.654E-02, 6.487E-02, 5.504E+01, 5.998E+01
 3.800E+02, 3.905E+01, 6.756E-02, 6.589E-02, 5.495E+01, 5.988E+01
 3.900E+02, 3.853E+01, 6.666E-02, 6.523E-02, 5.499E+01, 5.977E+01
 4.000E+02, 3.820E+01, 6.609E-02, 6.519E-02, 5.504E+01, 5.995E+01
