s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_BENZENE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-4.031E-04,-1.269E-19, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.031E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 4.615E+01,-2.549E+01,-2.956E+00,-8.043E-01, 4.080E-03, 0.000E+00, 0.000E+00, 1.674E+01, 1.690E+01, 0.000E+00, 1.550E-03, 0.000E+00
 2.000E+01, 1.516E+03,-7.316E+02,-6.932E+02,-1.113E+01, 1.555E-01, 0.000E+00, 0.000E+00, 8.115E+01, 7.995E+01, 0.000E+00, 5.292E-02, 0.000E+00
 3.000E+01, 2.508E+03,-1.184E+03,-1.326E+03,-1.808E+01, 1.873E-01, 0.000E+00, 0.000E+00,-1.641E+01,-2.001E+01, 0.000E+00, 7.608E-02, 0.000E+00
 4.000E+01, 2.606E+03,-1.226E+03,-1.336E+03,-1.720E+01, 1.921E-01, 0.000E+00, 0.000E+00, 2.975E+01, 2.692E+01, 0.000E+00, 7.989E-02, 0.000E+00
 5.000E+01, 2.692E+03,-1.263E+03,-1.415E+03,-1.676E+01, 1.749E-01, 0.000E+00, 0.000E+00,-9.465E-01,-3.015E+00, 0.000E+00, 8.445E-02, 0.000E+00
 6.000E+01, 2.656E+03,-1.252E+03,-1.401E+03,-1.768E+01, 1.416E-01, 0.000E+00, 0.000E+00,-1.039E+01,-1.376E+01, 0.000E+00, 8.205E-02, 0.000E+00
 7.000E+01, 2.684E+03,-1.266E+03,-1.399E+03,-1.680E+01, 1.392E-01, 0.000E+00, 0.000E+00, 4.968E+00, 2.015E+00, 0.000E+00, 8.229E-02, 0.000E+00
 8.000E+01, 2.635E+03,-1.241E+03,-1.386E+03,-1.634E+01, 1.303E-01, 0.000E+00, 0.000E+00,-5.364E+00,-8.593E+00, 0.000E+00, 8.095E-02, 0.000E+00
 9.000E+01, 2.720E+03,-1.274E+03,-1.409E+03,-1.557E+01, 1.300E-01, 0.000E+00, 0.000E+00, 2.418E+01, 2.124E+01, 0.000E+00, 8.271E-02, 0.000E+00
 1.000E+02, 2.750E+03,-1.291E+03,-1.460E+03,-1.725E+01, 1.350E-01, 0.000E+00, 0.000E+00,-1.528E+01,-1.877E+01, 0.000E+00, 8.493E-02, 0.000E+00
 1.100E+02, 2.644E+03,-1.246E+03,-1.394E+03,-1.665E+01, 1.233E-01, 0.000E+00, 0.000E+00,-9.405E+00,-1.280E+01, 0.000E+00, 8.231E-02, 0.000E+00
 1.200E+02, 2.772E+03,-1.296E+03,-1.463E+03,-1.630E+01, 1.279E-01, 0.000E+00, 0.000E+00,-2.993E-02,-2.799E+00, 0.000E+00, 8.449E-02, 0.000E+00
 1.300E+02, 2.808E+03,-1.314E+03,-1.491E+03,-1.682E+01, 1.325E-01, 0.000E+00, 0.000E+00,-1.067E+01,-1.391E+01, 0.000E+00, 8.766E-02, 0.000E+00
 1.400E+02, 2.686E+03,-1.260E+03,-1.395E+03,-1.396E+01, 1.122E-01, 0.000E+00, 0.000E+00, 1.972E+01, 1.702E+01, 0.000E+00, 8.186E-02, 0.000E+00
