s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_BUTANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-4.031E-04, 7.865E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.835E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.579E+03,-4.714E+02,-9.739E+02,-1.449E+01,-2.452E-01, 0.000E+00, 0.000E+00, 1.205E+02, 1.192E+02, 0.000E+00, 5.388E-02, 0.000E+00
 2.000E+01, 3.225E+03,-9.652E+02,-2.221E+03,-2.415E+01,-1.420E-01, 0.000E+00, 0.000E+00, 1.596E+01, 1.384E+01, 0.000E+00, 7.713E-02, 0.000E+00
 3.000E+01, 2.683E+03,-8.072E+02,-1.893E+03,-2.265E+01,-1.911E-01, 0.000E+00, 0.000E+00,-3.801E+01,-4.031E+01, 0.000E+00, 5.497E-02, 0.000E+00
 4.000E+01, 2.548E+03,-7.676E+02,-1.740E+03,-2.168E+01,-3.072E-01, 0.000E+00, 0.000E+00, 2.087E+01, 1.890E+01, 0.000E+00, 5.915E-02, 0.000E+00
 5.000E+01, 2.304E+03,-6.920E+02,-1.613E+03,-1.815E+01,-2.438E-01, 0.000E+00, 0.000E+00,-1.647E+01,-1.869E+01, 0.000E+00, 5.325E-02, 0.000E+00
 6.000E+01, 2.307E+03,-6.936E+02,-1.585E+03,-1.785E+01,-2.509E-01, 0.000E+00, 0.000E+00, 1.185E+01, 1.026E+01, 0.000E+00, 5.394E-02, 0.000E+00
 7.000E+01, 2.400E+03,-7.198E+02,-1.666E+03,-1.807E+01,-2.582E-01, 0.000E+00, 0.000E+00,-3.098E+00,-4.553E+00, 0.000E+00, 5.538E-02, 0.000E+00
 8.000E+01, 2.522E+03,-7.598E+02,-1.742E+03,-2.051E+01,-2.846E-01, 0.000E+00, 0.000E+00, 7.836E-01,-1.446E+00, 0.000E+00, 5.758E-02, 0.000E+00
 9.000E+01, 2.583E+03,-7.741E+02,-1.777E+03,-2.255E+01,-3.105E-01, 0.000E+00, 0.000E+00, 1.257E+01, 9.592E+00, 0.000E+00, 6.029E-02, 0.000E+00
