s,kW,C,C
Time,"qdot","Tsurf","Tsurf_max"
 0.000E+00, 9.000E+00, 2.000E+01, 2.000E+01
 1.000E+01, 1.332E+01, 3.497E+01, 5.709E+01
 2.000E+01, 2.114E+01, 6.191E+01, 9.990E+01
 3.000E+01, 2.868E+01, 8.144E+01, 1.020E+02
 4.000E+01, 3.539E+01, 9.388E+01, 1.043E+02
 5.000E+01, 3.534E+01, 9.664E+01, 1.056E+02
 6.000E+01, 3.385E+01, 9.656E+01, 1.040E+02
 7.000E+01, 3.283E+01, 9.648E+01, 1.028E+02
 8.000E+01, 3.154E+01, 9.655E+01, 1.023E+02
 9.000E+01, 3.128E+01, 9.643E+01, 1.017E+02
 1.000E+02, 2.956E+01, 9.637E+01, 1.012E+02
 1.100E+02, 2.994E+01, 9.640E+01, 1.011E+02
 1.200E+02, 2.873E+01, 9.647E+01, 1.010E+02
 1.300E+02, 2.854E+01, 9.650E+01, 1.005E+02
 1.400E+02, 3.137E+01, 9.627E+01, 1.008E+02
 1.500E+02, 2.976E+01, 9.631E+01, 1.007E+02
 1.600E+02, 2.951E+01, 9.639E+01, 1.004E+02
 1.700E+02, 2.905E+01, 9.637E+01, 1.001E+02
 1.800E+02, 2.851E+01, 9.645E+01, 9.991E+01
 1.900E+02, 2.810E+01, 9.644E+01, 9.997E+01
 2.000E+02, 2.927E+01, 9.639E+01, 9.993E+01
 2.100E+02, 2.909E+01, 9.644E+01, 9.981E+01
 2.200E+02, 2.865E+01, 9.641E+01, 9.975E+01
 2.300E+02, 2.829E+01, 9.637E+01, 9.968E+01
 2.400E+02, 2.806E+01, 9.646E+01, 9.958E+01
 2.500E+02, 2.867E+01, 9.637E+01, 9.953E+01
 2.600E+02, 2.961E+01, 9.629E+01, 9.968E+01
 2.700E+02, 2.858E+01, 9.640E+01, 9.958E+01
 2.800E+02, 2.804E+01, 9.640E+01, 9.954E+01
 2.900E+02, 2.934E+01, 9.635E+01, 9.951E+01
 3.000E+02, 2.795E+01, 9.634E+01, 9.923E+01
 3.100E+02, 2.893E+01, 9.626E+01, 9.935E+01
 3.200E+02, 2.823E+01, 9.637E+01, 9.918E+01
 3.300E+02, 2.866E+01, 9.636E+01, 9.927E+01
 3.400E+02, 2.819E+01, 9.639E+01, 9.915E+01
 3.500E+02, 2.869E+01, 9.637E+01, 9.911E+01
 3.600E+02, 2.775E+01, 9.645E+01, 9.902E+01
 3.700E+02, 2.825E+01, 9.639E+01, 9.913E+01
 3.800E+02, 3.043E+01, 9.615E+01, 9.915E+01
 3.900E+02, 2.795E+01, 9.630E+01, 9.895E+01
 4.000E+02, 2.879E+01, 9.628E+01, 9.911E+01
