s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"PT-RW-Ba-U","PT-RW-Ba-L","PT-RW-Fr-U","PT-RW-Fr-L","PT-RW-Ce","TC-RW-Ba-U","TC-RW-Ba-L","TC-RW-Fr-U","TC-RW-Fr-L","TC-RW-Ce","PT-LW-Ba-U","PT-LW-Fr-U","PT-C-Ba-L","PT-C-Ba-R","PT-C-Fr-L","PT-C-Fr-R","PT-C-Ce","PT-F-Ba-R","PT-F-Fr-R","PT-BW-U","PT-BW-M","PT-BW-L","PT-FW-Le-U","PT-FW-Le-L","TC-Door-1490","TC-Door-1350","TC-Door-1200","TC-Door-1050","TC-Door-0900","TC-Door-0600","TC-Door-0300","TC-Door-0010","TC-Front-0010","TC-Front-0300","TC-Front-0600","TC-Front-0900","TC-Front-1200","TC-Front-1500","TC-Front-1790","TC-Back-0010","TC-Back-0300","TC-Back-0600","TC-Back-0900","TC-Back-1200","TC-Back-1500","TC-Back-1790","O2-Door-100","O2-Door-200","O2-Door-800","CO2-Door-100","CO2-Door-200","CO2-Door-800","CO-Door-100","CO-Door-200","CO-Door-800"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.078E-01, 2.078E-01, 2.078E-01, 3.869E-04, 3.869E-04, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 2.045E+01, 2.037E+01, 2.048E+01, 2.036E+01, 2.104E+01, 3.297E+01, 3.067E+01, 3.057E+01, 2.803E+01, 4.576E+01, 2.039E+01, 2.039E+01, 2.042E+01, 2.067E+01, 2.042E+01, 2.039E+01, 2.164E+01, 2.030E+01, 2.029E+01, 2.034E+01, 2.044E+01, 2.027E+01, 3.001E+01, 2.805E+01, 2.027E+01, 2.029E+01, 2.030E+01, 2.033E+01, 2.037E+01, 2.034E+01, 2.029E+01, 2.018E+01, 2.066E+01, 2.110E+01, 2.168E+01, 2.170E+01, 2.146E+01, 2.106E+01, 2.078E+01, 2.066E+01, 2.116E+01, 2.198E+01, 2.207E+01, 2.155E+01, 2.108E+01, 2.078E+01, 2.078E-01, 2.078E-01, 2.078E-01, 3.869E-04, 3.869E-04, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 4.302E+01, 3.337E+01, 5.269E+01, 3.579E+01, 5.503E+01, 2.699E+02, 1.668E+02, 2.952E+02, 1.731E+02, 3.058E+02, 4.354E+01, 6.123E+01, 4.729E+01, 4.476E+01, 7.945E+01, 7.418E+01, 2.058E+02, 3.502E+01, 3.841E+01, 4.047E+01, 3.833E+01, 3.301E+01, 3.073E+02, 1.803E+02, 9.140E+01, 1.133E+02, 5.304E+01, 3.934E+01, 3.605E+01, 3.299E+01, 3.072E+01, 3.223E+01, 4.966E+01, 4.821E+01, 5.919E+01, 7.416E+01, 9.458E+01, 1.598E+02, 5.786E+02, 4.501E+01, 4.638E+01, 5.386E+01, 6.102E+01, 6.634E+01, 7.282E+01, 3.985E+02, 1.857E-01, 1.853E-01, 2.055E-01, 1.253E-02, 1.274E-02, 1.680E-03, 0.000E+00, 0.000E+00, 0.000E+00
 4.501E+01, 1.810E+02, 8.619E+01, 2.086E+02, 9.853E+01, 1.496E+02, 6.349E+02, 3.819E+02, 6.585E+02, 4.122E+02, 5.265E+02, 1.872E+02, 2.335E+02, 2.240E+02, 2.159E+02, 3.071E+02, 2.859E+02, 4.669E+02, 1.024E+02, 1.175E+02, 1.554E+02, 1.106E+02, 8.572E+01, 7.077E+02, 4.199E+02, 6.457E+02, 5.672E+02, 4.050E+02, 2.926E+02, 2.075E+02, 7.212E+01, 6.418E+01, 1.079E+02, 1.696E+02, 1.235E+02, 1.532E+02, 2.457E+02, 5.790E+02, 6.388E+02, 9.410E+02, 1.523E+02, 1.292E+02, 1.430E+02, 2.223E+02, 3.094E+02, 4.873E+02, 8.470E+02, 1.101E-01, 1.133E-01, 2.062E-01, 5.390E-02, 5.218E-02, 1.277E-03, 0.000E+00, 0.000E+00, 0.000E+00
 6.004E+01, 3.541E+02, 1.702E+02, 4.467E+02, 2.092E+02, 2.929E+02, 6.946E+02, 4.873E+02, 7.646E+02, 5.366E+02, 6.344E+02, 3.841E+02, 5.250E+02, 4.032E+02, 3.685E+02, 6.039E+02, 5.155E+02, 6.336E+02, 2.011E+02, 2.472E+02, 3.346E+02, 2.265E+02, 1.675E+02, 8.537E+02, 5.538E+02, 8.524E+02, 8.280E+02, 6.566E+02, 5.283E+02, 3.572E+02, 1.394E+02, 1.291E+02, 1.646E+02, 2.887E+02, 2.377E+02, 3.029E+02, 4.631E+02, 7.470E+02, 9.398E+02, 9.734E+02, 2.195E+02, 2.118E+02, 2.967E+02, 5.080E+02, 6.258E+02, 7.340E+02, 7.702E+02, 5.302E-02, 8.267E-02, 2.059E-01, 8.452E-02, 6.889E-02, 1.456E-03, 0.000E+00, 0.000E+00, 0.000E+00
 7.504E+01, 4.964E+02, 2.605E+02, 5.764E+02, 3.035E+02, 4.239E+02, 7.340E+02, 5.455E+02, 7.566E+02, 5.484E+02, 6.659E+02, 5.326E+02, 6.718E+02, 5.498E+02, 5.017E+02, 7.182E+02, 6.344E+02, 7.536E+02, 3.012E+02, 3.511E+02, 4.779E+02, 3.595E+02, 2.519E+02, 7.876E+02, 5.647E+02, 7.747E+02, 7.592E+02, 6.742E+02, 5.917E+02, 3.960E+02, 1.720E+02, 1.285E+02, 1.394E+02, 2.576E+02, 2.499E+02, 3.253E+02, 5.420E+02, 7.581E+02, 8.701E+02, 8.809E+02, 2.469E+02, 2.696E+02, 3.931E+02, 6.671E+02, 7.664E+02, 7.976E+02, 8.090E+02, 5.992E-02, 7.964E-02, 2.058E-01, 8.041E-02, 7.042E-02, 1.512E-03, 0.000E+00, 0.000E+00, 0.000E+00
 9.004E+01, 6.052E+02, 3.501E+02, 6.790E+02, 3.856E+02, 5.266E+02, 7.779E+02, 5.908E+02, 8.164E+02, 5.923E+02, 7.034E+02, 6.302E+02, 7.278E+02, 6.457E+02, 6.103E+02, 7.533E+02, 7.288E+02, 8.337E+02, 3.999E+02, 4.378E+02, 5.762E+02, 4.608E+02, 3.413E+02, 8.045E+02, 6.044E+02, 7.878E+02, 8.507E+02, 7.146E+02, 6.745E+02, 6.152E+02, 2.133E+02, 1.293E+02, 1.455E+02, 2.409E+02, 3.204E+02, 4.115E+02, 6.302E+02, 7.461E+02, 8.852E+02, 9.312E+02, 3.228E+02, 3.456E+02, 3.942E+02, 5.372E+02, 7.475E+02, 7.688E+02, 8.540E+02, 5.298E-02, 6.974E-02, 2.051E-01, 8.384E-02, 7.562E-02, 1.885E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 6.779E+02, 4.334E+02, 7.611E+02, 4.681E+02, 6.013E+02, 7.748E+02, 6.181E+02, 8.503E+02, 6.428E+02, 7.364E+02, 6.830E+02, 7.952E+02, 6.868E+02, 6.742E+02, 8.285E+02, 8.105E+02, 8.427E+02, 4.849E+02, 5.205E+02, 6.367E+02, 5.405E+02, 4.269E+02, 8.811E+02, 6.561E+02, 9.163E+02, 9.418E+02, 7.796E+02, 6.629E+02, 5.261E+02, 2.728E+02, 1.533E+02, 1.410E+02, 2.578E+02, 4.058E+02, 4.673E+02, 6.122E+02, 8.594E+02, 9.920E+02, 9.403E+02, 3.781E+02, 3.696E+02, 3.968E+02, 6.011E+02, 7.953E+02, 7.747E+02, 7.985E+02, 4.660E-02, 6.816E-02, 2.060E-01, 8.655E-02, 7.655E-02, 1.369E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 7.033E+02, 4.957E+02, 8.363E+02, 5.476E+02, 6.524E+02, 7.598E+02, 6.352E+02, 9.353E+02, 6.983E+02, 7.581E+02, 7.044E+02, 8.508E+02, 6.991E+02, 6.963E+02, 8.808E+02, 8.866E+02, 8.298E+02, 5.426E+02, 5.948E+02, 6.672E+02, 5.889E+02, 4.946E+02, 9.428E+02, 7.058E+02, 9.870E+02, 1.009E+03, 8.946E+02, 8.831E+02, 6.731E+02, 3.065E+02, 1.820E+02, 1.944E+02, 2.971E+02, 4.475E+02, 5.169E+02, 7.392E+02, 1.044E+03, 1.062E+03, 9.901E+02, 3.945E+02, 4.016E+02, 4.099E+02, 6.051E+02, 7.583E+02, 7.594E+02, 7.707E+02, 3.558E-02, 5.474E-02, 2.067E-01, 9.231E-02, 8.375E-02, 1.017E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.350E+02, 7.205E+02, 5.498E+02, 9.064E+02, 6.232E+02, 7.032E+02, 7.800E+02, 6.690E+02, 9.638E+02, 7.431E+02, 7.966E+02, 7.238E+02, 9.249E+02, 7.185E+02, 7.137E+02, 9.436E+02, 9.391E+02, 8.386E+02, 5.908E+02, 6.650E+02, 6.901E+02, 6.277E+02, 5.521E+02, 1.009E+03, 7.523E+02, 9.907E+02, 1.000E+03, 9.046E+02, 7.557E+02, 5.542E+02, 3.007E+02, 2.071E+02, 2.064E+02, 3.393E+02, 4.844E+02, 5.758E+02, 8.060E+02, 1.038E+03, 1.083E+03, 1.037E+03, 4.545E+02, 4.477E+02, 4.488E+02, 7.038E+02, 7.856E+02, 7.768E+02, 7.973E+02, 4.905E-02, 4.884E-02, 2.074E-01, 8.695E-02, 8.692E-02, 6.278E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+02, 7.432E+02, 5.971E+02, 9.236E+02, 6.770E+02, 7.421E+02, 7.932E+02, 6.892E+02, 9.493E+02, 7.496E+02, 8.129E+02, 7.510E+02, 9.791E+02, 7.484E+02, 7.380E+02, 9.714E+02, 9.410E+02, 8.484E+02, 6.297E+02, 7.096E+02, 7.208E+02, 6.681E+02, 5.994E+02, 1.006E+03, 7.657E+02, 9.127E+02, 9.764E+02, 8.739E+02, 6.880E+02, 5.451E+02, 3.101E+02, 1.997E+02, 2.002E+02, 3.359E+02, 4.945E+02, 5.743E+02, 7.837E+02, 1.086E+03, 1.042E+03, 9.884E+02, 4.758E+02, 4.699E+02, 5.049E+02, 7.691E+02, 7.914E+02, 8.028E+02, 8.208E+02, 3.810E-02, 4.542E-02, 2.070E-01, 9.142E-02, 8.832E-02, 8.110E-04, 0.000E+00, 0.000E+00, 0.000E+00
