s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 3.005E+01, 2.153E+01, 2.013E+01, 2.002E+01, 2.000E+01, 2.000E+01, 8.524E+01, 3.049E+01, 2.124E+01, 2.025E+01, 2.007E+01, 5.690E+01, 2.485E+01, 2.021E+01, 2.005E+01, 2.001E+01, 2.014E+01, 2.002E+01, 2.000E+01, 2.000E+01, 2.000E+01
 6.006E+01, 6.175E+01, 2.747E+01, 2.321E+01, 2.173E+01, 2.088E+01, 3.369E+02, 1.308E+02, 8.287E+01, 6.073E+01, 4.501E+01, 3.664E+02, 1.902E+02, 1.257E+02, 8.724E+01, 6.172E+01, 2.486E+01, 2.092E+01, 2.038E+01, 2.019E+01, 2.009E+01
 9.006E+01, 1.798E+02, 5.732E+01, 3.260E+01, 2.729E+01, 2.485E+01, 5.080E+02, 2.529E+02, 1.225E+02, 8.817E+01, 7.423E+01, 5.316E+02, 2.918E+02, 1.898E+02, 1.388E+02, 1.121E+02, 4.055E+01, 2.421E+01, 2.142E+01, 2.081E+01, 2.049E+01
 1.201E+02, 3.635E+02, 1.388E+02, 5.166E+01, 3.467E+01, 2.936E+01, 5.877E+02, 4.060E+02, 2.123E+02, 1.167E+02, 8.051E+01, 6.127E+02, 4.355E+02, 2.578E+02, 1.789E+02, 1.194E+02, 6.924E+01, 3.349E+01, 2.374E+01, 2.171E+01, 2.108E+01
 1.500E+02, 5.178E+02, 2.393E+02, 8.247E+01, 4.408E+01, 3.537E+01, 6.636E+02, 4.561E+02, 2.573E+02, 1.348E+02, 1.003E+02, 7.100E+02, 4.414E+02, 2.709E+02, 1.886E+02, 1.519E+02, 1.074E+02, 5.445E+01, 2.957E+01, 2.345E+01, 2.203E+01
 1.800E+02, 6.159E+02, 3.971E+02, 1.689E+02, 7.316E+01, 4.573E+01, 6.941E+02, 5.841E+02, 3.731E+02, 2.206E+02, 1.386E+02, 7.479E+02, 6.108E+02, 4.035E+02, 3.055E+02, 2.172E+02, 1.452E+02, 7.520E+01, 3.633E+01, 2.563E+01, 2.311E+01
 2.100E+02, 6.645E+02, 4.941E+02, 2.272E+02, 9.170E+01, 5.403E+01, 7.131E+02, 5.447E+02, 3.348E+02, 1.810E+02, 1.246E+02, 7.918E+02, 6.140E+02, 3.839E+02, 2.621E+02, 2.114E+02, 1.815E+02, 9.815E+01, 4.609E+01, 2.890E+01, 2.437E+01
 2.400E+02, 6.794E+02, 5.104E+02, 2.402E+02, 9.518E+01, 5.762E+01, 7.024E+02, 5.390E+02, 3.272E+02, 1.664E+02, 1.026E+02, 7.874E+02, 5.932E+02, 3.766E+02, 2.380E+02, 1.566E+02, 2.169E+02, 1.188E+02, 5.337E+01, 3.126E+01, 2.552E+01
