s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol
Time,"PT-RW-Ba-U","PT-RW-Ba-L","PT-RW-Fr-U","PT-RW-Fr-L","PT-RW-Ce","TC-RW-Ba-U","TC-RW-Ba-L","TC-RW-Fr-U","TC-RW-Fr-L","TC-RW-Ce","TC-RW-25-U","TC-RW-50-U","TC-RW-75-U","TC-RW-25-L","TC-RW-50-L","TC-RW-75-L","PT-LW-Ba-U","PT-LW-Ba-L","PT-LW-Fr-U","PT-LW-Fr-L","PT-LW-Ce","PT-C-Ba-L","PT-C-Ba-R","PT-C-Fr-L","PT-C-Fr-R","PT-C-Ce","PT-F-Ba-L","PT-F-Ba-R","PT-F-Fr-L","PT-F-Fr-R","PT-BW-U","PT-BW-M","PT-BW-L","PT-FW-Le-U","PT-FW-Ri-U","PT-FW-Le-L","PT-FW-Ri-L","TC-Door-1490","TC-Door-1350","TC-Door-1200","TC-Door-1050","TC-Door-0900","TC-Door-0600","TC-Door-0300","TC-Door-0010","O2-Door-100","O2-Door-200","O2-Door-400","O2-Door-800"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.076E-01, 2.076E-01, 2.076E-01, 2.076E-01
 1.502E+01, 2.061E+01, 2.059E+01, 2.012E+01, 2.011E+01, 2.028E+01, 2.540E+01, 2.462E+01, 2.092E+01, 2.085E+01, 2.222E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.056E+01, 2.058E+01, 2.011E+01, 2.011E+01, 2.026E+01, 2.062E+01, 2.065E+01, 2.022E+01, 2.020E+01, 2.020E+01, 2.048E+01, 2.047E+01, 2.011E+01, 2.010E+01, 2.078E+01, 3.436E+01, 2.074E+01, 2.257E+01, 2.245E+01, 2.236E+01, 2.223E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.002E+01, 2.076E-01, 2.076E-01, 2.076E-01, 2.076E-01
 3.003E+01, 5.470E+01, 3.327E+01, 2.624E+01, 2.361E+01, 2.940E+01, 1.664E+02, 7.425E+01, 5.066E+01, 3.625E+01, 6.125E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 6.026E+01, 3.295E+01, 2.615E+01, 2.349E+01, 2.934E+01, 7.574E+01, 7.093E+01, 2.466E+01, 2.473E+01, 3.581E+01, 3.562E+01, 3.466E+01, 2.541E+01, 2.508E+01, 6.872E+01, 1.704E+02, 3.074E+01, 6.351E+01, 6.081E+01, 5.106E+01, 4.905E+01, 2.152E+01, 2.341E+01, 2.346E+01, 2.235E+01, 2.189E+01, 2.149E+01, 2.167E+01, 2.174E+01, 2.060E-01, 2.046E-01, 2.064E-01, 2.076E-01
 4.503E+01, 2.247E+02, 6.711E+01, 7.790E+01, 4.009E+01, 6.789E+01, 5.329E+02, 1.566E+02, 2.336E+02, 8.610E+01, 1.683E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 1.782E+02, 6.707E+01, 7.553E+01, 4.046E+01, 6.800E+01, 2.587E+02, 2.833E+02, 9.595E+01, 9.832E+01, 1.614E+02, 8.189E+01, 8.332E+01, 5.115E+01, 5.165E+01, 1.934E+02, 2.802E+02, 6.043E+01, 2.203E+02, 2.309E+02, 1.093E+02, 1.120E+02, 2.129E+02, 2.393E+02, 1.833E+02, 1.466E+02, 9.233E+01, 5.048E+01, 3.121E+01, 3.185E+01, 1.219E-01, 1.300E-01, 1.511E-01, 2.002E-01
 6.003E+01, 4.387E+02, 1.190E+02, 1.980E+02, 7.059E+01, 1.347E+02, 6.793E+02, 2.489E+02, 4.024E+02, 1.453E+02, 2.836E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.898E+02, 1.195E+02, 1.815E+02, 7.098E+01, 1.411E+02, 4.733E+02, 5.101E+02, 2.144E+02, 2.263E+02, 3.214E+02, 1.551E+02, 1.580E+02, 9.818E+01, 1.004E+02, 3.759E+02, 3.813E+02, 1.088E+02, 3.595E+02, 3.812E+02, 1.777E+02, 1.800E+02, 5.475E+02, 5.197E+02, 4.229E+02, 2.877E+02, 1.236E+02, 7.130E+01, 4.915E+01, 5.356E+01, 5.900E-02, 7.441E-02, 1.333E-01, 2.075E-01
 7.501E+01, 5.792E+02, 1.767E+02, 3.020E+02, 1.075E+02, 2.068E+02, 6.909E+02, 3.174E+02, 4.814E+02, 2.033E+02, 3.625E+02, 2.002E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.000E+01, 2.000E+01, 5.651E+02, 1.773E+02, 2.936E+02, 1.082E+02, 2.288E+02, 6.388E+02, 6.424E+02, 3.197E+02, 3.279E+02, 4.506E+02, 2.333E+02, 2.329E+02, 1.523E+02, 1.521E+02, 5.572E+02, 4.716E+02, 1.606E+02, 4.588E+02, 4.531E+02, 2.416E+02, 2.351E+02, 5.686E+02, 5.662E+02, 5.208E+02, 3.858E+02, 2.011E+02, 8.726E+01, 6.856E+01, 7.311E+01, 5.594E-02, 6.145E-02, 7.249E-02, 2.075E-01
 9.004E+01, 7.115E+02, 2.547E+02, 4.084E+02, 1.580E+02, 3.064E+02, 8.139E+02, 4.200E+02, 5.510E+02, 2.764E+02, 4.886E+02, 2.006E+01, 2.000E+01, 2.000E+01, 2.003E+01, 2.000E+01, 2.000E+01, 7.121E+02, 2.544E+02, 4.286E+02, 1.595E+02, 3.275E+02, 7.747E+02, 7.705E+02, 4.389E+02, 4.287E+02, 5.823E+02, 3.299E+02, 3.271E+02, 2.214E+02, 2.176E+02, 7.065E+02, 5.642E+02, 2.313E+02, 5.413E+02, 5.265E+02, 3.183E+02, 3.095E+02, 6.126E+02, 6.257E+02, 5.792E+02, 5.114E+02, 4.297E+02, 1.109E+02, 9.124E+01, 9.503E+01, 4.976E-02, 5.891E-02, 6.489E-02, 2.068E-01
 1.050E+02, 7.944E+02, 3.325E+02, 4.989E+02, 2.120E+02, 4.072E+02, 8.155E+02, 4.625E+02, 5.899E+02, 3.246E+02, 5.522E+02, 2.015E+01, 2.000E+01, 2.000E+01, 2.007E+01, 2.000E+01, 2.000E+01, 7.739E+02, 3.305E+02, 5.187E+02, 2.137E+02, 4.083E+02, 8.184E+02, 8.354E+02, 5.154E+02, 5.068E+02, 6.560E+02, 4.136E+02, 4.150E+02, 2.852E+02, 2.821E+02, 7.721E+02, 6.335E+02, 3.063E+02, 5.686E+02, 5.571E+02, 3.634E+02, 3.599E+02, 6.237E+02, 6.318E+02, 6.052E+02, 5.746E+02, 3.486E+02, 1.292E+02, 1.088E+02, 1.136E+02, 4.963E-02, 5.484E-02, 4.664E-02, 2.059E-01
 1.200E+02, 8.375E+02, 4.046E+02, 5.693E+02, 2.671E+02, 4.897E+02, 8.504E+02, 5.201E+02, 6.286E+02, 3.797E+02, 5.977E+02, 2.033E+01, 2.001E+01, 2.000E+01, 2.015E+01, 2.000E+01, 2.000E+01, 8.291E+02, 4.028E+02, 5.767E+02, 2.688E+02, 4.895E+02, 8.603E+02, 8.667E+02, 5.721E+02, 5.661E+02, 7.093E+02, 4.874E+02, 4.867E+02, 3.449E+02, 3.415E+02, 8.433E+02, 6.920E+02, 3.762E+02, 6.070E+02, 5.989E+02, 4.212E+02, 4.142E+02, 6.329E+02, 6.451E+02, 6.350E+02, 6.162E+02, 3.887E+02, 1.581E+02, 1.239E+02, 1.285E+02, 5.128E-02, 5.923E-02, 7.109E-02, 2.052E-01
