s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"PT-RW-Ba-U","PT-RW-Ba-L","PT-RW-Fr-U","PT-RW-Fr-L","PT-RW-Ce","TC-RW-Ba-U","TC-RW-Ba-L","TC-RW-Fr-U","TC-RW-Fr-L","TC-RW-Ce","PT-LW-Ba-U","PT-LW-Fr-U","PT-C-Ba-L","PT-C-Ba-R","PT-C-Fr-L","PT-C-Fr-R","PT-C-Ce","PT-F-Ba-R","PT-F-Fr-R","PT-BW-U","PT-BW-M","PT-BW-L","PT-FW-Le-U","PT-FW-Le-L","TC-Door-1490","TC-Door-1350","TC-Door-1200","TC-Door-1050","TC-Door-0900","TC-Door-0600","TC-Door-0300","TC-Door-0010","TC-Front-0010","TC-Front-0300","TC-Front-0600","TC-Front-0900","TC-Front-1200","TC-Front-1500","TC-Front-1790","TC-Back-0010","TC-Back-0300","TC-Back-0600","TC-Back-0900","TC-Back-1200","TC-Back-1500","TC-Back-1790","O2-Door-100","O2-Door-200","O2-Door-800","CO2-Door-100","CO2-Door-200","CO2-Door-800","CO-Door-100","CO-Door-200","CO-Door-800"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.076E-01, 2.076E-01, 2.076E-01, 3.864E-04, 3.864E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 2.050E+01, 2.053E+01, 2.052E+01, 2.053E+01, 2.149E+01, 2.016E+01, 2.018E+01, 2.014E+01, 2.013E+01, 2.044E+01, 2.051E+01, 2.050E+01, 2.058E+01, 2.054E+01, 2.057E+01, 2.051E+01, 2.175E+01, 2.042E+01, 2.043E+01, 2.048E+01, 2.058E+01, 2.041E+01, 2.015E+01, 2.015E+01, 2.036E+01, 2.040E+01, 2.048E+01, 2.052E+01, 2.049E+01, 2.054E+01, 2.041E+01, 2.029E+01, 2.089E+01, 2.154E+01, 2.237E+01, 2.250E+01, 2.191E+01, 2.129E+01, 2.092E+01, 2.086E+01, 2.156E+01, 2.247E+01, 2.251E+01, 2.191E+01, 2.131E+01, 2.093E+01, 2.076E-01, 2.076E-01, 2.076E-01, 3.864E-04, 3.864E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 3.001E+01, 3.988E+01, 3.023E+01, 4.674E+01, 3.174E+01, 5.178E+01, 2.669E+01, 2.337E+01, 2.735E+01, 2.319E+01, 2.963E+01, 4.169E+01, 4.866E+01, 4.351E+01, 4.209E+01, 6.559E+01, 6.566E+01, 1.821E+02, 3.070E+01, 3.265E+01, 3.697E+01, 3.381E+01, 2.950E+01, 2.753E+01, 2.342E+01, 1.724E+02, 1.606E+02, 5.517E+01, 3.467E+01, 3.054E+01, 2.844E+01, 2.637E+01, 2.489E+01, 3.153E+01, 3.769E+01, 4.774E+01, 5.899E+01, 7.064E+01, 9.291E+01, 5.038E+02, 3.096E+01, 3.662E+01, 4.339E+01, 4.875E+01, 5.135E+01, 6.186E+01, 3.650E+02, 1.610E-01, 1.670E-01, 2.073E-01, 2.582E-02, 2.257E-02, 5.526E-04, 0.000E+00, 0.000E+00, 0.000E+00
 4.503E+01, 1.123E+02, 4.781E+01, 1.433E+02, 5.363E+01, 1.018E+02, 5.097E+01, 2.948E+01, 5.801E+01, 2.989E+01, 4.701E+01, 1.210E+02, 1.399E+02, 1.555E+02, 1.331E+02, 1.911E+02, 2.112E+02, 4.320E+02, 5.386E+01, 6.112E+01, 9.511E+01, 6.274E+01, 4.797E+01, 5.130E+01, 3.056E+01, 4.444E+02, 3.584E+02, 2.602E+02, 1.760E+02, 1.348E+02, 3.945E+01, 3.480E+01, 3.213E+01, 4.213E+01, 5.147E+01, 6.803E+01, 1.409E+02, 2.922E+02, 4.823E+02, 6.966E+02, 4.326E+01, 5.045E+01, 5.962E+01, 1.380E+02, 2.402E+02, 3.689E+02, 7.282E+02, 1.262E-01, 1.297E-01, 2.070E-01, 4.498E-02, 4.300E-02, 7.124E-04, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+01, 2.268E+02, 7.047E+01, 2.803E+02, 8.032E+01, 1.688E+02, 9.467E+01, 3.789E+01, 1.095E+02, 3.890E+01, 7.170E+01, 2.147E+02, 2.440E+02, 2.768E+02, 2.576E+02, 3.330E+02, 3.649E+02, 5.982E+02, 8.544E+01, 9.826E+01, 1.807E+02, 1.059E+02, 7.118E+01, 9.457E+01, 4.000E+01, 6.353E+02, 5.802E+02, 4.314E+02, 2.705E+02, 1.153E+02, 5.333E+01, 4.684E+01, 4.276E+01, 5.751E+01, 6.880E+01, 9.342E+01, 2.698E+02, 4.230E+02, 7.000E+02, 8.584E+02, 5.590E+01, 6.624E+01, 9.329E+01, 3.267E+02, 4.745E+02, 5.838E+02, 7.166E+02, 8.912E-02, 1.143E-01, 2.051E-01, 6.515E-02, 5.152E-02, 1.740E-03, 0.000E+00, 0.000E+00, 0.000E+00
 7.502E+01, 3.131E+02, 9.358E+01, 3.575E+02, 1.009E+02, 2.216E+02, 1.375E+02, 4.742E+01, 1.499E+02, 4.707E+01, 9.480E+01, 2.940E+02, 3.238E+02, 3.628E+02, 3.571E+02, 4.276E+02, 4.572E+02, 6.947E+02, 1.157E+02, 1.263E+02, 2.520E+02, 1.618E+02, 9.143E+01, 1.338E+02, 4.873E+01, 6.652E+02, 5.904E+02, 5.012E+02, 4.242E+02, 3.058E+02, 5.210E+01, 4.636E+01, 4.322E+01, 5.582E+01, 6.539E+01, 9.539E+01, 3.093E+02, 4.710E+02, 6.765E+02, 7.751E+02, 6.538E+01, 7.636E+01, 1.221E+02, 3.826E+02, 5.205E+02, 5.550E+02, 6.537E+02, 6.945E-02, 7.414E-02, 2.059E-01, 7.558E-02, 7.315E-02, 1.310E-03, 0.000E+00, 0.000E+00, 0.000E+00
 9.004E+01, 3.631E+02, 1.153E+02, 4.113E+02, 1.221E+02, 2.780E+02, 1.732E+02, 5.743E+01, 1.872E+02, 5.602E+01, 1.224E+02, 3.655E+02, 4.017E+02, 4.199E+02, 4.141E+02, 4.980E+02, 5.093E+02, 7.459E+02, 1.433E+02, 1.537E+02, 3.005E+02, 1.997E+02, 1.118E+02, 1.700E+02, 5.798E+01, 5.942E+02, 5.908E+02, 5.284E+02, 5.108E+02, 3.778E+02, 5.762E+01, 4.723E+01, 4.375E+01, 5.232E+01, 5.866E+01, 1.295E+02, 3.942E+02, 4.996E+02, 6.455E+02, 7.892E+02, 7.785E+01, 8.579E+01, 1.214E+02, 3.419E+02, 5.173E+02, 5.463E+02, 6.735E+02, 7.116E-02, 8.102E-02, 2.057E-01, 7.450E-02, 6.955E-02, 1.403E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 3.977E+02, 1.355E+02, 4.567E+02, 1.444E+02, 3.293E+02, 2.057E+02, 6.753E+01, 2.244E+02, 6.607E+01, 1.532E+02, 4.020E+02, 4.464E+02, 4.378E+02, 4.386E+02, 5.460E+02, 5.507E+02, 7.430E+02, 1.679E+02, 1.814E+02, 3.319E+02, 2.374E+02, 1.307E+02, 2.046E+02, 6.834E+01, 6.396E+02, 6.489E+02, 6.264E+02, 6.059E+02, 3.726E+02, 6.617E+01, 5.111E+01, 4.659E+01, 5.609E+01, 6.239E+01, 1.350E+02, 4.055E+02, 5.226E+02, 6.606E+02, 7.544E+02, 8.250E+01, 9.235E+01, 1.275E+02, 4.737E+02, 4.748E+02, 4.838E+02, 6.194E+02, 6.957E-02, 7.004E-02, 2.070E-01, 7.521E-02, 7.500E-02, 7.034E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 4.207E+02, 1.567E+02, 4.810E+02, 1.654E+02, 3.814E+02, 2.349E+02, 7.869E+01, 2.567E+02, 7.650E+01, 1.859E+02, 4.251E+02, 4.690E+02, 4.481E+02, 4.563E+02, 5.548E+02, 5.647E+02, 7.459E+02, 1.926E+02, 2.061E+02, 3.508E+02, 2.718E+02, 1.513E+02, 2.353E+02, 7.888E+01, 6.015E+02, 5.973E+02, 6.032E+02, 5.818E+02, 4.442E+02, 6.757E+01, 5.086E+01, 4.655E+01, 5.895E+01, 6.828E+01, 1.495E+02, 4.600E+02, 5.348E+02, 6.084E+02, 7.248E+02, 8.226E+01, 9.633E+01, 1.363E+02, 4.970E+02, 4.830E+02, 5.046E+02, 6.115E+02, 6.943E-02, 7.840E-02, 2.062E-01, 7.512E-02, 7.074E-02, 1.105E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.350E+02, 4.411E+02, 1.799E+02, 5.033E+02, 1.857E+02, 4.184E+02, 2.636E+02, 9.109E+01, 2.888E+02, 8.739E+01, 2.170E+02, 4.461E+02, 4.958E+02, 4.647E+02, 4.695E+02, 5.723E+02, 5.758E+02, 7.265E+02, 2.183E+02, 2.289E+02, 3.736E+02, 3.101E+02, 1.734E+02, 2.667E+02, 8.999E+01, 6.013E+02, 5.954E+02, 5.740E+02, 5.801E+02, 4.749E+02, 6.447E+01, 5.034E+01, 4.695E+01, 6.061E+01, 6.710E+01, 1.504E+02, 4.070E+02, 5.485E+02, 6.102E+02, 7.327E+02, 8.876E+01, 1.033E+02, 1.564E+02, 6.110E+02, 5.330E+02, 5.242E+02, 5.889E+02, 7.184E-02, 7.711E-02, 1.978E-01, 7.405E-02, 7.154E-02, 5.705E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+02, 4.639E+02, 1.987E+02, 5.200E+02, 2.051E+02, 4.538E+02, 2.924E+02, 1.031E+02, 3.186E+02, 9.864E+01, 2.488E+02, 4.533E+02, 5.148E+02, 4.677E+02, 4.791E+02, 5.815E+02, 5.779E+02, 7.227E+02, 2.397E+02, 2.505E+02, 3.861E+02, 3.382E+02, 1.924E+02, 2.971E+02, 1.015E+02, 5.988E+02, 6.222E+02, 6.285E+02, 6.106E+02, 5.337E+02, 7.968E+01, 5.577E+01, 5.028E+01, 6.260E+01, 6.913E+01, 1.807E+02, 4.350E+02, 5.807E+02, 6.162E+02, 7.402E+02, 8.684E+01, 1.008E+02, 1.533E+02, 5.150E+02, 5.368E+02, 5.244E+02, 5.828E+02, 7.256E-02, 7.507E-02, 1.759E-01, 7.338E-02, 7.237E-02, 1.738E-02, 0.000E+00, 0.000E+00, 0.000E+00
 1.650E+02, 4.793E+02, 2.164E+02, 5.563E+02, 2.292E+02, 4.881E+02, 3.198E+02, 1.153E+02, 3.559E+02, 1.121E+02, 2.839E+02, 4.592E+02, 5.341E+02, 4.737E+02, 4.890E+02, 6.068E+02, 6.066E+02, 7.023E+02, 2.594E+02, 2.773E+02, 3.985E+02, 3.610E+02, 2.102E+02, 3.297E+02, 1.148E+02, 6.397E+02, 6.744E+02, 6.762E+02, 6.471E+02, 5.801E+02, 8.763E+01, 6.184E+01, 5.603E+01, 6.907E+01, 8.412E+01, 1.768E+02, 5.019E+02, 6.176E+02, 7.190E+02, 7.264E+02, 9.431E+01, 1.034E+02, 1.654E+02, 5.920E+02, 5.001E+02, 5.247E+02, 5.861E+02, 6.657E-02, 6.758E-02, 1.958E-01, 7.631E-02, 7.639E-02, 6.801E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+02, 4.866E+02, 2.330E+02, 5.754E+02, 2.499E+02, 5.123E+02, 3.434E+02, 1.278E+02, 3.904E+02, 1.256E+02, 3.169E+02, 4.640E+02, 5.476E+02, 4.789E+02, 4.898E+02, 6.173E+02, 6.266E+02, 6.982E+02, 2.774E+02, 2.989E+02, 4.095E+02, 3.827E+02, 2.253E+02, 3.615E+02, 1.284E+02, 6.578E+02, 6.547E+02, 6.501E+02, 6.269E+02, 5.662E+02, 8.267E+01, 6.013E+01, 5.551E+01, 7.275E+01, 8.833E+01, 2.006E+02, 5.437E+02, 6.317E+02, 6.971E+02, 7.257E+02, 9.825E+01, 1.079E+02, 1.710E+02, 6.011E+02, 5.080E+02, 5.290E+02, 5.906E+02, 6.541E-02, 7.482E-02, 2.005E-01, 7.753E-02, 7.282E-02, 4.276E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.950E+02, 5.008E+02, 2.483E+02, 5.922E+02, 2.671E+02, 5.316E+02, 3.682E+02, 1.402E+02, 4.226E+02, 1.386E+02, 3.492E+02, 4.665E+02, 5.589E+02, 4.842E+02, 5.030E+02, 6.185E+02, 6.397E+02, 6.953E+02, 2.942E+02, 3.168E+02, 4.213E+02, 4.038E+02, 2.408E+02, 3.900E+02, 1.412E+02, 6.608E+02, 6.444E+02, 6.404E+02, 6.333E+02, 6.011E+02, 8.036E+01, 5.981E+01, 5.648E+01, 7.387E+01, 8.101E+01, 2.262E+02, 5.174E+02, 5.872E+02, 7.804E+02, 7.412E+02, 1.032E+02, 1.057E+02, 1.587E+02, 6.012E+02, 5.384E+02, 5.354E+02, 5.843E+02, 6.718E-02, 7.796E-02, 1.895E-01, 7.654E-02, 7.096E-02, 1.020E-02, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 5.215E+02, 2.664E+02, 6.089E+02, 2.868E+02, 5.492E+02, 3.947E+02, 1.541E+02, 4.546E+02, 1.530E+02, 3.812E+02, 4.720E+02, 5.726E+02, 4.837E+02, 5.135E+02, 6.321E+02, 6.560E+02, 6.723E+02, 3.126E+02, 3.372E+02, 4.302E+02, 4.439E+02, 2.594E+02, 4.193E+02, 1.554E+02, 6.902E+02, 7.039E+02, 6.951E+02, 6.430E+02, 6.446E+02, 9.602E+01, 6.629E+01, 6.127E+01, 8.003E+01, 1.066E+02, 2.406E+02, 5.076E+02, 6.395E+02, 7.351E+02, 7.204E+02, 1.125E+02, 1.111E+02, 1.599E+02, 5.624E+02, 5.806E+02, 5.631E+02, 5.717E+02, 5.783E-02, 6.673E-02, 1.809E-01, 7.971E-02, 7.669E-02, 1.485E-02, 0.000E+00, 0.000E+00, 0.000E+00
 2.250E+02, 5.262E+02, 2.782E+02, 6.235E+02, 3.039E+02, 5.494E+02, 4.161E+02, 1.665E+02, 4.853E+02, 1.675E+02, 4.054E+02, 4.828E+02, 5.844E+02, 4.928E+02, 5.159E+02, 6.460E+02, 6.620E+02, 6.770E+02, 3.243E+02, 3.541E+02, 4.371E+02, 4.461E+02, 2.715E+02, 4.490E+02, 1.700E+02, 7.083E+02, 7.109E+02, 6.947E+02, 6.869E+02, 5.628E+02, 9.180E+01, 6.731E+01, 6.569E+01, 8.544E+01, 1.027E+02, 2.502E+02, 5.346E+02, 6.825E+02, 7.599E+02, 7.782E+02, 1.122E+02, 1.125E+02, 1.722E+02, 5.539E+02, 5.254E+02, 5.566E+02, 5.997E+02, 6.263E-02, 6.604E-02, 2.020E-01, 7.917E-02, 7.740E-02, 3.409E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+02, 5.250E+02, 2.903E+02, 6.324E+02, 3.215E+02, 5.498E+02, 4.333E+02, 1.791E+02, 5.127E+02, 1.827E+02, 4.274E+02, 4.937E+02, 6.168E+02, 5.021E+02, 5.168E+02, 6.725E+02, 6.721E+02, 6.679E+02, 3.355E+02, 3.701E+02, 4.481E+02, 4.502E+02, 2.827E+02, 4.825E+02, 1.861E+02, 6.820E+02, 7.008E+02, 6.992E+02, 7.043E+02, 6.796E+02, 1.026E+02, 7.097E+01, 7.159E+01, 9.648E+01, 1.230E+02, 2.555E+02, 5.544E+02, 6.666E+02, 7.849E+02, 7.501E+02, 1.272E+02, 1.201E+02, 1.942E+02, 5.769E+02, 5.332E+02, 5.748E+02, 5.977E+02, 5.821E-02, 7.058E-02, 1.880E-01, 8.031E-02, 7.479E-02, 1.106E-02, 0.000E+00, 0.000E+00, 0.000E+00
 2.550E+02, 5.247E+02, 3.023E+02, 6.541E+02, 3.382E+02, 5.629E+02, 4.487E+02, 1.921E+02, 5.424E+02, 1.981E+02, 4.533E+02, 5.057E+02, 6.378E+02, 5.098E+02, 5.210E+02, 6.849E+02, 6.965E+02, 6.651E+02, 3.478E+02, 3.867E+02, 4.592E+02, 4.585E+02, 2.941E+02, 5.131E+02, 2.026E+02, 6.880E+02, 6.972E+02, 6.793E+02, 6.737E+02, 6.036E+02, 9.749E+01, 7.085E+01, 6.995E+01, 9.825E+01, 1.180E+02, 2.610E+02, 5.563E+02, 6.475E+02, 7.876E+02, 7.678E+02, 1.300E+02, 1.240E+02, 1.997E+02, 5.992E+02, 5.635E+02, 5.553E+02, 5.923E+02, 5.754E-02, 5.693E-02, 1.857E-01, 7.928E-02, 8.071E-02, 1.233E-02, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+02, 5.275E+02, 3.142E+02, 6.778E+02, 3.542E+02, 5.762E+02, 4.638E+02, 2.055E+02, 5.730E+02, 2.141E+02, 4.780E+02, 5.160E+02, 6.454E+02, 5.122E+02, 5.201E+02, 6.914E+02, 7.052E+02, 6.623E+02, 3.600E+02, 4.032E+02, 4.665E+02, 4.638E+02, 3.056E+02, 5.401E+02, 2.183E+02, 7.460E+02, 7.328E+02, 7.618E+02, 7.508E+02, 6.831E+02, 1.061E+02, 7.492E+01, 7.443E+01, 9.586E+01, 1.205E+02, 2.608E+02, 5.457E+02, 6.688E+02, 7.974E+02, 7.826E+02, 1.451E+02, 1.300E+02, 1.851E+02, 5.895E+02, 5.302E+02, 5.491E+02, 5.757E+02, 5.649E-02, 6.445E-02, 2.021E-01, 8.092E-02, 7.819E-02, 3.367E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.850E+02, 5.345E+02, 3.223E+02, 6.947E+02, 3.706E+02, 5.815E+02, 4.799E+02, 2.177E+02, 6.017E+02, 2.309E+02, 4.992E+02, 5.182E+02, 6.549E+02, 5.135E+02, 5.266E+02, 7.086E+02, 7.169E+02, 6.670E+02, 3.697E+02, 4.198E+02, 4.703E+02, 4.649E+02, 3.143E+02, 5.672E+02, 2.343E+02, 7.682E+02, 8.003E+02, 8.024E+02, 7.403E+02, 6.721E+02, 1.183E+02, 8.173E+01, 8.330E+01, 1.071E+02, 1.579E+02, 2.763E+02, 5.741E+02, 7.117E+02, 8.302E+02, 8.117E+02, 1.382E+02, 1.378E+02, 1.879E+02, 5.979E+02, 5.392E+02, 5.781E+02, 6.168E+02, 5.304E-02, 5.847E-02, 1.950E-01, 8.355E-02, 8.133E-02, 7.254E-03, 0.000E+00, 0.000E+00, 0.000E+00
