s,m
Time,"L_F"
 0.0000000E+000, 0.0000000E+000
 1.0069533E+000, 0.0000000E+000
 2.0042315E+000, 0.0000000E+000
 3.0010582E+000, 0.0000000E+000
 4.0017706E+000, 0.0000000E+000
 5.0033542E+000, 0.0000000E+000
 6.0021402E+000, 0.0000000E+000
 7.0027249E+000, 0.0000000E+000
 8.0035697E+000, 0.0000000E+000
 9.0037995E+000, 0.0000000E+000
 1.0002757E+001, 0.0000000E+000
 1.1003616E+001, 4.8539636E+000
 1.2003230E+001, 4.5035498E+000
 1.3003033E+001, 4.8702758E+000
 1.4002145E+001, 4.8467633E+000
 1.5002703E+001, 4.7648539E+000
 1.6002390E+001, 4.7671482E+000
 1.7001427E+001, 4.6138205E+000
 1.8003667E+001, 4.4636558E+000
 1.9004727E+001, 4.4867288E+000
 2.0001826E+001, 4.5419281E+000
 2.1000086E+001, 4.6254758E+000
 2.2003409E+001, 4.6439543E+000
 2.3004338E+001, 4.6689216E+000
 2.4003373E+001, 4.6825295E+000
 2.5004003E+001, 4.6618841E+000
 2.6000294E+001, 4.6213190E+000
 2.7003620E+001, 4.6119546E+000
 2.8000956E+001, 4.5853751E+000
 2.9000334E+001, 4.5574267E+000
 3.0000000E+001, 4.5299562E+000
