m,C,m,kW/m2,kW/m2,m,kW/m
z_TC,TC,z_HF,HF_wide,HF_narrow,z_HRRPUL,HRRPUL
 1.0000000E-001, 8.7077278E+002, 3.0000000E-001, 2.6353356E-001, 1.5950976E+001, 5.0000000E-002, 9.5233759E+003
 2.0000000E-001, 8.5210499E+002, 1.0000000E+000, 7.4579037E-001, 6.8592906E+000, 1.5000000E-001, 3.6486748E+003
 3.0000000E-001, 8.2876028E+002, 1.5000000E+000, 4.6359601E-001, 4.3575171E+000, 2.5000000E-001, 1.4101222E+003
 4.0000000E-001, 8.0125111E+002, 2.0000000E+000, 6.2079684E-001, 2.8030339E+000, 3.5000000E-001, 6.5523333E+002
 5.0000000E-001, 7.7210326E+002, 2.4990000E+000, 6.8084975E-001, 1.9909990E+000, 4.5000000E-001, 3.7929934E+002
 7.5000000E-001, 7.1436855E+002, 3.0000000E+000, 5.9450615E-001, 1.1614181E+000, 5.5000000E-001, 2.6136169E+002
 1.0000000E+000, 6.4146409E+002, 3.5000000E+000, 5.9517659E-001, 7.9322962E-001, 6.5000000E-001, 1.9974147E+002
 1.5000000E+000, 5.3468416E+002, 4.0000000E+000, 6.0958359E-001, 6.4655594E-001, 7.5000000E-001, 1.6350187E+002
 2.0000000E+000, 4.5626937E+002,NaN,NaN,NaN, 8.5000000E-001, 1.3927340E+002
 2.4990000E+000, 4.0673049E+002,NaN,NaN,NaN, 9.5000000E-001, 1.2114378E+002
 3.0000000E+000, 3.3882540E+002,NaN,NaN,NaN, 1.0500000E+000, 1.0707680E+002
 3.5000000E+000, 2.9245595E+002,NaN,NaN,NaN, 1.1500000E+000, 9.6085770E+001
 4.0000000E+000, 2.5182942E+002,NaN,NaN,NaN, 1.2500000E+000, 8.6839000E+001
 4.5000000E+000, 2.1695327E+002,NaN,NaN,NaN, 1.3500000E+000, 7.9157889E+001
 4.9990000E+000, 1.9730166E+002,NaN,NaN,NaN, 1.4500000E+000, 7.1857929E+001
