m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.6727525E+002, 3.0000000E-001, 5.5031584E-001, 3.1575495E+001, 5.0000000E-002, 1.2387965E+003
 2.0000000E-001, 9.6096920E+002, 1.0000000E+000, 1.2397948E+000, 1.7233300E+001, 1.5000000E-001, 5.8846246E+002
 3.0000000E-001, 9.4877923E+002, 1.5000000E+000, 8.4701755E-001, 1.2691287E+001, 2.5000000E-001, 2.5377396E+002
 4.0000000E-001, 9.2917924E+002, 2.0000000E+000, 1.0202563E+000, 9.4230051E+000, 3.5000000E-001, 1.3590556E+002
 5.0000000E-001, 9.1084176E+002, 2.4990000E+000, 1.1073851E+000, 7.5524611E+000, 4.5000000E-001, 8.8766902E+001
 7.5000000E-001, 8.7420878E+002, 3.0000000E+000, 9.8907707E-001, 5.0841453E+000, 5.5000000E-001, 6.6852897E+001
 1.0000000E+000, 8.1219028E+002, 3.5000000E+000, 9.7188457E-001, 3.5837097E+000, 6.5000000E-001, 5.4588337E+001
 1.5000000E+000, 7.1736480E+002, 4.0000000E+000, 9.7953847E-001, 2.3752439E+000, 7.5000000E-001, 4.7085773E+001
 2.0000000E+000, 6.1453601E+002,NaN,NaN,NaN, 8.5000000E-001, 4.1868939E+001
 2.4990000E+000, 5.3010971E+002,NaN,NaN,NaN, 9.5000000E-001, 3.8057061E+001
 3.0000000E+000, 4.3742973E+002,NaN,NaN,NaN, 1.0500000E+000, 3.5287264E+001
 3.5000000E+000, 3.8433051E+002,NaN,NaN,NaN, 1.1500000E+000, 3.3106384E+001
 4.0000000E+000, 3.2889770E+002,NaN,NaN,NaN, 1.2500000E+000, 3.1224538E+001
 4.5000000E+000, 2.8216257E+002,NaN,NaN,NaN, 1.3500000E+000, 2.9554900E+001
 4.9990000E+000, 2.5537215E+002,NaN,NaN,NaN, 1.4500000E+000, 2.7982885E+001
 5.5000000E+000, 2.2303722E+002,NaN,NaN,NaN, 1.5500000E+000, 2.6507651E+001
 6.0000000E+000, 1.9241215E+002,NaN,NaN,NaN, 1.6500000E+000, 2.5058321E+001
 6.5000000E+000, 1.7039092E+002,NaN,NaN,NaN, 1.7500000E+000, 2.3612011E+001
 7.0000000E+000, 1.5206536E+002,NaN,NaN,NaN, 1.8500000E+000, 2.2212036E+001
 7.4990000E+000, 1.4143495E+002,NaN,NaN,NaN, 1.9500000E+000, 2.0924749E+001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.9737186E+001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 1.8543922E+001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 1.7440819E+001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 1.6431400E+001
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 1.5478060E+001
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 1.4495744E+001
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 1.3510377E+001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 1.2529425E+001
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 1.1634485E+001
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 1.0744037E+001
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 9.8918893E+000
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 9.1240314E+000
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 8.3709130E+000
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 7.6339052E+000
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 6.9034398E+000
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 6.2469254E+000
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 5.6733792E+000
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 5.1155090E+000
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 4.6045754E+000
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 4.1401638E+000
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 3.7260870E+000
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 3.3543657E+000
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 3.0201518E+000
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 2.6828761E+000
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 2.3569486E+000
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 2.0746946E+000
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 1.8326438E+000
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 1.6343997E+000
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 1.4660074E+000
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 1.3066530E+000
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 1.1663300E+000
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 1.0422109E+000
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 9.2231788E-001
NaN,NaN,NaN,NaN,NaN, 5.3500000E+000, 8.1982080E-001
NaN,NaN,NaN,NaN,NaN, 5.4500000E+000, 7.2370808E-001
NaN,NaN,NaN,NaN,NaN, 5.5500000E+000, 6.2255731E-001
NaN,NaN,NaN,NaN,NaN, 5.6500000E+000, 5.2836539E-001
NaN,NaN,NaN,NaN,NaN, 5.7500000E+000, 4.4072070E-001
NaN,NaN,NaN,NaN,NaN, 5.8500000E+000, 3.6047735E-001
NaN,NaN,NaN,NaN,NaN, 5.9500000E+000, 2.9222186E-001
NaN,NaN,NaN,NaN,NaN, 6.0500000E+000, 2.3692569E-001
NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 1.9527146E-001
NaN,NaN,NaN,NaN,NaN, 6.2500000E+000, 1.6042556E-001
NaN,NaN,NaN,NaN,NaN, 6.3500000E+000, 1.3021403E-001
NaN,NaN,NaN,NaN,NaN, 6.4500000E+000, 1.0559222E-001
NaN,NaN,NaN,NaN,NaN, 6.5500000E+000, 8.7069315E-002
NaN,NaN,NaN,NaN,NaN, 6.6500000E+000, 7.2892493E-002
NaN,NaN,NaN,NaN,NaN, 6.7500000E+000, 6.1166918E-002
NaN,NaN,NaN,NaN,NaN, 6.8500000E+000, 5.0844445E-002
NaN,NaN,NaN,NaN,NaN, 6.9500000E+000, 4.2414241E-002
NaN,NaN,NaN,NaN,NaN, 7.0500000E+000, 3.5566944E-002
NaN,NaN,NaN,NaN,NaN, 7.1500000E+000, 3.0009976E-002
NaN,NaN,NaN,NaN,NaN, 7.2500000E+000, 2.5698494E-002
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 2.1788449E-002
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 1.8328779E-002
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 3.3699019E-002
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 1.2986177E-002
NaN,NaN,NaN,NaN,NaN, 7.7500000E+000, 1.0927593E-002
NaN,NaN,NaN,NaN,NaN, 7.8500000E+000, 9.1750309E-003
NaN,NaN,NaN,NaN,NaN, 7.9500000E+000, 7.6757734E-003
NaN,NaN,NaN,NaN,NaN, 8.0500000E+000, 6.4229907E-003
NaN,NaN,NaN,NaN,NaN, 8.1500000E+000, 5.2632892E-003
NaN,NaN,NaN,NaN,NaN, 8.2500000E+000, 4.2583825E-003
NaN,NaN,NaN,NaN,NaN, 8.3500000E+000, 3.5156191E-003
NaN,NaN,NaN,NaN,NaN, 8.4500000E+000, 2.9076064E-003
NaN,NaN,NaN,NaN,NaN, 8.5500000E+000, 2.3976646E-003
NaN,NaN,NaN,NaN,NaN, 8.6500000E+000, 1.9644863E-003
