m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YPFp2,YPFp4,YPFp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YPFp2_rms,YPFp4_rms,YPFp6_rms
-4.844E-01,-3.451E-02,-1.352E-02, 2.654E-02, 1.927E-01, 1.421E-01, 1.135E-01, 1.104E-03, 2.154E-04, 1.582E-04, 1.554E-03, 3.027E-04, 2.239E-04, 1.095E-01, 9.884E-02, 8.403E-02, 1.314E-01, 1.093E-01, 1.046E-01, 6.134E-03, 1.134E-03, 7.852E-04, 8.741E-03, 1.619E-03, 1.122E-03
-4.531E-01,-2.298E-02, 3.031E-02, 5.760E-02, 2.056E-01, 1.472E-01, 1.142E-01, 3.578E-03, 1.127E-03, 7.276E-04, 5.076E-03, 1.608E-03, 1.052E-03, 1.762E-01, 1.376E-01, 1.356E-01, 1.641E-01, 1.315E-01, 1.227E-01, 1.639E-02, 5.853E-03, 3.448E-03, 2.340E-02, 8.424E-03, 5.014E-03
-4.219E-01, 4.004E-03, 2.731E-02, 9.012E-02, 2.263E-01, 1.524E-01, 1.132E-01, 6.635E-03, 2.224E-03, 1.390E-03, 9.392E-03, 3.152E-03, 1.985E-03, 2.402E-01, 1.921E-01, 2.000E-01, 1.905E-01, 1.599E-01, 1.502E-01, 2.372E-02, 9.498E-03, 5.145E-03, 3.380E-02, 1.357E-02, 7.415E-03
-3.906E-01, 7.385E-02, 7.655E-02, 1.154E-01, 2.655E-01, 1.639E-01, 1.169E-01, 1.260E-02, 3.880E-03, 2.767E-03, 1.782E-02, 5.488E-03, 3.925E-03, 2.762E-01, 2.187E-01, 2.157E-01, 2.106E-01, 1.823E-01, 1.746E-01, 2.940E-02, 1.220E-02, 9.257E-03, 4.182E-02, 1.741E-02, 1.318E-02
-3.594E-01, 1.343E-01, 1.038E-01, 2.140E-01, 3.000E-01, 1.779E-01, 1.277E-01, 1.958E-02, 7.295E-03, 4.914E-03, 2.761E-02, 1.031E-02, 6.938E-03, 3.007E-01, 2.654E-01, 2.448E-01, 2.411E-01, 1.973E-01, 2.001E-01, 3.552E-02, 1.689E-02, 2.069E-02, 5.041E-02, 2.404E-02, 2.942E-02
-3.281E-01, 2.426E-01, 2.396E-01, 2.341E-01, 3.379E-01, 1.933E-01, 1.351E-01, 2.785E-02, 1.358E-02, 8.795E-03, 3.921E-02, 1.918E-02, 1.239E-02, 3.548E-01, 3.014E-01, 3.376E-01, 2.667E-01, 2.196E-01, 2.214E-01, 4.096E-02, 2.260E-02, 2.624E-02, 5.806E-02, 3.207E-02, 3.721E-02
-2.969E-01, 3.793E-01, 4.239E-01, 5.490E-01, 4.018E-01, 1.994E-01, 1.344E-01, 4.085E-02, 2.202E-02, 1.777E-02, 5.755E-02, 3.108E-02, 2.508E-02, 3.525E-01, 3.543E-01, 4.326E-01, 2.723E-01, 2.384E-01, 2.519E-01, 4.475E-02, 2.979E-02, 3.072E-02, 6.338E-02, 4.223E-02, 4.353E-02
-2.656E-01, 5.816E-01, 6.454E-01, 8.369E-01, 4.550E-01, 1.906E-01, 1.296E-01, 5.453E-02, 3.101E-02, 2.880E-02, 7.683E-02, 4.370E-02, 4.064E-02, 4.004E-01, 4.469E-01, 5.607E-01, 2.659E-01, 2.526E-01, 2.828E-01, 5.823E-02, 3.744E-02, 3.664E-02, 8.253E-02, 5.295E-02, 5.185E-02
-2.344E-01, 7.251E-01, 9.451E-01, 1.284E+00, 4.811E-01, 1.802E-01, 1.174E-01, 7.010E-02, 4.406E-02, 4.256E-02, 9.872E-02, 6.210E-02, 6.006E-02, 4.965E-01, 5.438E-01, 5.562E-01, 2.608E-01, 2.763E-01, 2.985E-01, 7.649E-02, 4.588E-02, 4.528E-02, 1.084E-01, 6.486E-02, 6.409E-02
-2.031E-01, 8.713E-01, 1.327E+00, 1.635E+00, 5.261E-01, 1.862E-01, 1.029E-01, 9.288E-02, 6.133E-02, 5.755E-02, 1.308E-01, 8.642E-02, 8.115E-02, 5.895E-01, 6.027E-01, 7.107E-01, 2.528E-01, 2.864E-01, 2.973E-01, 1.009E-01, 6.355E-02, 5.791E-02, 1.431E-01, 8.991E-02, 8.195E-02
-1.719E-01, 1.080E+00, 1.671E+00, 2.059E+00, 5.860E-01, 2.188E-01, 9.331E-02, 1.283E-01, 8.370E-02, 7.672E-02, 1.808E-01, 1.179E-01, 1.081E-01, 6.864E-01, 7.420E-01, 8.093E-01, 2.559E-01, 3.022E-01, 3.023E-01, 1.232E-01, 8.705E-02, 7.623E-02, 1.747E-01, 1.233E-01, 1.079E-01
-1.406E-01, 1.297E+00, 2.034E+00, 2.485E+00, 6.069E-01, 2.745E-01, 1.168E-01, 1.769E-01, 1.179E-01, 1.039E-01, 2.494E-01, 1.662E-01, 1.464E-01, 7.223E-01, 8.764E-01, 9.894E-01, 2.690E-01, 3.285E-01, 3.409E-01, 1.367E-01, 1.077E-01, 9.677E-02, 1.937E-01, 1.525E-01, 1.370E-01
-1.094E-01, 1.527E+00, 2.366E+00, 2.907E+00, 5.888E-01, 3.140E-01, 1.643E-01, 2.460E-01, 1.655E-01, 1.403E-01, 3.470E-01, 2.334E-01, 1.979E-01, 7.592E-01, 1.021E+00, 1.087E+00, 2.725E-01, 3.472E-01, 3.799E-01, 1.513E-01, 1.247E-01, 1.104E-01, 2.145E-01, 1.767E-01, 1.563E-01
-7.812E-02, 1.722E+00, 2.825E+00, 3.429E+00, 4.767E-01, 2.556E-01, 1.483E-01, 3.288E-01, 2.333E-01, 1.898E-01, 4.642E-01, 3.292E-01, 2.678E-01, 7.172E-01, 1.077E+00, 1.202E+00, 3.200E-01, 3.592E-01, 4.115E-01, 1.459E-01, 1.278E-01, 1.126E-01, 2.069E-01, 1.810E-01, 1.594E-01
-4.688E-02, 1.808E+00, 3.108E+00, 3.779E+00, 2.592E-01, 1.328E-01, 7.212E-02, 3.869E-01, 2.901E-01, 2.357E-01, 5.460E-01, 4.094E-01, 3.326E-01, 6.581E-01, 1.055E+00, 1.258E+00, 3.566E-01, 3.705E-01, 4.180E-01, 1.280E-01, 1.150E-01, 1.053E-01, 1.815E-01, 1.628E-01, 1.490E-01
-1.562E-02, 1.779E+00, 3.116E+00, 3.867E+00, 6.450E-02, 2.541E-02, 1.076E-02, 4.010E-01, 3.081E-01, 2.564E-01, 5.656E-01, 4.346E-01, 3.619E-01, 6.428E-01, 1.115E+00, 1.324E+00, 3.546E-01, 3.810E-01, 4.114E-01, 1.244E-01, 1.155E-01, 1.060E-01, 1.766E-01, 1.637E-01, 1.501E-01
 1.562E-02, 1.875E+00, 3.176E+00, 3.840E+00,-1.377E-01,-6.863E-02,-5.351E-02, 4.264E-01, 3.153E-01, 2.535E-01, 6.018E-01, 4.448E-01, 3.578E-01, 5.881E-01, 1.120E+00, 1.352E+00, 3.782E-01, 4.180E-01, 4.562E-01, 1.213E-01, 1.214E-01, 1.121E-01, 1.722E-01, 1.720E-01, 1.587E-01
 4.688E-02, 1.914E+00, 3.091E+00, 3.705E+00,-2.804E-01,-1.531E-01,-1.105E-01, 4.061E-01, 2.918E-01, 2.321E-01, 5.734E-01, 4.119E-01, 3.276E-01, 6.237E-01, 1.158E+00, 1.350E+00, 3.688E-01, 3.948E-01, 4.229E-01, 1.345E-01, 1.291E-01, 1.154E-01, 1.907E-01, 1.829E-01, 1.634E-01
 7.812E-02, 1.696E+00, 2.780E+00, 3.345E+00,-4.895E-01,-2.611E-01,-1.654E-01, 3.207E-01, 2.311E-01, 1.879E-01, 4.526E-01, 3.261E-01, 2.652E-01, 7.527E-01, 1.093E+00, 1.253E+00, 3.483E-01, 3.589E-01, 3.960E-01, 1.452E-01, 1.261E-01, 1.132E-01, 2.058E-01, 1.786E-01, 1.603E-01
 1.094E-01, 1.472E+00, 2.386E+00, 2.858E+00,-5.970E-01,-2.795E-01,-1.690E-01, 2.333E-01, 1.675E-01, 1.357E-01, 3.291E-01, 2.362E-01, 1.915E-01, 7.640E-01, 1.043E+00, 1.196E+00, 2.742E-01, 3.040E-01, 3.560E-01, 1.447E-01, 1.226E-01, 1.082E-01, 2.051E-01, 1.737E-01, 1.532E-01
 1.406E-01, 1.248E+00, 1.997E+00, 2.367E+00,-6.058E-01,-2.502E-01,-1.509E-01, 1.666E-01, 1.163E-01, 9.623E-02, 2.347E-01, 1.640E-01, 1.356E-01, 7.433E-01, 9.072E-01, 1.073E+00, 2.392E-01, 2.901E-01, 3.420E-01, 1.242E-01, 1.047E-01, 9.513E-02, 1.760E-01, 1.482E-01, 1.347E-01
 1.719E-01, 1.061E+00, 1.568E+00, 1.886E+00,-5.803E-01,-2.250E-01,-1.356E-01, 1.189E-01, 7.970E-02, 6.861E-02, 1.675E-01, 1.123E-01, 9.666E-02, 6.650E-01, 7.494E-01, 9.247E-01, 2.466E-01, 2.883E-01, 3.496E-01, 1.000E-01, 8.110E-02, 7.910E-02, 1.417E-01, 1.147E-01, 1.119E-01
 2.031E-01, 8.329E-01, 1.202E+00, 1.518E+00,-5.462E-01,-1.955E-01,-1.252E-01, 8.542E-02, 5.541E-02, 5.131E-02, 1.202E-01, 7.800E-02, 7.231E-02, 5.954E-01, 6.611E-01, 7.838E-01, 2.750E-01, 2.861E-01, 3.559E-01, 8.697E-02, 6.382E-02, 6.169E-02, 1.232E-01, 9.025E-02, 8.723E-02
 2.344E-01, 6.566E-01, 9.410E-01, 1.154E+00,-4.871E-01,-1.853E-01,-1.193E-01, 6.522E-02, 4.264E-02, 3.962E-02, 9.184E-02, 6.011E-02, 5.589E-02, 4.919E-01, 5.298E-01, 6.870E-01, 2.805E-01, 2.939E-01, 3.466E-01, 7.657E-02, 5.162E-02, 4.968E-02, 1.085E-01, 7.296E-02, 7.026E-02
 2.656E-01, 5.211E-01, 6.740E-01, 7.636E-01,-4.381E-01,-1.859E-01,-1.265E-01, 5.241E-02, 3.161E-02, 2.700E-02, 7.389E-02, 4.461E-02, 3.812E-02, 4.623E-01, 4.601E-01, 4.834E-01, 2.736E-01, 2.902E-01, 3.157E-01, 6.870E-02, 4.277E-02, 3.890E-02, 9.738E-02, 6.052E-02, 5.506E-02
