s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p07_025,HRRPUA-CONE_3p07_025,WALL TEMPERATURE-CONE_3p07_050,HRRPUA-CONE_3p07_050,WALL TEMPERATURE-CONE_3p07_075,HRRPUA-CONE_3p07_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 5.636E+01, 0.000E+00, 8.572E+01, 0.000E+00, 1.151E+02, 0.000E+00
 4.000E+00, 1.085E+02, 0.000E+00, 1.883E+02, 0.000E+00, 2.659E+02, 0.000E+00
 6.000E+00, 1.449E+02, 0.000E+00, 2.573E+02, 0.000E+00, 3.627E+02, 0.000E+00
 8.000E+00, 1.688E+02, 0.000E+00, 3.006E+02, 0.000E+00, 4.201E+02, 0.000E+00
 1.000E+01, 1.874E+02, 0.000E+00, 3.331E+02, 0.000E+00, 4.606E+02, 0.000E+00
 1.200E+01, 2.026E+02, 0.000E+00, 3.586E+02, 0.000E+00, 4.909E+02, 0.000E+00
 1.400E+01, 2.156E+02, 0.000E+00, 3.794E+02, 0.000E+00, 5.145E+02, 0.000E+00
 1.600E+01, 2.269E+02, 0.000E+00, 3.967E+02, 0.000E+00, 5.335E+02, 0.000E+00
 1.800E+01, 2.370E+02, 0.000E+00, 4.115E+02, 0.000E+00, 5.491E+02, 0.000E+00
 2.000E+01, 2.461E+02, 0.000E+00, 4.244E+02, 0.000E+00, 5.623E+02, 0.000E+00
 2.200E+01, 2.545E+02, 0.000E+00, 4.358E+02, 0.000E+00, 5.737E+02, 0.000E+00
 2.400E+01, 2.621E+02, 0.000E+00, 4.460E+02, 0.000E+00, 5.837E+02, 0.000E+00
 2.600E+01, 2.692E+02, 0.000E+00, 4.551E+02, 0.000E+00, 5.926E+02, 0.000E+00
 2.800E+01, 2.758E+02, 0.000E+00, 4.634E+02, 0.000E+00, 6.006E+02, 0.000E+00
 3.000E+01, 2.820E+02, 0.000E+00, 4.710E+02, 0.000E+00, 6.078E+02, 0.000E+00
 3.200E+01, 2.878E+02, 0.000E+00, 4.780E+02, 0.000E+00, 6.143E+02, 3.357E+01
 3.400E+01, 2.933E+02, 0.000E+00, 4.846E+02, 0.000E+00, 6.203E+02, 6.136E+01
 3.600E+01, 2.985E+02, 0.000E+00, 4.906E+02, 0.000E+00, 6.259E+02, 9.816E+01
 3.800E+01, 3.035E+02, 0.000E+00, 4.963E+02, 0.000E+00, 6.311E+02, 1.444E+02
 4.000E+01, 3.082E+02, 0.000E+00, 5.016E+02, 0.000E+00, 6.359E+02, 1.908E+02
 4.200E+01, 3.128E+02, 0.000E+00, 5.066E+02, 0.000E+00, 6.405E+02, 2.343E+02
 4.400E+01, 3.171E+02, 0.000E+00, 5.113E+02, 0.000E+00, 6.447E+02, 2.683E+02
 4.600E+01, 3.213E+02, 0.000E+00, 5.158E+02, 0.000E+00, 6.488E+02, 3.042E+02
 4.800E+01, 3.253E+02, 0.000E+00, 5.201E+02, 0.000E+00, 6.526E+02, 3.328E+02
 5.000E+01, 3.292E+02, 0.000E+00, 5.242E+02, 0.000E+00, 6.562E+02, 3.610E+02
 5.200E+01, 3.330E+02, 0.000E+00, 5.281E+02, 0.000E+00, 6.597E+02, 3.893E+02
 5.400E+01, 3.366E+02, 0.000E+00, 5.318E+02, 2.157E+01, 6.630E+02, 4.176E+02
 5.600E+01, 3.401E+02, 0.000E+00, 5.354E+02, 3.986E+01, 6.662E+02, 4.452E+02
 5.800E+01, 3.435E+02, 0.000E+00, 5.388E+02, 6.768E+01, 6.692E+02, 4.743E+02
 6.000E+01, 3.468E+02, 0.000E+00, 5.421E+02, 9.762E+01, 6.721E+02, 5.043E+02
 6.200E+01, 3.500E+02, 0.000E+00, 5.453E+02, 1.268E+02, 6.749E+02, 5.344E+02
 6.400E+01, 3.531E+02, 0.000E+00, 5.484E+02, 1.550E+02, 6.776E+02, 5.654E+02
 6.600E+01, 3.562E+02, 0.000E+00, 5.513E+02, 1.792E+02, 6.801E+02, 5.964E+02
 6.800E+01, 3.591E+02, 0.000E+00, 5.542E+02, 2.016E+02, 6.826E+02, 6.275E+02
 7.000E+01, 3.620E+02, 0.000E+00, 5.569E+02, 2.252E+02, 6.850E+02, 6.586E+02
 7.200E+01, 3.648E+02, 0.000E+00, 5.596E+02, 2.492E+02, 6.873E+02, 6.888E+02
 7.400E+01, 3.675E+02, 0.000E+00, 5.622E+02, 2.672E+02, 6.895E+02, 7.160E+02
 7.600E+01, 3.702E+02, 0.000E+00, 5.647E+02, 2.817E+02, 6.917E+02, 7.430E+02
 7.800E+01, 3.727E+02, 0.000E+00, 5.671E+02, 2.962E+02, 6.938E+02, 7.699E+02
 8.000E+01, 3.753E+02, 0.000E+00, 5.694E+02, 3.107E+02, 6.958E+02, 7.932E+02
 8.200E+01, 3.777E+02, 0.000E+00, 5.717E+02, 3.252E+02, 6.977E+02, 8.124E+02
 8.400E+01, 3.801E+02, 0.000E+00, 5.739E+02, 3.397E+02, 6.996E+02, 8.279E+02
 8.600E+01, 3.825E+02, 0.000E+00, 5.760E+02, 3.540E+02, 7.014E+02, 8.334E+02
 8.800E+01, 3.848E+02, 0.000E+00, 5.780E+02, 3.671E+02, 7.032E+02, 8.304E+02
 9.000E+01, 3.870E+02, 0.000E+00, 5.800E+02, 3.800E+02, 7.049E+02, 8.201E+02
 9.200E+01, 3.892E+02, 0.000E+00, 5.820E+02, 3.930E+02, 7.065E+02, 8.008E+02
 9.400E+01, 3.913E+02, 0.000E+00, 5.838E+02, 4.057E+02, 7.081E+02, 7.725E+02
 9.600E+01, 3.934E+02, 0.000E+00, 5.857E+02, 4.174E+02, 7.096E+02, 7.417E+02
 9.800E+01, 3.954E+02, 0.000E+00, 5.874E+02, 4.290E+02, 7.111E+02, 7.108E+02
 1.000E+02, 3.974E+02, 0.000E+00, 5.892E+02, 4.405E+02, 7.126E+02, 6.799E+02
 1.020E+02, 3.994E+02, 0.000E+00, 5.908E+02, 4.520E+02, 7.140E+02, 6.487E+02
 1.040E+02, 4.013E+02, 0.000E+00, 5.925E+02, 4.633E+02, 7.154E+02, 6.107E+02
 1.060E+02, 4.031E+02, 0.000E+00, 5.940E+02, 4.733E+02, 7.167E+02, 5.682E+02
 1.080E+02, 4.049E+02, 0.000E+00, 5.956E+02, 4.805E+02, 7.180E+02, 5.123E+02
