s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.300E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.200E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 2.840E+02
 2.600E+01, 0.000E+00, 0.000E+00, 3.703E+02
 2.700E+01, 0.000E+00, 0.000E+00, 4.621E+02
 2.800E+01, 0.000E+00, 0.000E+00, 5.450E+02
 2.900E+01, 0.000E+00, 0.000E+00, 6.185E+02
 3.000E+01, 0.000E+00, 0.000E+00, 6.830E+02
 3.100E+01, 0.000E+00, 0.000E+00, 7.394E+02
 3.200E+01, 0.000E+00, 0.000E+00, 7.870E+02
 3.300E+01, 0.000E+00, 0.000E+00, 8.263E+02
 3.400E+01, 0.000E+00, 0.000E+00, 8.593E+02
 3.500E+01, 0.000E+00, 0.000E+00, 8.859E+02
 3.600E+01, 0.000E+00, 0.000E+00, 9.078E+02
 3.700E+01, 0.000E+00, 0.000E+00, 9.273E+02
 3.800E+01, 0.000E+00, 0.000E+00, 9.445E+02
 3.900E+01, 0.000E+00, 0.000E+00, 9.605E+02
 4.000E+01, 0.000E+00, 0.000E+00, 9.761E+02
 4.100E+01, 0.000E+00, 2.084E+02, 9.912E+02
 4.200E+01, 0.000E+00, 2.571E+02, 1.005E+03
 4.300E+01, 0.000E+00, 3.097E+02, 1.019E+03
 4.400E+01, 0.000E+00, 3.628E+02, 1.031E+03
 4.500E+01, 0.000E+00, 4.102E+02, 1.041E+03
 4.600E+01, 0.000E+00, 4.539E+02, 1.050E+03
 4.700E+01, 0.000E+00, 4.937E+02, 1.056E+03
 4.800E+01, 0.000E+00, 5.296E+02, 1.060E+03
 4.900E+01, 0.000E+00, 5.621E+02, 1.062E+03
 5.000E+01, 0.000E+00, 5.906E+02, 1.061E+03
 5.100E+01, 0.000E+00, 6.152E+02, 1.057E+03
 5.200E+01, 0.000E+00, 6.369E+02, 1.050E+03
 5.300E+01, 0.000E+00, 6.557E+02, 1.040E+03
 5.400E+01, 0.000E+00, 6.714E+02, 1.027E+03
 5.500E+01, 0.000E+00, 6.848E+02, 1.011E+03
 5.600E+01, 0.000E+00, 6.968E+02, 9.913E+02
 5.700E+01, 0.000E+00, 7.077E+02, 9.679E+02
 5.800E+01, 0.000E+00, 7.176E+02, 9.411E+02
 5.900E+01, 0.000E+00, 7.270E+02, 9.108E+02
 6.000E+01, 0.000E+00, 7.361E+02, 8.774E+02
 6.100E+01, 0.000E+00, 7.452E+02, 8.413E+02
 6.200E+01, 0.000E+00, 7.540E+02, 8.025E+02
 6.300E+01, 0.000E+00, 7.625E+02, 7.615E+02
 6.400E+01, 0.000E+00, 7.706E+02, 7.185E+02
 6.500E+01, 0.000E+00, 7.783E+02, 6.743E+02
 6.600E+01, 0.000E+00, 7.853E+02, 6.293E+02
 6.700E+01, 0.000E+00, 7.917E+02, 5.841E+02
 6.800E+01, 0.000E+00, 7.973E+02, 5.391E+02
 6.900E+01, 0.000E+00, 8.019E+02, 4.944E+02
 7.000E+01, 0.000E+00, 8.056E+02, 4.509E+02
 7.100E+01, 0.000E+00, 8.081E+02, 4.091E+02
 7.200E+01, 0.000E+00, 8.096E+02, 3.690E+02
 7.300E+01, 0.000E+00, 8.100E+02, 3.313E+02
 7.400E+01, 0.000E+00, 8.092E+02, 2.960E+02
 7.500E+01, 0.000E+00, 8.071E+02, 2.633E+02
 7.600E+01, 0.000E+00, 8.039E+02, 2.336E+02
 7.700E+01, 0.000E+00, 7.993E+02, 2.069E+02
 7.800E+01, 0.000E+00, 7.932E+02, 1.831E+02
 7.900E+01, 0.000E+00, 7.859E+02, 1.624E+02
 8.000E+01, 0.000E+00, 7.770E+02, 1.445E+02
 8.100E+01, 0.000E+00, 7.665E+02, 1.291E+02
 8.200E+01, 0.000E+00, 7.545E+02, 1.162E+02
 8.300E+01, 0.000E+00, 7.410E+02, 1.052E+02
 8.400E+01, 0.000E+00, 7.258E+02, 9.596E+01
 8.500E+01, 0.000E+00, 7.090E+02, 8.829E+01
 8.600E+01, 0.000E+00, 6.908E+02, 8.176E+01
 8.700E+01, 0.000E+00, 6.713E+02, 7.632E+01
 8.800E+01, 0.000E+00, 6.505E+02, 7.176E+01
 8.900E+01, 0.000E+00, 6.285E+02, 6.790E+01
 9.000E+01, 0.000E+00, 6.054E+02, 6.471E+01
 9.100E+01, 0.000E+00, 5.814E+02, 6.203E+01
 9.200E+01, 0.000E+00, 5.564E+02, 5.982E+01
 9.300E+01, 7.390E+00, 5.307E+02, 5.799E+01
