s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00, 9.720E+01
 1.200E+01, 0.000E+00, 0.000E+00, 1.286E+02
 1.300E+01, 0.000E+00, 0.000E+00, 1.573E+02
 1.400E+01, 0.000E+00, 0.000E+00, 1.902E+02
 1.500E+01, 0.000E+00, 5.935E-02, 2.274E+02
 1.600E+01, 0.000E+00, 3.197E+01, 2.691E+02
 1.700E+01, 0.000E+00, 7.056E+01, 3.143E+02
 1.800E+01, 0.000E+00, 9.244E+01, 3.606E+02
 1.900E+01, 0.000E+00, 1.104E+02, 4.071E+02
 2.000E+01, 0.000E+00, 1.286E+02, 4.528E+02
 2.100E+01, 0.000E+00, 1.482E+02, 4.970E+02
 2.200E+01, 0.000E+00, 1.698E+02, 5.393E+02
 2.300E+01, 0.000E+00, 1.936E+02, 5.795E+02
 2.400E+01, 0.000E+00, 2.185E+02, 6.159E+02
 2.500E+01, 0.000E+00, 2.452E+02, 6.476E+02
 2.600E+01, 0.000E+00, 2.720E+02, 6.738E+02
 2.700E+01, 0.000E+00, 2.987E+02, 6.955E+02
 2.800E+01, 0.000E+00, 3.257E+02, 7.149E+02
 2.900E+01, 0.000E+00, 3.518E+02, 7.310E+02
 3.000E+01, 0.000E+00, 3.774E+02, 7.421E+02
 3.100E+01, 0.000E+00, 4.019E+02, 7.491E+02
 3.200E+01, 0.000E+00, 4.257E+02, 7.529E+02
 3.300E+01, 0.000E+00, 4.478E+02, 7.544E+02
 3.400E+01, 0.000E+00, 4.690E+02, 7.544E+02
 3.500E+01, 0.000E+00, 4.877E+02, 7.518E+02
 3.600E+01, 0.000E+00, 5.037E+02, 7.468E+02
 3.700E+01, 0.000E+00, 5.178E+02, 7.407E+02
 3.800E+01, 0.000E+00, 5.302E+02, 7.341E+02
 3.900E+01, 0.000E+00, 5.413E+02, 7.244E+02
 4.000E+01, 0.000E+00, 5.512E+02, 7.103E+02
 4.100E+01, 0.000E+00, 5.593E+02, 6.915E+02
 4.200E+01, 0.000E+00, 5.650E+02, 6.682E+02
 4.300E+01, 0.000E+00, 5.690E+02, 6.406E+02
 4.400E+01, 0.000E+00, 5.713E+02, 6.063E+02
 4.500E+01, 0.000E+00, 5.727E+02, 5.633E+02
 4.600E+01, 0.000E+00, 5.735E+02, 5.124E+02
 4.700E+01, 0.000E+00, 5.731E+02, 4.573E+02
 4.800E+01, 0.000E+00, 5.717E+02, 3.988E+02
 4.900E+01, 0.000E+00, 5.694E+02, 3.405E+02
 5.000E+01, 0.000E+00, 5.660E+02, 2.841E+02
 5.100E+01, 5.935E-02, 5.622E+02, 2.309E+02
 5.200E+01, 2.012E+01, 5.585E+02, 1.836E+02
 5.300E+01, 4.451E+01, 5.538E+02, 1.427E+02
 5.400E+01, 5.572E+01, 5.474E+02, 1.097E+02
 5.500E+01, 6.422E+01, 5.389E+02, 8.477E+01
 5.600E+01, 7.191E+01, 5.283E+02, 6.580E+01
 5.700E+01, 7.944E+01, 5.158E+02, 4.924E+01
 5.800E+01, 8.795E+01, 5.016E+02, 3.502E+01
 5.900E+01, 9.677E+01, 4.853E+02, 2.388E+01
 6.000E+01, 1.063E+02, 4.660E+02, 1.456E+01
 6.100E+01, 1.165E+02, 4.431E+02, 0.000E+00
 6.200E+01, 1.275E+02, 4.166E+02, 0.000E+00
 6.300E+01, 1.386E+02, 3.865E+02, 0.000E+00
 6.400E+01, 1.507E+02, 3.551E+02, 0.000E+00
 6.500E+01, 1.632E+02, 3.218E+02, 0.000E+00
 6.600E+01, 1.755E+02, 2.879E+02, 0.000E+00
 6.700E+01, 1.879E+02, 2.547E+02, 0.000E+00
 6.800E+01, 2.002E+02, 2.222E+02, 0.000E+00
 6.900E+01, 2.125E+02, 1.909E+02, 0.000E+00
 7.000E+01, 2.248E+02, 1.618E+02, 0.000E+00
 7.100E+01, 2.367E+02, 1.354E+02, 0.000E+00
 7.200E+01, 2.485E+02, 1.118E+02, 0.000E+00
 7.300E+01, 2.603E+02, 9.164E+01, 0.000E+00
 7.400E+01, 2.714E+02, 7.500E+01, 0.000E+00
 7.500E+01, 2.823E+02, 6.202E+01, 0.000E+00
 7.600E+01, 2.932E+02, 5.114E+01, 0.000E+00
 7.700E+01, 3.032E+02, 4.144E+01, 0.000E+00
 7.800E+01, 3.129E+02, 3.256E+01, 0.000E+00
 7.900E+01, 3.223E+02, 2.478E+01, 0.000E+00
 8.000E+01, 3.305E+02, 1.851E+01, 0.000E+00
 8.100E+01, 3.381E+02, 1.368E+01, 0.000E+00
 8.200E+01, 3.449E+02, 4.520E+00, 0.000E+00
 8.300E+01, 3.511E+02, 0.000E+00, 0.000E+00
 8.400E+01, 3.567E+02, 0.000E+00, 0.000E+00
 8.500E+01, 3.622E+02, 0.000E+00, 0.000E+00
 8.600E+01, 3.670E+02, 0.000E+00, 0.000E+00
 8.700E+01, 3.715E+02, 0.000E+00, 0.000E+00
 8.800E+01, 3.756E+02, 0.000E+00, 0.000E+00
 8.900E+01, 3.790E+02, 0.000E+00, 0.000E+00
 9.000E+01, 3.817E+02, 0.000E+00, 0.000E+00
 9.100E+01, 3.838E+02, 0.000E+00, 0.000E+00
 9.200E+01, 3.852E+02, 0.000E+00, 0.000E+00
 9.300E+01, 3.862E+02, 0.000E+00, 0.000E+00
