s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 2.239E+01, 5.200E+01, 9.300E+01
 2.000E+01, 1.170E+02, 2.538E+02, 4.850E+02
 3.000E+01, 2.240E+02, 6.053E+02, 1.095E+03
 4.000E+01, 4.140E+02, 8.831E+02, 7.141E+02
 5.000E+01, 6.167E+02, 5.415E+02, 2.466E+02
 6.000E+01, 5.475E+02, 2.546E+02, 6.217E+01
 7.000E+01, 3.567E+02, 7.580E+01, 2.697E+01
 8.000E+01, 2.148E+02, 3.601E+01, 1.369E+01
 9.000E+01, 1.084E+02, 1.977E+01, 7.033E+00
 1.000E+02, 4.306E+01, 1.150E+01, 1.601E+00
 1.100E+02, 2.843E+01, 7.090E+00, 0.000E+00
 1.200E+02, 1.714E+01, 4.064E+00, 0.000E+00
 1.300E+02, 1.233E+01, 5.395E-01, 0.000E+00
 1.400E+02, 8.288E+00, 0.000E+00, 0.000E+00
 1.500E+02, 6.112E+00, 0.000E+00, 0.000E+00
 1.600E+02, 4.193E+00, 0.000E+00, 0.000E+00
 1.700E+02, 2.888E+00, 0.000E+00, 0.000E+00
 1.800E+02, 1.163E+00, 0.000E+00, 0.000E+00
 1.900E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.600E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.800E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.900E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.300E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.400E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+02, 0.000E+00, 0.000E+00, 0.000E+00
 3.600E+02, 0.000E+00, 0.000E+00, 0.000E+00
