s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_14p29_025,HRRPUA-CONE_14p29_025,WALL TEMPERATURE-CONE_14p29_050,HRRPUA-CONE_14p29_050,WALL TEMPERATURE-CONE_14p29_075,HRRPUA-CONE_14p29_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 1.822E+02, 0.000E+00, 3.373E+02, 0.000E+00, 4.925E+02, 0.000E+00
 4.000E+00, 3.674E+02, 0.000E+00, 6.173E+02, 0.000E+00, 8.344E+02, 0.000E+00
 6.000E+00, 4.103E+02, 0.000E+00, 5.961E+02, 2.594E+01, 7.174E+02, 3.379E+01
 8.000E+00, 4.298E+02, 0.000E+00, 6.101E+02, 4.690E+01, 7.277E+02, 5.909E+01
 1.000E+01, 4.408E+02, 0.000E+00, 6.180E+02, 6.565E+01, 7.337E+02, 8.423E+01
 1.200E+01, 4.480E+02, 0.000E+00, 6.232E+02, 8.128E+01, 7.378E+02, 1.099E+02
 1.400E+01, 4.533E+02, 0.000E+00, 6.271E+02, 1.024E+02, 7.410E+02, 1.546E+02
 1.600E+01, 4.575E+02, 0.000E+00, 6.303E+02, 1.376E+02, 7.436E+02, 2.205E+02
 1.800E+01, 4.610E+02, 0.000E+00, 6.329E+02, 1.859E+02, 7.457E+02, 2.930E+02
 2.000E+01, 4.639E+02, 0.000E+00, 6.350E+02, 2.409E+02, 7.475E+02, 3.801E+02
 2.200E+01, 4.666E+02, 0.000E+00, 6.371E+02, 2.993E+02, 7.493E+02, 4.692E+02
 2.400E+01, 4.689E+02, 0.000E+00, 6.388E+02, 3.614E+02, 7.507E+02, 5.460E+02
 2.600E+01, 4.708E+02, 0.000E+00, 6.402E+02, 4.199E+02, 7.518E+02, 6.193E+02
 2.800E+01, 4.726E+02, 0.000E+00, 6.416E+02, 4.700E+02, 7.530E+02, 6.689E+02
 3.000E+01, 4.741E+02, 0.000E+00, 6.427E+02, 5.107E+02, 7.540E+02, 7.094E+02
 3.200E+01, 4.754E+02, 0.000E+00, 6.436E+02, 5.443E+02, 7.547E+02, 7.300E+02
 3.400E+01, 4.766E+02, 0.000E+00, 6.445E+02, 5.666E+02, 7.555E+02, 7.428E+02
 3.600E+01, 4.776E+02, 0.000E+00, 6.453E+02, 5.784E+02, 7.561E+02, 7.406E+02
 3.800E+01, 4.785E+02, 8.894E+00, 6.459E+02, 5.834E+02, 7.566E+02, 7.321E+02
 4.000E+01, 4.793E+02, 1.211E+01, 6.465E+02, 5.781E+02, 7.571E+02, 7.130E+02
 4.200E+01, 4.800E+02, 1.523E+01, 6.470E+02, 5.712E+02, 7.576E+02, 6.859E+02
