s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_6p00_035,HRRPUA-CONE_6p00_035,WALL TEMPERATURE-CONE_6p00_050,HRRPUA-CONE_6p00_050,WALL TEMPERATURE-CONE_6p00_075,HRRPUA-CONE_6p00_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.626E+02, 0.000E+00, 2.177E+02, 0.000E+00, 3.045E+02, 0.000E+00
 2.000E+01, 2.797E+02, 0.000E+00, 3.732E+02, 0.000E+00, 5.071E+02, 4.529E-01
 3.000E+01, 3.365E+02, 0.000E+00, 4.404E+02, 0.000E+00, 5.796E+02, 1.884E+01
 4.000E+01, 3.787E+02, 0.000E+00, 4.870E+02, 2.328E+01, 6.256E+02, 1.374E+02
 5.000E+01, 4.124E+02, 0.000E+00, 5.220E+02, 8.355E+01, 6.582E+02, 2.346E+02
 6.000E+01, 4.396E+02, 0.000E+00, 5.489E+02, 1.348E+02, 6.821E+02, 2.511E+02
 7.000E+01, 4.617E+02, 1.618E+00, 5.698E+02, 1.667E+02, 7.000E+02, 2.475E+02
 8.000E+01, 4.797E+02, 6.573E+00, 5.862E+02, 1.983E+02, 7.136E+02, 2.469E+02
 9.000E+01, 4.945E+02, 1.999E+01, 5.992E+02, 2.006E+02, 7.240E+02, 2.521E+02
 1.000E+02, 5.065E+02, 5.761E+01, 6.095E+02, 2.000E+02, 7.320E+02, 2.583E+02
 1.100E+02, 5.165E+02, 9.398E+01, 6.177E+02, 2.023E+02, 7.383E+02, 2.610E+02
 1.200E+02, 5.247E+02, 1.146E+02, 6.243E+02, 2.035E+02, 7.431E+02, 2.646E+02
 1.300E+02, 5.314E+02, 1.309E+02, 6.296E+02, 2.016E+02, 7.470E+02, 2.609E+02
 1.400E+02, 5.369E+02, 1.329E+02, 6.338E+02, 1.988E+02, 7.499E+02, 2.515E+02
 1.500E+02, 5.415E+02, 1.314E+02, 6.373E+02, 1.966E+02, 7.523E+02, 2.405E+02
 1.600E+02, 5.453E+02, 1.299E+02, 6.400E+02, 1.945E+02, 7.542E+02, 2.289E+02
 1.700E+02, 5.485E+02, 1.285E+02, 6.422E+02, 1.911E+02, 7.556E+02, 2.207E+02
 1.800E+02, 5.511E+02, 1.291E+02, 6.440E+02, 1.849E+02, 7.568E+02, 2.137E+02
 1.900E+02, 5.532E+02, 1.305E+02, 6.455E+02, 1.757E+02, 7.577E+02, 2.063E+02
 2.000E+02, 5.550E+02, 1.333E+02, 6.466E+02, 1.681E+02, 7.584E+02, 1.985E+02
 2.100E+02, 5.564E+02, 1.366E+02, 6.476E+02, 1.623E+02, 7.589E+02, 1.891E+02
 2.200E+02, 5.576E+02, 1.382E+02, 6.484E+02, 1.571E+02, 7.594E+02, 1.824E+02
 2.300E+02, 5.586E+02, 1.389E+02, 6.490E+02, 1.522E+02, 7.597E+02, 1.773E+02
 2.400E+02, 5.595E+02, 1.406E+02, 6.495E+02, 1.476E+02, 7.600E+02, 1.767E+02
 2.500E+02, 5.601E+02, 1.428E+02, 6.499E+02, 1.430E+02, 7.602E+02, 1.830E+02
 2.600E+02, 5.607E+02, 1.428E+02, 6.502E+02, 1.385E+02, 7.604E+02, 1.952E+02
 2.700E+02, 5.612E+02, 1.412E+02, 6.505E+02, 1.339E+02, 7.605E+02, 2.071E+02
 2.800E+02, 5.616E+02, 1.382E+02, 6.507E+02, 1.298E+02, 7.606E+02, 2.168E+02
 2.900E+02, 5.619E+02, 1.339E+02, 6.508E+02, 1.282E+02, 7.607E+02, 2.221E+02
 3.000E+02, 5.622E+02, 1.296E+02, 6.510E+02, 1.277E+02, 7.608E+02, 2.261E+02
 3.100E+02, 5.624E+02, 1.252E+02, 6.511E+02, 1.300E+02, 7.608E+02, 2.293E+02
 3.200E+02, 5.626E+02, 1.208E+02, 6.512E+02, 1.338E+02, 7.609E+02, 2.308E+02
 3.300E+02, 5.627E+02, 1.165E+02, 6.513E+02, 1.374E+02, 7.609E+02, 2.276E+02
 3.400E+02, 5.628E+02, 1.129E+02, 6.513E+02, 1.385E+02, 7.609E+02, 2.167E+02
 3.500E+02, 5.629E+02, 1.105E+02, 6.514E+02, 1.379E+02, 7.609E+02, 2.021E+02
