s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,"rad40","rad40_tmax","rad40_max","rad70","rad70_tmax","rad70_max","rad100","rad100_tmax","rad100_max","D_avg","D_tmax","D_max","Height"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1290019E-001,-1.7057221E-005, 1.1290019E-001,-1.7057221E-005,-3.4455314E-005, 1.1290019E-001,-3.4455314E-005,-4.2937848E-006, 1.1290019E-001,-4.2937848E-006, 0.0000000E+000, 1.1290019E-001, 0.0000000E+000, 0.0000000E+000
 2.0017598E-001,-1.5785132E-005, 1.3463295E-001,-1.1251248E-005,-4.3015305E-006, 2.0017598E-001,-1.0673177E-006,-4.5054155E-007, 2.0017598E-001,-6.3006908E-008, 0.0000000E+000, 2.0017598E-001, 0.0000000E+000, 5.2556541E-002
 3.0031708E-001, 4.3083384E-001, 3.0031708E-001, 2.0177342E+000, 2.1124357E-002, 3.0031708E-001, 1.2947555E-001, 2.7651031E-003, 3.0031708E-001, 1.8623130E-002, 0.0000000E+000, 3.0031708E-001, 0.0000000E+000, 4.5855136E+000
 4.0081907E-001, 7.3072813E+000, 4.0081907E-001, 1.7285560E+001, 1.0337978E+000, 4.0081907E-001, 2.9235132E+000, 3.4265893E-001, 4.0081907E-001, 1.0186775E+000, 0.0000000E+000, 4.0081907E-001, 0.0000000E+000, 9.1467349E+000
 5.0303476E-001, 3.0134806E+001, 5.0303476E-001, 5.1113232E+001, 7.3032078E+000, 5.0303476E-001, 1.0226988E+001, 3.2274636E+000, 5.0303476E-001, 5.2636343E+000, 0.0000000E+000, 5.0303476E-001, 0.0000000E+000, 1.1015331E+001
 6.0007910E-001, 9.2858376E+001, 6.0007910E-001, 1.4086135E+002, 1.4169651E+001, 6.0007910E-001, 2.0771326E+001, 6.9180513E+000, 6.0007910E-001, 9.4829492E+000, 0.0000000E+000, 6.0007910E-001, 0.0000000E+000, 1.4863963E+001
 7.0240089E-001, 1.9886155E+002, 7.0240089E-001, 2.1996516E+002, 3.7614020E+001, 7.0240089E-001, 5.4507998E+001, 1.5901487E+001, 7.0240089E-001, 2.2166976E+001, 0.0000000E+000, 7.0240089E-001, 0.0000000E+000, 1.8907099E+001
 8.0189947E-001, 2.1501542E+002, 7.2101148E-001, 2.2279039E+002, 6.2593587E+001, 8.0189947E-001, 6.5519328E+001, 2.7624213E+001, 8.0189947E-001, 3.0344600E+001, 0.0000000E+000, 8.0189947E-001, 0.0000000E+000, 2.1801668E+001
 9.0515649E-001, 2.0163539E+002, 7.2101148E-001, 2.2279039E+002, 6.5310712E+001, 8.8703159E-001, 6.6803781E+001, 3.1168544E+001, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 9.0515649E-001, 0.0000000E+000, 2.4245086E+001
 1.0006747E+000, 1.8249686E+002, 7.2101148E-001, 2.2279039E+002, 6.4717224E+001, 8.8703159E-001, 6.6803781E+001, 3.1338143E+001, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 1.0006747E+000, 0.0000000E+000, 2.6008987E+001
 1.1037510E+000, 1.6130536E+002, 7.2101148E-001, 2.2279039E+002, 6.2593263E+001, 8.8703159E-001, 6.6803781E+001, 3.0634428E+001, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 1.1037510E+000, 0.0000000E+000, 2.7483852E+001
