m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm
 1.2500000E-004, 1.8352146E+002, 1.6414314E-003, 9.1234644E-001, 3.8274522E-003, 2.4449020E-003, 2.9282095E+002, 2.4204846E-003, 8.2922507E-001, 7.1341351E-003, 6.1888049E-003, 3.9720753E+002, 2.7855259E-003, 7.4654166E-001, 1.0028680E-002, 1.0852243E-002
 3.7715517E-004, 1.9908334E+002, 1.8195188E-003, 8.9881906E-001, 4.4069129E-003, 3.1000145E-003, 3.0963744E+002, 2.5294189E-003, 8.1373508E-001, 7.7296076E-003, 7.1720581E-003, 4.1307897E+002, 2.8259709E-003, 7.3191959E-001, 1.0513736E-002, 1.1958689E-002
 6.2931034E-004, 2.2891794E+002, 2.1502048E-003, 8.7248197E-001, 5.5279437E-003, 4.4184945E-003, 3.4169724E+002, 2.7231531E-003, 7.8422899E-001, 8.8503828E-003, 9.0739310E-003, 4.4357114E+002, 2.8935203E-003, 7.0410343E-001, 1.1422064E-002, 1.4078785E-002
 8.8146552E-004, 2.7097943E+002, 2.5882126E-003, 8.3467301E-001, 7.1192828E-003, 6.4033997E-003, 3.8653453E+002, 2.9594831E-003, 7.4321263E-001, 1.0376865E-002, 1.1781517E-002, 4.8662352E+002, 2.9662164E-003, 6.6553319E-001, 1.2648139E-002, 1.7052846E-002
 1.1336207E-003, 3.2318237E+002, 3.0776506E-003, 7.8714272E-001, 9.0863979E-003, 9.0393084E-003, 4.4164235E+002, 3.1965052E-003, 6.9356371E-001, 1.2170715E-002, 1.5160296E-002, 5.3998262E+002, 3.0204185E-003, 6.1900380E-001, 1.4070443E-002, 2.0695504E-002
 1.3857759E-003, 3.8380994E+002, 3.5597906E-003, 7.3190062E-001, 1.1320218E-002, 1.2282499E-002, 5.0493419E+002, 3.3941398E-003, 6.3807310E-001, 1.4097681E-002, 1.9071613E-002, 6.0162997E+002, 3.0365276E-003, 5.6719238E-001, 1.5573380E-002, 2.4826594E-002
 1.6379310E-003, 4.5159328E+002, 3.9853557E-003, 6.7109200E-001, 1.3704914E-002, 1.6059465E-002, 5.7482812E+002, 3.5232022E-003, 5.7922971E-001, 1.6040574E-002, 2.3381530E-002, 6.6976307E+002, 2.9927787E-003, 5.1748790E-001, 1.7011204E-002, 2.9206420E-002
 1.8900862E-003, 5.2561218E+002, 4.3175911E-003, 6.0690187E-001, 1.6125347E-002, 2.0273090E-002, 6.5007523E+002, 3.5612490E-003, 5.2172590E-001, 1.7875898E-002, 2.7928130E-002, 7.4279895E+002, 2.8899151E-003, 4.6823419E-001, 1.8350390E-002, 3.3737300E-002
 2.1422414E-003, 6.0516975E+002, 4.5228070E-003, 5.4168011E-001, 1.8476976E-002, 2.4813269E-002, 7.2946152E+002, 3.4996617E-003, 4.6832461E-001, 1.9525301E-002, 3.2567663E-002, 8.1951579E+002, 2.7303853E-003, 4.2008170E-001, 1.9542854E-002, 3.8317130E-002
 2.3943966E-003, 6.8930566E+002, 4.5697166E-003, 4.8325542E-001, 2.0594422E-002, 2.9472885E-002, 8.1202828E+002, 3.3491290E-003, 4.1658722E-001, 2.0979688E-002, 3.7255295E-002, 8.9895196E+002, 2.5206679E-003, 3.7372542E-001, 2.0562279E-002, 4.2862264E-002
 2.6465517E-003, 7.7718520E+002, 4.4746193E-003, 4.2647231E-001, 2.2501944E-002, 3.4235163E-002, 8.9703139E+002, 3.1197841E-003, 3.6723822E-001, 2.2205447E-002, 4.1913554E-002, 9.8017167E+002, 2.2693482E-003, 3.2963547E-001, 2.1393637E-002, 4.7293997E-002
 2.8987069E-003, 8.6812098E+002, 4.2469919E-003, 3.7241873E-001, 2.4140262E-002, 3.9013994E-002, 9.8361907E+002, 2.8247371E-003, 3.2070496E-001, 2.3187147E-002, 4.6463903E-002, 1.0624728E+003, 1.9872312E-003, 2.8821420E-001, 2.2039833E-002, 5.1565848E-002
 3.1508621E-003, 9.6119112E+002, 3.9023067E-003, 3.2163064E-001, 2.5474895E-002, 4.3721669E-002, 1.0711655E+003, 2.4805205E-003, 2.7736551E-001, 2.3931714E-002, 5.0865525E-002, 1.1451361E+003, 1.6851586E-003, 2.4966145E-001, 2.2509640E-002, 5.5638773E-002
 3.4030172E-003, 1.0557099E+003, 3.4629165E-003, 2.7457606E-001, 2.6505587E-002, 4.8315043E-002, 1.1589243E+003, 2.1033368E-003, 2.3735499E-001, 2.4450136E-002, 5.5077483E-002, 1.2274682E+003, 1.3735768E-003, 2.1404898E-001, 2.2817171E-002, 5.9484501E-002
