s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 2.900E+01, 2.130E+00
 1.006E+01, 2.900E+01, 2.130E+00
 2.004E+01, 2.905E+01, 2.130E+00
 3.003E+01, 4.113E+01, 2.073E+00
 4.006E+01, 5.353E+01, 1.775E+00
 5.007E+01, 5.098E+01, 1.201E+00
 6.005E+01, 4.727E+01, 1.074E+00
 7.004E+01, 5.017E+01, 1.088E+00
 8.003E+01, 5.600E+01, 1.184E+00
 9.002E+01, 5.572E+01, 1.294E+00
 1.000E+02, 5.658E+01, 1.336E+00
 1.100E+02, 5.919E+01, 1.243E+00
 1.200E+02, 6.086E+01, 1.053E+00
 1.300E+02, 6.116E+01, 1.036E+00
 1.400E+02, 6.162E+01, 1.100E+00
 1.500E+02, 6.110E+01, 1.110E+00
 1.601E+02, 6.546E+01, 1.002E+00
 1.701E+02, 6.734E+01, 8.936E-01
 1.800E+02, 6.923E+01, 9.206E-01
 1.900E+02, 7.283E+01, 9.377E-01
 2.001E+02, 7.330E+01, 8.552E-01
 2.100E+02, 7.089E+01, 8.690E-01
 2.201E+02, 6.870E+01, 8.957E-01
 2.300E+02, 6.591E+01, 9.469E-01
 2.400E+02, 6.703E+01, 9.018E-01
 2.501E+02, 6.978E+01, 8.392E-01
 2.600E+02, 7.363E+01, 7.650E-01
 2.700E+02, 7.149E+01, 8.270E-01
 2.801E+02, 7.135E+01, 8.665E-01
 2.900E+02, 7.052E+01, 8.481E-01
 3.001E+02, 7.232E+01, 7.979E-01
 3.100E+02, 7.195E+01, 7.528E-01
 3.200E+02, 7.239E+01, 7.433E-01
 3.300E+02, 7.501E+01, 7.283E-01
 3.400E+02, 7.271E+01, 7.365E-01
 3.500E+02, 7.181E+01, 7.828E-01
 3.600E+02, 7.055E+01, 7.441E-01
 3.701E+02, 7.063E+01, 6.194E-01
 3.800E+02, 6.981E+01, 5.460E-01
 3.901E+02, 7.007E+01, 5.390E-01
 4.001E+02, 7.097E+01, 5.774E-01
 4.101E+02, 7.065E+01, 6.177E-01
 4.201E+02, 7.258E+01, 6.031E-01
 4.301E+02, 7.240E+01, 5.667E-01
 4.401E+02, 7.140E+01, 5.419E-01
 4.500E+02, 7.228E+01, 5.311E-01
 4.600E+02, 7.182E+01, 5.190E-01
 4.701E+02, 7.313E+01, 5.525E-01
 4.800E+02, 7.214E+01, 5.962E-01
 4.901E+02, 7.235E+01, 6.245E-01
 5.000E+02, 7.375E+01, 6.088E-01
 5.101E+02, 7.357E+01, 5.832E-01
 5.201E+02, 7.421E+01, 5.719E-01
 5.301E+02, 7.590E+01, 5.776E-01
 5.400E+02, 7.670E+01, 5.671E-01
 5.500E+02, 7.546E+01, 5.637E-01
 5.601E+02, 7.686E+01, 5.519E-01
 5.700E+02, 7.794E+01, 5.359E-01
 5.801E+02, 7.811E+01, 6.268E-01
 5.901E+02, 7.594E+01, 6.750E-01
 6.000E+02, 7.512E+01, 5.916E-01
 6.100E+02, 7.492E+01, 5.112E-01
 6.201E+02, 7.491E+01, 4.716E-01
 6.301E+02, 7.541E+01, 4.629E-01
 6.401E+02, 7.504E+01, 4.590E-01
 6.501E+02, 7.609E+01, 5.095E-01
 6.600E+02, 7.596E+01, 5.430E-01
 6.700E+02, 7.560E+01, 5.887E-01
 6.800E+02, 7.625E+01, 6.121E-01
 6.900E+02, 7.741E+01, 6.018E-01
 7.001E+02, 7.692E+01, 6.018E-01
 7.100E+02, 7.655E+01, 5.469E-01
 7.201E+02, 7.618E+01, 5.065E-01
 7.300E+02, 7.694E+01, 5.154E-01
 7.400E+02, 7.717E+01, 5.361E-01
 7.501E+02, 7.611E+01, 5.117E-01
 7.600E+02, 7.669E+01, 5.036E-01
 7.701E+02, 7.720E+01, 5.193E-01
 7.800E+02, 7.736E+01, 4.901E-01
 7.900E+02, 7.760E+01, 5.115E-01
 8.000E+02, 7.657E+01, 5.100E-01
 8.100E+02, 7.693E+01, 5.510E-01
 8.200E+02, 7.766E+01, 5.493E-01
 8.301E+02, 7.876E+01, 5.451E-01
 8.400E+02, 7.845E+01, 5.438E-01
 8.501E+02, 7.960E+01, 5.586E-01
 8.601E+02, 7.988E+01, 6.035E-01
 8.700E+02, 7.961E+01, 5.687E-01
