m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.941E+01, 2.000E-02, 2.138E+01,-5.561E-01
 6.860E-02, 2.846E+01, 6.865E-02, 2.030E+01,-5.635E-01
 1.172E-01, 2.912E+01, 1.173E-01, 2.016E+01,-5.641E-01
 1.658E-01, 2.972E+01, 1.659E-01, 2.016E+01,-5.652E-01
 2.144E-01, 3.055E+01, 2.146E-01, 2.016E+01,-5.621E-01
 2.630E-01, 3.119E+01, 2.632E-01, 2.018E+01,-5.588E-01
 3.116E-01, 3.183E+01, 3.119E-01, 2.020E+01,-5.489E-01
 3.602E-01, 3.239E+01, 3.605E-01, 2.023E+01,-5.378E-01
 4.088E-01, 3.294E+01, 4.092E-01, 2.025E+01,-5.279E-01
 4.574E-01, 3.345E+01, 4.578E-01, 2.026E+01,-5.104E-01
 5.060E-01, 3.398E+01, 5.065E-01, 2.028E+01,-4.967E-01
 5.547E-01, 3.444E+01, 5.551E-01, 2.028E+01,-4.810E-01
 6.033E-01, 3.488E+01, 6.038E-01, 2.027E+01,-4.674E-01
 6.519E-01, 3.530E+01, 6.524E-01, 2.026E+01,-4.608E-01
 7.005E-01, 3.574E+01, 7.011E-01, 2.027E+01,-4.310E-01
 7.491E-01, 3.625E+01, 7.497E-01, 2.028E+01,-4.081E-01
 7.977E-01, 3.686E+01, 7.984E-01, 2.031E+01,-3.871E-01
 8.463E-01, 3.762E+01, 8.470E-01, 2.041E+01,-3.597E-01
 8.949E-01, 3.847E+01, 8.957E-01, 2.093E+01,-3.332E-01
 9.435E-01, 3.944E+01, 9.443E-01, 2.223E+01,-2.914E-01
 9.921E-01, 4.054E+01, 9.930E-01, 2.483E+01,-2.262E-01
 1.041E+00, 4.269E+01, 1.042E+00, 2.820E+01,-9.797E-02
 1.089E+00, 5.080E+01, 1.090E+00, 3.299E+01, 9.651E-02
 1.138E+00, 6.425E+01, 1.139E+00, 3.725E+01, 2.125E-01
 1.187E+00, 8.043E+01, 1.188E+00, 4.180E+01, 3.171E-01
 1.235E+00, 1.005E+02, 1.236E+00, 4.760E+01, 4.198E-01
 1.284E+00, 1.212E+02, 1.285E+00, 5.834E+01, 5.858E-01
 1.332E+00, 1.422E+02, 1.334E+00, 7.777E+01, 7.743E-01
 1.381E+00, 1.550E+02, 1.382E+00, 9.687E+01, 9.144E-01
 1.430E+00, 1.607E+02, 1.431E+00, 1.133E+02, 1.061E+00
 1.478E+00, 1.650E+02, 1.479E+00, 1.250E+02, 1.119E+00
 1.527E+00, 1.676E+02, 1.528E+00, 1.293E+02, 1.145E+00
 1.575E+00, 1.693E+02, 1.577E+00, 1.312E+02, 1.232E+00
 1.624E+00, 1.707E+02, 1.625E+00, 1.366E+02, 1.353E+00
 1.673E+00, 1.714E+02, 1.674E+00, 1.488E+02, 1.521E+00
 1.721E+00, 1.718E+02, 1.723E+00, 1.624E+02, 1.797E+00
 1.770E+00, 1.718E+02, 1.771E+00, 1.706E+02, 1.969E+00
 1.818E+00, 1.718E+02, 1.820E+00, 1.720E+02, 1.261E+00
 1.867E+00, 1.719E+02,NaN,NaN,NaN
 1.916E+00, 1.723E+02,NaN,NaN,NaN
 1.964E+00, 1.726E+02,NaN,NaN,NaN
 2.013E+00, 1.729E+02,NaN,NaN,NaN
 2.061E+00, 1.727E+02,NaN,NaN,NaN
 2.110E+00, 1.704E+02,NaN,NaN,NaN
