s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 2.900E+01, 2.130E+00
 1.003E+01, 2.900E+01, 2.130E+00
 2.001E+01, 2.901E+01, 2.130E+00
 3.002E+01, 2.904E+01, 2.130E+00
 4.003E+01, 5.792E+01, 1.866E+00
 5.002E+01, 7.040E+01, 1.178E+00
 6.001E+01, 7.213E+01, 8.424E-01
 7.003E+01, 7.631E+01, 7.271E-01
 8.000E+01, 7.690E+01, 9.191E-01
 9.004E+01, 7.846E+01, 1.278E+00
 1.000E+02, 8.481E+01, 1.330E+00
 1.100E+02, 9.292E+01, 1.213E+00
 1.200E+02, 1.032E+02, 1.288E+00
 1.300E+02, 1.108E+02, 1.280E+00
 1.400E+02, 1.210E+02, 1.150E+00
 1.500E+02, 1.219E+02, 1.207E+00
 1.600E+02, 1.248E+02, 1.256E+00
 1.700E+02, 1.301E+02, 1.161E+00
 1.800E+02, 1.273E+02, 1.203E+00
 1.900E+02, 1.252E+02, 1.258E+00
 2.000E+02, 1.223E+02, 1.288E+00
 2.100E+02, 1.269E+02, 1.212E+00
 2.200E+02, 1.300E+02, 1.148E+00
 2.300E+02, 1.270E+02, 1.127E+00
 2.400E+02, 1.279E+02, 1.164E+00
 2.500E+02, 1.284E+02, 1.218E+00
 2.600E+02, 1.360E+02, 1.240E+00
 2.700E+02, 1.395E+02, 1.242E+00
 2.800E+02, 1.422E+02, 1.186E+00
 2.900E+02, 1.460E+02, 1.186E+00
 3.000E+02, 1.462E+02, 1.248E+00
 3.100E+02, 1.488E+02, 1.190E+00
 3.200E+02, 1.467E+02, 1.225E+00
 3.300E+02, 1.433E+02, 1.275E+00
 3.400E+02, 1.450E+02, 1.237E+00
 3.500E+02, 1.496E+02, 1.214E+00
 3.600E+02, 1.501E+02, 1.227E+00
 3.700E+02, 1.466E+02, 1.201E+00
 3.800E+02, 1.469E+02, 1.144E+00
 3.900E+02, 1.451E+02, 1.237E+00
 4.000E+02, 1.450E+02, 1.235E+00
 4.100E+02, 1.500E+02, 1.179E+00
 4.200E+02, 1.512E+02, 1.214E+00
 4.300E+02, 1.491E+02, 1.212E+00
 4.400E+02, 1.367E+02, 1.229E+00
 4.500E+02, 1.385E+02, 1.139E+00
 4.600E+02, 1.462E+02, 1.081E+00
 4.700E+02, 1.498E+02, 1.115E+00
 4.800E+02, 1.471E+02, 1.236E+00
 4.900E+02, 1.388E+02, 1.244E+00
 5.000E+02, 1.423E+02, 1.132E+00
 5.100E+02, 1.394E+02, 1.199E+00
 5.200E+02, 1.473E+02, 1.159E+00
 5.300E+02, 1.422E+02, 1.137E+00
 5.400E+02, 1.357E+02, 1.120E+00
 5.500E+02, 1.363E+02, 1.147E+00
 5.600E+02, 1.463E+02, 1.140E+00
 5.700E+02, 1.504E+02, 1.148E+00
 5.800E+02, 1.480E+02, 1.175E+00
 5.900E+02, 1.446E+02, 1.171E+00
 6.000E+02, 1.482E+02, 1.135E+00
 6.100E+02, 1.471E+02, 1.208E+00
 6.200E+02, 1.499E+02, 1.162E+00
 6.300E+02, 1.528E+02, 1.109E+00
 6.400E+02, 1.476E+02, 1.127E+00
 6.500E+02, 1.409E+02, 1.245E+00
 6.600E+02, 1.477E+02, 1.123E+00
 6.700E+02, 1.423E+02, 1.198E+00
 6.800E+02, 1.478E+02, 1.166E+00
 6.900E+02, 1.505E+02, 1.078E+00
 7.000E+02, 1.470E+02, 1.118E+00
 7.100E+02, 1.450E+02, 1.198E+00
 7.200E+02, 1.463E+02, 1.161E+00
 7.300E+02, 1.428E+02, 1.115E+00
 7.400E+02, 1.454E+02, 1.117E+00
 7.500E+02, 1.469E+02, 1.197E+00
 7.600E+02, 1.455E+02, 1.159E+00
 7.700E+02, 1.475E+02, 1.142E+00
 7.800E+02, 1.461E+02, 1.160E+00
 7.900E+02, 1.449E+02, 1.233E+00
 8.000E+02, 1.484E+02, 1.193E+00
 8.100E+02, 1.455E+02, 1.125E+00
 8.200E+02, 1.428E+02, 1.110E+00
 8.300E+02, 1.439E+02, 1.151E+00
 8.400E+02, 1.518E+02, 1.121E+00
 8.500E+02, 1.541E+02, 1.148E+00
 8.600E+02, 1.510E+02, 1.232E+00
 8.700E+02, 1.582E+02, 1.157E+00
