m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.053E+01, 2.000E-02, 7.154E+00,-5.489E-01
 6.860E-02, 1.813E+01, 6.865E-02, 6.286E+00,-5.618E-01
 1.172E-01, 1.627E+01, 1.173E-01, 6.121E+00,-5.630E-01
 1.658E-01, 1.636E+01, 1.659E-01, 6.093E+00,-5.602E-01
 2.144E-01, 1.651E+01, 2.146E-01, 6.090E+00,-5.555E-01
 2.630E-01, 1.644E+01, 2.632E-01, 6.093E+00,-5.571E-01
 3.116E-01, 1.657E+01, 3.119E-01, 6.098E+00,-5.511E-01
 3.602E-01, 1.695E+01, 3.605E-01, 6.104E+00,-5.439E-01
 4.088E-01, 1.750E+01, 4.092E-01, 6.107E+00,-5.316E-01
 4.574E-01, 1.782E+01, 4.578E-01, 6.104E+00,-5.205E-01
 5.060E-01, 1.798E+01, 5.065E-01, 6.101E+00,-5.056E-01
 5.547E-01, 1.807E+01, 5.551E-01, 6.105E+00,-4.897E-01
 6.033E-01, 1.845E+01, 6.038E-01, 6.108E+00,-4.678E-01
 6.519E-01, 1.864E+01, 6.524E-01, 6.114E+00,-4.576E-01
 7.005E-01, 1.890E+01, 7.011E-01, 6.122E+00,-4.349E-01
 7.491E-01, 1.904E+01, 7.497E-01, 6.130E+00,-4.092E-01
 7.977E-01, 1.906E+01, 7.984E-01, 6.135E+00,-3.964E-01
 8.463E-01, 1.949E+01, 8.470E-01, 6.140E+00,-3.841E-01
 8.949E-01, 2.015E+01, 8.957E-01, 6.145E+00,-3.563E-01
 9.435E-01, 2.135E+01, 9.443E-01, 6.151E+00,-3.301E-01
 9.921E-01, 2.472E+01, 9.930E-01, 6.332E+00,-3.094E-01
 1.041E+00, 3.087E+01, 1.042E+00, 8.312E+00,-2.839E-01
 1.089E+00, 3.879E+01, 1.090E+00, 1.386E+01,-1.830E-01
 1.138E+00, 4.762E+01, 1.139E+00, 2.098E+01, 6.923E-02
 1.187E+00, 5.843E+01, 1.188E+00, 2.883E+01, 1.966E-01
 1.235E+00, 6.994E+01, 1.236E+00, 4.498E+01, 4.822E-01
 1.284E+00, 7.984E+01, 1.285E+00, 6.273E+01, 6.691E-01
 1.332E+00, 8.977E+01, 1.334E+00, 8.085E+01, 9.131E-01
 1.381E+00, 1.013E+02, 1.382E+00, 9.975E+01, 1.100E+00
 1.430E+00, 1.119E+02, 1.431E+00, 1.097E+02, 1.142E+00
 1.478E+00, 1.216E+02, 1.479E+00, 1.111E+02, 1.141E+00
 1.527E+00, 1.306E+02, 1.528E+00, 1.109E+02, 1.177E+00
 1.575E+00, 1.365E+02, 1.577E+00, 1.134E+02, 1.289E+00
 1.624E+00, 1.406E+02, 1.625E+00, 1.196E+02, 1.434E+00
 1.673E+00, 1.428E+02, 1.674E+00, 1.267E+02, 1.601E+00
 1.721E+00, 1.430E+02, 1.723E+00, 1.340E+02, 1.842E+00
 1.770E+00, 1.427E+02, 1.771E+00, 1.423E+02, 2.026E+00
 1.818E+00, 1.428E+02, 1.820E+00, 1.460E+02, 1.468E+00
 1.867E+00, 1.434E+02,NaN,NaN,NaN
 1.916E+00, 1.440E+02,NaN,NaN,NaN
 1.964E+00, 1.459E+02,NaN,NaN,NaN
 2.013E+00, 1.505E+02,NaN,NaN,NaN
 2.061E+00, 1.570E+02,NaN,NaN,NaN
 2.110E+00, 1.609E+02,NaN,NaN,NaN
