m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1988244E+000
 8.0000000E-001, 2.2050415E+000
 1.2000000E+000, 2.2032836E+000
 1.6000000E+000, 2.2074944E+000
 2.0000000E+000, 2.2000740E+000
 2.4000000E+000, 2.2005584E+000
 2.8000000E+000, 2.1883328E+000
 3.2000000E+000, 2.1569249E+000
 3.6000000E+000, 2.1200978E+000
 4.0000000E+000, 2.0709073E+000
 4.4000000E+000, 2.0134484E+000
 4.8000000E+000, 1.9357651E+000
 5.2000000E+000, 1.8641067E+000
 5.6000000E+000, 1.7902394E+000
 6.0000000E+000, 1.7200160E+000
 6.4000000E+000, 1.6485385E+000
 6.8000000E+000, 1.5768352E+000
 7.2000000E+000, 1.5229287E+000
 7.6000000E+000, 1.4846507E+000
 8.0000000E+000, 1.4053666E+000
 8.4000000E+000, 1.3202944E+000
 8.8000000E+000, 1.2779926E+000
 9.2000000E+000, 1.2398051E+000
 9.6000000E+000, 1.1988598E+000
 1.0000000E+001, 1.1680891E+000
 1.0400000E+001, 1.1436590E+000
 1.0800000E+001, 1.1033322E+000
 1.1200000E+001, 1.0506889E+000
 1.1600000E+001, 1.0226053E+000
 1.2000000E+001, 9.8564538E-001
 1.2400000E+001, 9.7163551E-001
 1.2800000E+001, 9.5813905E-001
 1.3200000E+001, 9.2494213E-001
 1.3600000E+001, 8.8496827E-001
 1.4000000E+001, 8.6610685E-001
 1.4400000E+001, 8.4218116E-001
 1.4800000E+001, 8.1331176E-001
 1.5200000E+001, 7.9873893E-001
 1.5600000E+001, 7.8255661E-001
 1.6000000E+001, 7.4138816E-001
 1.6400000E+001, 7.1369688E-001
 1.6800000E+001, 6.7307200E-001
 1.7200000E+001, 6.5451078E-001
 1.7600000E+001, 6.5301857E-001
 1.8000000E+001, 6.3353463E-001
 1.8400000E+001, 6.0523706E-001
 1.8800000E+001, 5.9436519E-001
 1.9200000E+001, 5.8983201E-001
 1.9600000E+001, 5.7069110E-001
 1.9999500E+001, 5.5597936E-001
