s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.001E+001, 1.800E+001, 1.800E+001, 1.800E+001, 6.829E-003, 1.209E-002, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.133E+001, 1.814E+001, 1.816E+001, 2.124E+000, 8.903E-001, 1.859E+001, 1.902E+001, 2.279E+001, 0.000E+000
 3.001E+001, 3.791E+001, 2.535E+001, 1.899E+001, 4.265E+000, 1.722E+000, 2.246E+001, 2.561E+001, 4.890E+001, 0.000E+000
 4.001E+001, 6.044E+001, 4.589E+001, 2.806E+001, 5.764E+000, 2.434E+000, 3.130E+001, 4.028E+001, 9.693E+001, 0.000E+000
 5.001E+001, 8.533E+001, 6.506E+001, 4.058E+001, 6.291E+000, 3.468E+000, 4.424E+001, 6.106E+001, 1.487E+002, 0.000E+000
 6.001E+001, 1.143E+002, 8.710E+001, 4.856E+001, 7.359E+000, 3.980E+000, 6.734E+001, 9.770E+001, 2.414E+002, 0.000E+000
 7.001E+001, 1.428E+002, 1.055E+002, 6.020E+001, 8.616E+000, 4.553E+000, 9.713E+001, 1.434E+002, 3.321E+002, 2.000E+000
 8.000E+001, 1.814E+002, 1.382E+002, 6.489E+001, 1.019E+001, 3.894E+000, 1.366E+002, 2.020E+002, 4.277E+002, 6.000E+000
 9.001E+001, 1.621E+002, 1.296E+002, 4.487E+001, 1.023E+001, 4.681E+000, 1.612E+002, 2.316E+002, 3.855E+002, 6.000E+000
 1.000E+002, 1.726E+002, 1.330E+002, 3.159E+001, 7.784E+000, 5.450E+000, 1.732E+002, 2.402E+002, 3.207E+002, 8.000E+000
 1.100E+002, 1.595E+002, 1.270E+002, 3.443E+001, 9.666E+000, 4.223E+000, 1.806E+002, 2.422E+002, 2.844E+002, 9.000E+000
