s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,"TC_001","TC_002","TC_003","TC_004","TC_005","TC_006","TC_007","TC_008","TC_009","TC_010","TC_011","TC_012","TC_013","TC_014","TC_015","TC_016","TC_017","TC_018","TC_019","TC_020","TC_021","TC_022","TC_023","TC_024","TC_025","TC_026","TC_027","TC_028","TC_029","TC_030","TC_031","TC_032","TC_033","TC_034","TC_035","TC_036","TC_037","TC_038","TC_039","TC_040","TC_041","TC_042","TC_043","TC_044","TC_045","TC_046","TC_047","TC_048","TC_049","TC_050","TC_051","TC_052","TC_053","TC_054","TC_055","TC_056","TC_057","TC_058","TC_059","TC_060","TC_061","TC_062","TC_063","TC_064","TC_065","TC_066","TC_067","TC_068","TC_069","TC_070","TC_071","TC_072","TC_073","TC_074","TC_075","TC_076","TC_077","TC_078","TC_079","TC_080","TC_081","TC_082","TC_083","TC_084","TC_085","TC_086","TC_087","TC_088","TC_089","TC_090","TC_091","TC_092","TC_093","TC_094","TC_095","TC_096","TC_097","TC_098","TC_099","TC_100","TC_101","TC_102","TC_103","TC_104","O2_FLOOR","CO2_FLOOR","CO_FLOOR","O2_VENT","CO2_VENT","CO_VENT","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.001E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.803E+001, 1.808E+001, 1.825E+001, 1.800E+001, 1.804E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.804E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 3.579E-054, 2.078E-001, 3.868E-004, 1.162E-024, 0.000E+000
 2.001E+001, 5.376E+001, 5.668E+001, 6.109E+001, 6.528E+001, 6.967E+001, 7.410E+001, 7.618E+001, 8.082E+001, 8.554E+001, 1.800E+001, 1.990E+001, 2.428E+001, 2.217E+001, 1.947E+001, 1.863E+001, 1.834E+001, 1.827E+001, 1.830E+001, 1.834E+001, 1.840E+001, 1.800E+001, 1.918E+001, 1.977E+001, 1.877E+001, 1.815E+001, 1.817E+001, 1.821E+001, 1.824E+001, 1.826E+001, 1.831E+001, 1.836E+001, 1.800E+001, 1.832E+001, 1.805E+001, 1.806E+001, 1.806E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.804E+001, 1.803E+001, 1.803E+001, 4.093E+001, 4.253E+001, 4.661E+001, 4.821E+001, 4.494E+001, 3.971E+001, 3.623E+001, 1.839E+001, 1.971E+001, 2.004E+001, 1.840E+001, 2.030E+001, 2.437E+001, 2.626E+001, 2.091E+001, 2.099E+001, 2.515E+001, 2.586E+001, 2.033E+001, 1.872E+001, 1.959E+001, 1.997E+001, 1.834E+001, 2.173E+001, 2.295E+001, 1.904E+001, 1.917E+001, 1.926E+001, 2.287E+001, 1.800E+001, 1.801E+001, 1.808E+001, 1.801E+001, 1.807E+001, 1.818E+001, 1.801E+001, 1.808E+001, 1.824E+001, 1.800E+001, 1.801E+001, 1.807E+001, 1.800E+001, 1.802E+001, 1.803E+001, 1.807E+001, 1.815E+001, 1.814E+001, 1.808E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.801E+001, 1.808E+001, 1.807E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 2.078E-001, 3.868E-004, 2.769E-051, 2.014E-001, 4.145E-003, 1.177E-005, 0.000E+000
 3.001E+001, 1.118E+002, 1.144E+002, 1.215E+002, 1.302E+002, 1.402E+002, 1.509E+002, 1.558E+002, 1.675E+002, 1.799E+002, 1.800E+001, 2.640E+001, 4.853E+001, 4.130E+001, 2.768E+001, 2.267E+001, 1.989E+001, 1.921E+001, 1.932E+001, 1.953E+001, 1.979E+001, 1.800E+001, 2.395E+001, 3.154E+001, 2.640E+001, 1.919E+001, 1.882E+001, 1.895E+001, 1.911E+001, 1.920E+001, 1.939E+001, 1.963E+001, 1.800E+001, 2.038E+001, 2.262E+001, 2.072E+001, 1.838E+001, 1.825E+001, 1.823E+001, 1.820E+001, 1.819E+001, 1.817E+001, 1.819E+001, 8.953E+001, 9.650E+001, 1.104E+002, 1.133E+002, 1.095E+002, 9.594E+001, 8.479E+001, 3.108E+001, 3.248E+001, 3.122E+001, 3.007E+001, 4.526E+001, 5.306E+001, 5.164E+001, 4.573E+001, 4.480E+001, 4.976E+001, 5.571E+001, 4.194E+001, 3.058E+001, 3.269E+001, 3.523E+001, 3.195E+001, 4.926E+001, 4.700E+001, 3.107E+001, 3.089E+001, 3.318E+001, 4.818E+001, 1.808E+001, 2.079E+001, 2.615E+001, 1.881E+001, 2.382E+001, 3.178E+001, 1.819E+001, 2.244E+001, 3.195E+001, 1.822E+001, 2.061E+001, 2.599E+001, 1.802E+001, 1.836E+001, 2.027E+001, 2.226E+001, 2.420E+001, 2.380E+001, 2.340E+001, 1.801E+001, 1.801E+001, 1.827E+001, 1.863E+001, 1.949E+001, 1.946E+001, 1.896E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.801E+001, 1.807E+001, 1.808E+001, 1.801E+001, 2.078E-001, 3.868E-004, 1.818E-050, 1.955E-001, 7.549E-003, 2.243E-005, 0.000E+000
 4.000E+001, 1.446E+002, 1.467E+002, 1.547E+002, 1.663E+002, 1.804E+002, 1.968E+002, 2.057E+002, 2.249E+002, 2.489E+002, 1.800E+001, 3.972E+001, 7.096E+001, 5.690E+001, 4.147E+001, 2.869E+001, 2.266E+001, 2.149E+001, 2.164E+001, 2.221E+001, 2.280E+001, 1.800E+001, 3.507E+001, 5.069E+001, 4.113E+001, 2.723E+001, 2.161E+001, 2.082E+001, 2.124E+001, 2.145E+001, 2.195E+001, 2.254E+001, 1.800E+001, 2.614E+001, 3.309E+001, 2.487E+001, 1.895E+001, 1.870E+001, 1.865E+001, 1.859E+001, 1.856E+001, 1.854E+001, 1.859E+001, 1.300E+002, 1.382E+002, 1.515E+002, 1.543E+002, 1.524E+002, 1.402E+002, 1.285E+002, 5.411E+001, 5.352E+001, 5.554E+001, 5.222E+001, 6.735E+001, 8.491E+001, 8.207E+001, 6.621E+001, 5.984E+001, 8.159E+001, 8.078E+001, 6.276E+001, 5.000E+001, 5.489E+001, 5.482E+001, 5.045E+001, 7.618E+001, 6.672E+001, 5.271E+001, 4.943E+001, 5.272E+001, 7.366E+001, 3.157E+001, 4.101E+001, 4.930E+001, 3.285E+001, 4.262E+001, 5.240E+001, 3.180E+001, 3.992E+001, 4.972E+001, 2.938E+001, 3.512E+001, 4.191E+001, 2.467E+001, 3.134E+001, 3.543E+001, 4.036E+001, 3.980E+001, 3.994E+001, 4.166E+001, 2.221E+001, 2.547E+001, 2.864E+001, 3.064E+001, 3.120E+001, 3.080E+001, 3.373E+001, 1.955E+001, 2.139E+001, 2.351E+001, 2.411E+001, 2.551E+001, 2.510E+001, 2.641E+001, 2.078E-001, 3.868E-004, 3.172E-048, 1.899E-001, 1.087E-002, 3.284E-005, 0.000E+000
 5.001E+001, 1.919E+002, 1.905E+002, 1.948E+002, 2.046E+002, 2.191E+002, 2.400E+002, 2.544E+002, 2.893E+002, 3.354E+002, 1.801E+001, 5.841E+001, 9.788E+001, 9.065E+001, 6.409E+001, 3.889E+001, 2.756E+001, 2.608E+001, 2.630E+001, 2.695E+001, 2.776E+001, 1.800E+001, 5.047E+001, 7.762E+001, 6.677E+001, 4.335E+001, 3.105E+001, 2.548E+001, 2.578E+001, 2.600E+001, 2.660E+001, 2.743E+001, 1.800E+001, 3.346E+001, 4.530E+001, 3.328E+001, 2.052E+001, 1.964E+001, 1.944E+001, 1.932E+001, 1.928E+001, 1.927E+001, 1.938E+001, 1.926E+002, 2.070E+002, 2.264E+002, 2.280E+002, 2.277E+002, 2.067E+002, 1.902E+002, 8.093E+001, 7.964E+001, 8.292E+001, 8.073E+001, 8.672E+001, 1.215E+002, 1.228E+002, 9.065E+001, 7.078E+001, 1.168E+002, 1.214E+002, 9.278E+001, 6.367E+001, 7.333E+001, 7.334E+001, 7.410E+001, 1.109E+002, 8.445E+001, 7.310E+001, 7.523E+001, 7.647E+001, 1.152E+002, 5.140E+001, 6.204E+001, 6.817E+001, 5.079E+001, 5.966E+001, 6.997E+001, 5.009E+001, 5.498E+001, 6.107E+001, 4.102E+001, 4.449E+001, 5.233E+001, 3.600E+001, 4.103E+001, 4.943E+001, 5.224E+001, 5.216E+001, 5.620E+001, 6.275E+001, 3.299E+001, 3.915E+001, 4.197E+001, 4.094E+001, 4.503E+001, 4.745E+001, 5.330E+001, 2.991E+001, 3.284E+001, 3.648E+001, 3.739E+001, 3.855E+001, 4.065E+001, 4.526E+001, 2.078E-001, 3.868E-004, 1.728E-035, 1.826E-001, 1.514E-002, 4.621E-005, 0.000E+000
 6.000E+001, 2.746E+002, 2.710E+002, 2.794E+002, 3.025E+002, 3.379E+002, 3.821E+002, 4.075E+002, 4.664E+002, 5.368E+002, 1.803E+001, 8.563E+001, 1.277E+002, 1.152E+002, 8.116E+001, 4.670E+001, 3.265E+001, 3.273E+001, 3.281E+001, 3.346E+001, 3.443E+001, 1.802E+001, 7.309E+001, 1.097E+002, 9.694E+001, 7.046E+001, 4.947E+001, 3.285E+001, 3.310E+001, 3.340E+001, 3.438E+001, 3.560E+001, 1.801E+001, 4.203E+001, 5.777E+001, 4.587E+001, 3.203E+001, 2.699E+001, 2.561E+001, 2.400E+001, 2.326E+001, 2.164E+001, 2.128E+001, 2.698E+002, 2.899E+002, 3.138E+002, 3.146E+002, 3.211E+002, 3.024E+002, 2.793E+002, 1.105E+002, 1.078E+002, 1.136E+002, 1.095E+002, 1.209E+002, 1.681E+002, 1.641E+002, 1.266E+002, 9.717E+001, 1.710E+002, 1.696E+002, 1.086E+002, 8.219E+001, 9.939E+001, 9.781E+001, 9.501E+001, 1.452E+002, 1.186E+002, 9.756E+001, 9.878E+001, 1.013E+002, 1.508E+002, 7.229E+001, 8.508E+001, 9.525E+001, 7.431E+001, 8.505E+001, 9.666E+001, 6.814E+001, 6.815E+001, 7.338E+001, 5.639E+001, 5.863E+001, 7.038E+001, 5.036E+001, 5.558E+001, 6.114E+001, 6.882E+001, 7.008E+001, 7.268E+001, 8.387E+001, 4.703E+001, 5.013E+001, 5.153E+001, 5.305E+001, 5.703E+001, 6.374E+001, 7.438E+001, 4.215E+001, 4.343E+001, 4.609E+001, 4.923E+001, 5.186E+001, 5.833E+001, 6.493E+001, 2.078E-001, 3.868E-004, 6.024E-029, 1.696E-001, 2.269E-002, 6.985E-005, 0.000E+000
 7.001E+001, 3.082E+002, 3.056E+002, 3.168E+002, 3.423E+002, 3.778E+002, 4.227E+002, 4.494E+002, 5.133E+002, 5.948E+002, 1.809E+001, 1.128E+002, 1.633E+002, 1.466E+002, 1.055E+002, 7.173E+001, 4.498E+001, 3.963E+001, 3.980E+001, 4.019E+001, 4.103E+001, 1.807E+001, 9.768E+001, 1.388E+002, 1.284E+002, 9.966E+001, 6.321E+001, 4.107E+001, 4.039E+001, 4.051E+001, 4.176E+001, 4.293E+001, 1.803E+001, 5.185E+001, 7.785E+001, 6.346E+001, 4.711E+001, 4.114E+001, 3.561E+001, 3.174E+001, 3.069E+001, 2.811E+001, 2.767E+001, 3.039E+002, 3.236E+002, 3.559E+002, 3.588E+002, 3.761E+002, 3.594E+002, 3.355E+002, 1.390E+002, 1.359E+002, 1.396E+002, 1.467E+002, 1.373E+002, 2.048E+002, 1.907E+002, 1.506E+002, 1.229E+002, 2.071E+002, 1.940E+002, 1.405E+002, 1.069E+002, 1.179E+002, 1.252E+002, 1.189E+002, 1.707E+002, 1.418E+002, 1.218E+002, 1.147E+002, 1.223E+002, 1.783E+002, 9.537E+001, 1.122E+002, 1.228E+002, 9.671E+001, 1.063E+002, 1.151E+002, 8.850E+001, 8.701E+001, 9.744E+001, 7.576E+001, 7.898E+001, 8.698E+001, 6.937E+001, 7.419E+001, 8.156E+001, 9.263E+001, 8.688E+001, 9.181E+001, 1.068E+002, 6.392E+001, 6.911E+001, 6.990E+001, 7.083E+001, 7.276E+001, 8.065E+001, 9.422E+001, 5.752E+001, 5.781E+001, 6.075E+001, 6.352E+001, 6.473E+001, 7.332E+001, 8.511E+001, 2.078E-001, 3.868E-004, 1.893E-025, 1.652E-001, 2.452E-002, 7.560E-005, 4.000E+000
 8.001E+001, 2.883E+002, 2.787E+002, 2.714E+002, 2.887E+002, 3.194E+002, 3.619E+002, 3.851E+002, 4.421E+002, 5.130E+002, 1.822E+001, 1.047E+002, 1.316E+002, 1.208E+002, 8.789E+001, 5.585E+001, 3.711E+001, 3.577E+001, 3.589E+001, 3.636E+001, 3.690E+001, 1.817E+001, 8.882E+001, 1.253E+002, 1.205E+002, 1.051E+002, 8.357E+001, 5.836E+001, 3.956E+001, 3.769E+001, 3.912E+001, 4.019E+001, 1.808E+001, 5.182E+001, 8.109E+001, 7.593E+001, 6.395E+001, 5.303E+001, 4.208E+001, 3.340E+001, 3.076E+001, 2.784E+001, 2.644E+001, 2.931E+002, 3.185E+002, 3.610E+002, 3.652E+002, 3.668E+002, 3.380E+002, 3.022E+002, 1.332E+002, 1.239E+002, 1.282E+002, 1.386E+002, 1.298E+002, 1.832E+002, 1.589E+002, 1.527E+002, 9.535E+001, 1.734E+002, 1.724E+002, 1.039E+002, 9.047E+001, 1.113E+002, 1.209E+002, 1.081E+002, 1.686E+002, 1.025E+002, 9.778E+001, 1.114E+002, 1.192E+002, 1.640E+002, 1.123E+002, 1.179E+002, 1.268E+002, 1.023E+002, 9.847E+001, 1.016E+002, 9.489E+001, 8.858E+001, 8.991E+001, 8.884E+001, 8.428E+001, 8.300E+001, 8.270E+001, 8.025E+001, 8.173E+001, 8.930E+001, 9.398E+001, 1.015E+002, 1.094E+002, 7.727E+001, 7.785E+001, 8.028E+001, 8.283E+001, 8.469E+001, 9.456E+001, 1.027E+002, 7.100E+001, 7.337E+001, 7.267E+001, 7.553E+001, 8.071E+001, 8.944E+001, 9.804E+001, 2.075E-001, 3.864E-004, 2.138E-024, 1.511E-001, 2.779E-002, 8.587E-005, 4.000E+000
