s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,"TC_001","TC_002","TC_003","TC_004","TC_005","TC_006","TC_007","TC_008","TC_009","TC_010","TC_011","TC_012","TC_013","TC_014","TC_015","TC_016","TC_017","TC_018","TC_019","TC_020","TC_021","TC_022","TC_023","TC_024","TC_025","TC_026","TC_027","TC_028","TC_029","TC_030","TC_031","TC_032","TC_033","TC_034","TC_035","TC_036","TC_037","TC_038","TC_039","TC_040","TC_041","TC_042","TC_043","TC_044","TC_045","TC_046","TC_047","TC_048","TC_049","TC_050","TC_051","TC_052","TC_053","TC_054","TC_055","TC_056","TC_057","TC_058","TC_059","TC_060","TC_061","TC_062","TC_063","TC_064","TC_065","TC_066","TC_067","TC_068","TC_069","TC_070","TC_071","TC_087","TC_088","TC_089","TC_090","TC_094","TC_095","TC_096","TC_097","O2_FLOOR","CO2_FLOOR","CO_FLOOR","O2_VENT","CO2_VENT","CO_VENT","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.000E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.800E+001, 1.809E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.803E+001, 1.806E+001, 1.820E+001, 1.849E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 6.140E-086, 2.078E-001, 3.868E-004, 2.122E-040, 0.000E+000
 2.001E+001, 2.003E+001, 1.866E+001, 1.814E+001, 1.817E+001, 1.821E+001, 1.825E+001, 1.827E+001, 1.831E+001, 1.836E+001, 1.800E+001, 2.012E+001, 1.939E+001, 1.845E+001, 1.817E+001, 1.817E+001, 1.817E+001, 1.819E+001, 1.820E+001, 1.823E+001, 1.827E+001, 1.800E+001, 2.246E+001, 4.116E+001, 4.251E+001, 4.648E+001, 5.078E+001, 5.565E+001, 6.098E+001, 6.395E+001, 6.968E+001, 7.533E+001, 1.800E+001, 1.830E+001, 1.804E+001, 1.804E+001, 1.803E+001, 1.803E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 2.211E+001, 2.247E+001, 2.177E+001, 2.152E+001, 2.238E+001, 2.281E+001, 2.248E+001, 2.124E+001, 2.753E+001, 2.721E+001, 2.054E+001, 2.150E+001, 2.819E+001, 2.753E+001, 2.030E+001, 1.944E+001, 2.137E+001, 2.164E+001, 1.917E+001, 1.814E+001, 1.845E+001, 1.848E+001, 1.814E+001, 2.378E+001, 2.014E+001, 1.840E+001, 1.810E+001, 1.824E+001, 2.298E+001, 1.801E+001, 1.807E+001, 1.806E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 2.078E-001, 3.868E-004, 2.021E-077, 2.066E-001, 1.058E-003, 2.104E-006, 0.000E+000
 3.002E+001, 2.797E+001, 2.374E+001, 1.874E+001, 1.877E+001, 1.891E+001, 1.907E+001, 1.916E+001, 1.935E+001, 1.960E+001, 1.800E+001, 2.726E+001, 2.552E+001, 2.040E+001, 1.878E+001, 1.879E+001, 1.881E+001, 1.886E+001, 1.890E+001, 1.903E+001, 1.918E+001, 1.800E+001, 3.723E+001, 1.038E+002, 1.062E+002, 1.139E+002, 1.230E+002, 1.326E+002, 1.429E+002, 1.482E+002, 1.600E+002, 1.722E+002, 1.800E+001, 1.980E+001, 2.055E+001, 1.890E+001, 1.813E+001, 1.810E+001, 1.808E+001, 1.807E+001, 1.807E+001, 1.808E+001, 1.812E+001, 4.174E+001, 4.354E+001, 4.359E+001, 4.356E+001, 4.242E+001, 4.240E+001, 4.291E+001, 3.844E+001, 5.725E+001, 5.640E+001, 3.693E+001, 4.047E+001, 5.807E+001, 5.431E+001, 4.100E+001, 3.274E+001, 3.871E+001, 3.924E+001, 3.116E+001, 2.690E+001, 2.816E+001, 2.876E+001, 2.487E+001, 4.722E+001, 3.585E+001, 2.840E+001, 2.875E+001, 2.835E+001, 4.701E+001, 2.129E+001, 2.156E+001, 2.130E+001, 2.111E+001, 1.844E+001, 1.866E+001, 1.889E+001, 1.857E+001, 2.078E-001, 3.868E-004, 6.276E-063, 2.045E-001, 2.335E-003, 6.104E-006, 0.000E+000
 4.001E+001, 3.492E+001, 2.655E+001, 2.029E+001, 2.042E+001, 2.075E+001, 2.114E+001, 2.135E+001, 2.184E+001, 2.243E+001, 1.800E+001, 4.200E+001, 4.280E+001, 2.690E+001, 2.011E+001, 2.012E+001, 2.021E+001, 2.038E+001, 2.050E+001, 2.079E+001, 2.110E+001, 1.800E+001, 5.886E+001, 1.515E+002, 1.516E+002, 1.582E+002, 1.697E+002, 1.844E+002, 2.016E+002, 2.115E+002, 2.336E+002, 2.569E+002, 1.800E+001, 2.262E+001, 2.552E+001, 2.065E+001, 1.829E+001, 1.823E+001, 1.821E+001, 1.820E+001, 1.821E+001, 1.825E+001, 1.834E+001, 6.837E+001, 6.975E+001, 6.526E+001, 6.241E+001, 6.205E+001, 6.147E+001, 6.353E+001, 5.458E+001, 8.272E+001, 8.907E+001, 5.357E+001, 5.960E+001, 8.942E+001, 9.508E+001, 5.686E+001, 5.118E+001, 5.553E+001, 6.036E+001, 5.365E+001, 3.858E+001, 4.202E+001, 4.273E+001, 4.167E+001, 7.126E+001, 5.393E+001, 4.144E+001, 3.969E+001, 4.329E+001, 7.168E+001, 3.307E+001, 3.379E+001, 3.288E+001, 3.482E+001, 2.568E+001, 2.668E+001, 2.708E+001, 2.696E+001, 2.078E-001, 3.868E-004, 2.179E-052, 2.028E-001, 3.332E-003, 9.225E-006, 0.000E+000
 5.000E+001, 5.444E+001, 3.701E+001, 2.401E+001, 2.415E+001, 2.458E+001, 2.517E+001, 2.540E+001, 2.618E+001, 2.713E+001, 1.801E+001, 6.033E+001, 5.526E+001, 3.275E+001, 2.295E+001, 2.278E+001, 2.287E+001, 2.310E+001, 2.325E+001, 2.360E+001, 2.396E+001, 1.802E+001, 9.959E+001, 2.125E+002, 2.122E+002, 2.237E+002, 2.413E+002, 2.641E+002, 2.921E+002, 3.077E+002, 3.465E+002, 3.947E+002, 1.800E+001, 2.741E+001, 3.298E+001, 2.218E+001, 1.855E+001, 1.847E+001, 1.845E+001, 1.848E+001, 1.851E+001, 1.860E+001, 1.868E+001, 9.552E+001, 9.745E+001, 9.826E+001, 9.657E+001, 9.573E+001, 9.522E+001, 9.417E+001, 7.487E+001, 1.161E+002, 1.276E+002, 8.109E+001, 7.465E+001, 1.227E+002, 1.401E+002, 7.504E+001, 7.024E+001, 7.974E+001, 7.561E+001, 7.245E+001, 5.362E+001, 5.589E+001, 5.924E+001, 5.410E+001, 9.339E+001, 7.302E+001, 5.667E+001, 5.704E+001, 5.421E+001, 1.001E+002, 4.431E+001, 4.666E+001, 4.566E+001, 4.393E+001, 3.618E+001, 3.883E+001, 3.776E+001, 3.893E+001, 2.078E-001, 3.868E-004, 3.361E-038, 1.993E-001, 5.355E-003, 1.556E-005, 0.000E+000
 6.000E+001, 6.263E+001, 4.183E+001, 2.874E+001, 2.888E+001, 2.940E+001, 3.014E+001, 3.041E+001, 3.147E+001, 3.273E+001, 1.803E+001, 7.806E+001, 6.296E+001, 3.562E+001, 2.680E+001, 2.639E+001, 2.634E+001, 2.650E+001, 2.663E+001, 2.695E+001, 2.729E+001, 1.806E+001, 1.606E+002, 2.863E+002, 2.786E+002, 2.857E+002, 3.063E+002, 3.380E+002, 3.799E+002, 4.032E+002, 4.563E+002, 5.185E+002, 1.801E+001, 3.298E+001, 4.313E+001, 2.749E+001, 1.913E+001, 1.895E+001, 1.894E+001, 1.891E+001, 1.888E+001, 1.887E+001, 1.892E+001, 1.284E+002, 1.283E+002, 1.282E+002, 1.289E+002, 1.305E+002, 1.288E+002, 1.288E+002, 9.088E+001, 1.449E+002, 1.651E+002, 1.022E+002, 1.003E+002, 1.720E+002, 1.810E+002, 9.407E+001, 8.861E+001, 1.080E+002, 9.067E+001, 8.361E+001, 6.881E+001, 6.982E+001, 6.968E+001, 6.326E+001, 1.280E+002, 9.310E+001, 7.578E+001, 6.999E+001, 6.424E+001, 1.274E+002, 5.627E+001, 5.744E+001, 5.536E+001, 5.151E+001, 4.500E+001, 4.769E+001, 4.770E+001, 4.719E+001, 2.078E-001, 3.868E-004, 5.256E-030, 1.978E-001, 6.214E-003, 1.825E-005, 0.000E+000
 7.001E+001, 7.561E+001, 4.975E+001, 2.989E+001, 2.973E+001, 3.068E+001, 3.122E+001, 3.138E+001, 3.249E+001, 3.389E+001, 1.810E+001, 7.856E+001, 7.023E+001, 4.545E+001, 2.809E+001, 2.733E+001, 2.720E+001, 2.733E+001, 2.766E+001, 2.788E+001, 2.807E+001, 1.818E+001, 1.789E+002, 2.854E+002, 2.746E+002, 2.848E+002, 3.092E+002, 3.434E+002, 3.871E+002, 4.120E+002, 4.681E+002, 5.375E+002, 1.802E+001, 3.523E+001, 4.373E+001, 2.825E+001, 1.987E+001, 1.958E+001, 1.924E+001, 1.884E+001, 1.879E+001, 1.884E+001, 1.892E+001, 1.345E+002, 1.378E+002, 1.396E+002, 1.396E+002, 1.361E+002, 1.330E+002, 1.304E+002, 9.375E+001, 1.411E+002, 1.605E+002, 1.041E+002, 9.730E+001, 1.572E+002, 1.692E+002, 9.897E+001, 8.557E+001, 1.063E+002, 1.007E+002, 7.759E+001, 6.734E+001, 7.492E+001, 7.694E+001, 5.981E+001, 1.226E+002, 8.776E+001, 7.670E+001, 7.372E+001, 6.274E+001, 1.152E+002, 5.874E+001, 6.273E+001, 5.773E+001, 5.301E+001, 4.810E+001, 5.105E+001, 4.843E+001, 4.660E+001, 2.078E-001, 3.868E-004, 2.537E-026, 1.943E-001, 7.469E-003, 2.219E-005, 3.000E+000
 8.001E+001, 5.921E+001, 4.316E+001, 3.063E+001, 2.832E+001, 2.816E+001, 2.808E+001, 2.820E+001, 2.883E+001, 2.995E+001, 1.823E+001, 6.854E+001, 7.851E+001, 6.280E+001, 3.865E+001, 2.736E+001, 2.512E+001, 2.491E+001, 2.502E+001, 2.516E+001, 2.542E+001, 1.844E+001, 1.711E+002, 2.832E+002, 2.825E+002, 2.978E+002, 3.250E+002, 3.597E+002, 4.026E+002, 4.258E+002, 4.792E+002, 5.372E+002, 1.805E+001, 3.506E+001, 4.375E+001, 2.974E+001, 2.096E+001, 2.004E+001, 1.889E+001, 1.858E+001, 1.856E+001, 1.861E+001, 1.870E+001, 1.177E+002, 1.203E+002, 1.177E+002, 1.161E+002, 1.155E+002, 1.193E+002, 1.213E+002, 8.503E+001, 1.468E+002, 1.493E+002, 8.885E+001, 9.083E+001, 1.185E+002, 1.333E+002, 8.821E+001, 8.445E+001, 1.020E+002, 9.420E+001, 6.942E+001, 6.706E+001, 7.210E+001, 6.750E+001, 5.751E+001, 1.105E+002, 8.976E+001, 6.919E+001, 7.040E+001, 6.370E+001, 1.055E+002, 5.275E+001, 5.778E+001, 5.113E+001, 5.075E+001, 4.600E+001, 4.859E+001, 4.434E+001, 4.314E+001, 2.074E-001, 3.861E-004, 7.459E-014, 1.924E-001, 6.625E-003, 1.957E-005, 4.000E+000
