s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.006E+001, 1.800E+001, 1.800E+001, 1.800E+001, 5.218E-003, 9.863E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 1.896E+001, 1.807E+001, 2.022E+001, 5.313E-001, 5.748E-001, 1.802E+001, 1.803E+001, 1.816E+001, 0.000E+000
 3.002E+001, 2.760E+001, 2.243E+001, 4.376E+001, 1.219E+000, 1.467E+000, 1.820E+001, 1.834E+001, 1.955E+001, 0.000E+000
 4.001E+001, 4.042E+001, 3.232E+001, 7.313E+001, 1.943E+000, 2.328E+000, 1.868E+001, 1.916E+001, 2.283E+001, 0.000E+000
 5.000E+001, 5.746E+001, 4.568E+001, 9.349E+001, 2.461E+000, 3.146E+000, 1.961E+001, 2.072E+001, 2.820E+001, 0.000E+000
 6.000E+001, 7.886E+001, 5.531E+001, 1.154E+002, 3.377E+000, 4.163E+000, 2.120E+001, 2.335E+001, 3.634E+001, 2.000E+000
 7.001E+001, 9.536E+001, 7.230E+001, 1.190E+002, 4.141E+000, 4.637E+000, 2.420E+001, 2.823E+001, 5.090E+001, 4.000E+000
 8.000E+001, 1.190E+002, 8.877E+001, 1.042E+002, 4.631E+000, 4.550E+000, 2.960E+001, 3.696E+001, 7.552E+001, 4.000E+000
 9.000E+001, 9.504E+001, 8.003E+001, 1.382E+002, 3.644E+000, 3.198E+000, 3.435E+001, 4.423E+001, 8.687E+001, 7.000E+000
 1.000E+002, 1.099E+002, 9.708E+001, 1.139E+002, 3.746E+000, 3.711E+000, 3.892E+001, 5.093E+001, 9.528E+001, 1.000E+001
 1.100E+002, 9.560E+001, 9.339E+001, 1.307E+002, 1.686E+000, 1.381E+000, 4.244E+001, 5.584E+001, 9.802E+001, 1.000E+001
 1.200E+002, 7.763E+001, 8.099E+001, 1.189E+002, 1.246E+000, 8.329E-001, 4.366E+001, 5.706E+001, 9.113E+001, 1.400E+001
 1.300E+002, 8.630E+001, 7.560E+001, 1.135E+002, 1.934E+000, 2.332E+000, 4.503E+001, 5.853E+001, 8.761E+001, 1.500E+001
 1.400E+002, 1.322E+002, 1.031E+002, 1.010E+002, 4.470E+000, 5.056E+000, 4.861E+001, 6.330E+001, 9.553E+001, 1.700E+001
 1.500E+002, 1.393E+002, 1.118E+002, 1.044E+002, 3.822E+000, 5.157E+000, 5.315E+001, 6.937E+001, 1.051E+002, 1.700E+001
 1.600E+002, 1.205E+002, 1.096E+002, 1.162E+002, 2.634E+000, 3.370E+000, 5.626E+001, 7.295E+001, 1.038E+002, 1.800E+001
 1.700E+002, 8.827E+001, 9.055E+001, 1.175E+002, 6.287E-001, 1.240E+000, 5.697E+001, 7.304E+001, 9.453E+001, 2.000E+001
 1.800E+002, 8.414E+001, 8.139E+001, 1.378E+002, 1.772E+000, 1.730E+000, 5.728E+001, 7.275E+001, 8.826E+001, 2.400E+001
 1.900E+002, 1.002E+002, 8.916E+001, 1.243E+002, 2.885E+000, 3.267E+000, 5.909E+001, 7.442E+001, 8.941E+001, 2.400E+001
 2.000E+002, 7.531E+001, 7.856E+001, 1.278E+002, 7.915E-001, 7.115E-001, 5.984E+001, 7.464E+001, 8.538E+001, 2.400E+001
 2.100E+002, 6.387E+001, 6.973E+001, 1.216E+002, 1.015E+000, 1.261E+000, 5.981E+001, 7.372E+001, 7.844E+001, 2.400E+001
 2.200E+002, 5.884E+001, 6.267E+001, 1.198E+002, 5.111E-001, 8.256E-001, 5.981E+001, 7.308E+001, 7.437E+001, 2.400E+001
 2.300E+002, 4.695E+001, 5.026E+001, 9.642E+001, 1.016E+000, 1.306E+000, 5.951E+001, 7.185E+001, 6.843E+001, 2.400E+001
 2.400E+002, 3.918E+001, 4.321E+001, 1.053E+002, 1.011E+000, 1.307E+000, 5.886E+001, 7.000E+001, 6.087E+001, 2.400E+001
 2.500E+002, 3.232E+001, 3.841E+001, 1.135E+002, 1.083E+000, 1.281E+000, 5.784E+001, 6.756E+001, 5.226E+001, 2.500E+001
 2.600E+002, 2.758E+001, 3.392E+001, 1.094E+002, 1.184E+000, 1.250E+000, 5.670E+001, 6.498E+001, 4.500E+001, 2.500E+001
 2.700E+002, 2.461E+001, 3.027E+001, 1.078E+002, 1.351E+000, 1.170E+000, 5.554E+001, 6.244E+001, 3.956E+001, 2.500E+001
 2.800E+002, 2.458E+001, 2.869E+001, 1.122E+002, 1.242E+000, 1.097E+000, 5.444E+001, 6.007E+001, 3.583E+001, 2.500E+001
 2.900E+002, 2.372E+001, 2.603E+001, 1.158E+002, 1.370E+000, 1.036E+000, 5.337E+001, 5.785E+001, 3.322E+001, 2.500E+001
 3.000E+002, 2.406E+001, 2.349E+001, 1.070E+002, 1.634E+000, 1.052E+000, 5.228E+001, 5.567E+001, 3.124E+001, 2.500E+001
 3.100E+002, 2.414E+001, 2.293E+001, 1.156E+002, 1.258E+000, 1.067E+000, 5.126E+001, 5.365E+001, 3.021E+001, 2.500E+001
 3.200E+002, 2.345E+001, 2.283E+001, 1.199E+002, 9.938E-001, 8.720E-001, 5.033E+001, 5.191E+001, 2.871E+001, 2.500E+001
