m,C,C,mol/mol,C,C,mol/mol
y,T_125,TC_125,XO2_125,T_250,TC_250,XO2_250
-2.4688000E-001, 1.9998636E+001, 4.2741461E+001, 2.0997729E-001, 1.9997419E+001, 4.1093262E+001, 2.0999999E-001
-2.4062987E-001, 1.9998634E+001, 4.3486316E+001, 2.0975338E-001, 1.9997417E+001, 4.1778817E+001, 2.0999999E-001
-2.3437975E-001, 1.9998637E+001, 4.3962999E+001, 2.0851759E-001, 1.9997416E+001, 4.2443124E+001, 2.0999999E-001
-2.2812962E-001, 1.9998642E+001, 4.4420949E+001, 2.0557462E-001, 1.9997418E+001, 4.3205095E+001, 2.0999999E-001
-2.2187949E-001, 1.9998644E+001, 4.4668476E+001, 2.0193384E-001, 1.9997420E+001, 4.3934928E+001, 2.0999999E-001
-2.1562937E-001, 1.9998645E+001, 4.4729304E+001, 1.9908818E-001, 1.9997423E+001, 4.4772343E+001, 2.0999999E-001
-2.0937924E-001, 1.9998646E+001, 4.4791405E+001, 1.9714662E-001, 1.9997425E+001, 4.5564512E+001, 2.0999999E-001
-2.0312911E-001, 1.9998647E+001, 4.4926804E+001, 1.9510661E-001, 1.9997426E+001, 4.6478806E+001, 2.0999999E-001
-1.9687899E-001, 1.9998644E+001, 4.5229459E+001, 1.9222456E-001, 1.9997426E+001, 4.7348547E+001, 2.0999994E-001
-1.9062886E-001, 1.9998646E+001, 4.5783452E+001, 1.8841908E-001, 1.9997425E+001, 4.8349871E+001, 2.0999927E-001
-1.8437873E-001, 1.9998647E+001, 4.6599939E+001, 1.8432474E-001, 1.9997424E+001, 4.9327017E+001, 2.0999134E-001
-1.7812861E-001, 1.9998651E+001, 4.7669974E+001, 1.8149276E-001, 1.9997425E+001, 5.0420238E+001, 2.0992956E-001
-1.7187848E-001, 1.9998654E+001, 4.8898391E+001, 1.8041448E-001, 1.9997427E+001, 5.1469785E+001, 2.0966317E-001
-1.6562835E-001, 1.9998648E+001, 5.0323399E+001, 1.8020979E-001, 1.9997433E+001, 5.2605423E+001, 2.0891578E-001
-1.5937823E-001, 1.9998642E+001, 5.1748528E+001, 1.8019114E-001, 1.9997437E+001, 5.3725252E+001, 2.0738422E-001
-1.5312810E-001, 1.9998638E+001, 5.3409257E+001, 1.8019098E-001, 1.9997439E+001, 5.4881815E+001, 2.0527911E-001
-1.4687797E-001, 1.9998636E+001, 5.5024143E+001, 1.8019215E-001, 1.9997439E+001, 5.6030773E+001, 2.0298276E-001
-1.4062785E-001, 1.9998636E+001, 5.6898187E+001, 1.8019331E-001, 1.9997440E+001, 5.7208064E+001, 2.0085476E-001
-1.3437772E-001, 1.9998635E+001, 5.8771725E+001, 1.8019425E-001, 1.9997881E+001, 5.8440127E+001, 1.9920149E-001
-1.2812759E-001, 1.9998635E+001, 6.0954809E+001, 1.8019535E-001, 2.0003794E+001, 5.9976517E+001, 1.9790431E-001
-1.2187747E-001, 1.9998635E+001, 6.3124328E+001, 1.8019631E-001, 2.0068603E+001, 6.2372328E+001, 1.9686010E-001
-1.1562734E-001, 1.9998635E+001, 6.5631920E+001, 1.8019768E-001, 2.0901511E+001, 6.4752631E+001, 1.9566328E-001
-1.0937722E-001, 1.9998635E+001, 6.8196156E+001, 1.8019884E-001, 2.5216517E+001, 7.0376470E+001, 1.9392356E-001
-1.0312709E-001, 1.9998634E+001, 7.1121808E+001, 1.8020115E-001, 3.6316929E+001, 8.6002888E+001, 1.9100074E-001
-9.6876962E-002, 1.9998666E+001, 7.4120552E+001, 1.8019706E-001, 4.8116077E+001, 1.0949916E+002, 1.8877692E-001
-9.0626835E-002, 1.9998681E+001, 7.7564825E+001, 1.8019952E-001, 7.6004156E+001, 1.6481991E+002, 1.8369723E-001
-8.4376709E-002, 1.9999437E+001, 8.1365110E+001, 1.8020188E-001, 1.0096362E+002, 2.0978898E+002, 1.7922826E-001
-7.8126582E-002, 2.0309273E+001, 8.5587632E+001, 1.8017363E-001, 1.3570813E+002, 2.6519138E+002, 1.7339287E-001
-7.1876456E-002, 2.6233359E+001, 9.5038266E+001, 1.7950788E-001, 1.6891621E+002, 3.1322225E+002, 1.6710344E-001
-6.5626329E-002, 3.7495764E+001, 1.1653509E+002, 1.7816091E-001, 2.1399973E+002, 3.6605851E+002, 1.5967498E-001
-5.9376203E-002, 5.9731456E+001, 1.6625369E+002, 1.7549184E-001, 2.7061376E+002, 4.2157292E+002, 1.5126896E-001
-5.3126076E-002, 9.9665882E+001, 2.4131742E+002, 1.7062666E-001, 3.3198672E+002, 4.7665792E+002, 1.4266630E-001
-4.6875949E-002, 1.6350811E+002, 3.4044717E+002, 1.6338128E-001, 3.9370492E+002, 5.2681142E+002, 1.3438444E-001
-4.0625823E-002, 2.5050983E+002, 4.3463584E+002, 1.5299622E-001, 4.5256497E+002, 5.7509018E+002, 1.2644411E-001
-3.4375696E-002, 3.6264938E+002, 5.3455739E+002, 1.3880224E-001, 5.2004946E+002, 6.3025028E+002, 1.1742626E-001
-2.8125570E-002, 4.9729792E+002, 6.3567493E+002, 1.2013315E-001, 5.8437958E+002, 6.6935286E+002, 1.0743260E-001
-2.1875443E-002, 6.2041133E+002, 7.1860881E+002, 1.0057110E-001, 6.5325205E+002, 7.1727112E+002, 9.7093654E-002
-1.5625316E-002, 7.4335109E+002, 7.8913913E+002, 7.9075488E-002, 7.1675301E+002, 7.5262124E+002, 8.7521801E-002
-9.3751899E-003, 8.2892806E+002, 8.2146919E+002, 6.1192028E-002, 7.5749437E+002, 7.7261611E+002, 8.0546647E-002
-3.1250633E-003, 8.3942158E+002, 8.2279508E+002, 5.5176838E-002, 7.7367846E+002, 7.8375226E+002, 7.8082066E-002
 3.1250633E-003, 8.3708862E+002, 8.2297786E+002, 5.4434285E-002, 7.5405059E+002, 7.7354186E+002, 8.0877016E-002
 9.3751899E-003, 7.9497563E+002, 8.0766629E+002, 6.3601498E-002, 7.3909922E+002, 7.6518803E+002, 8.3166436E-002
 1.5625316E-002, 7.2225510E+002, 7.7397869E+002, 7.9787670E-002, 6.8704791E+002, 7.3313388E+002, 9.0766301E-002
 2.1875443E-002, 6.2542118E+002, 7.2481176E+002, 9.9192517E-002, 6.1994278E+002, 6.9636888E+002, 9.9914939E-002
 2.8125570E-002, 5.1374882E+002, 6.5390160E+002, 1.1840835E-001, 5.6790755E+002, 6.6574447E+002, 1.0743447E-001
 3.4375696E-002, 3.8981502E+002, 5.5668058E+002, 1.3607611E-001, 5.3368656E+002, 6.4336985E+002, 1.1260238E-001
 4.0625823E-002, 2.7724109E+002, 4.4876201E+002, 1.5026206E-001, 4.8662182E+002, 6.1155458E+002, 1.1968746E-001
 4.6875949E-002, 1.7840794E+002, 3.2886193E+002, 1.6190613E-001, 4.3572990E+002, 5.7281301E+002, 1.2767596E-001
 5.3126076E-002, 1.0230951E+002, 2.2241131E+002, 1.7074839E-001, 3.8487593E+002, 5.3175067E+002, 1.3540917E-001
 5.9376203E-002, 5.3332908E+001, 1.3684576E+002, 1.7626861E-001, 3.3179812E+002, 4.8499324E+002, 1.4359878E-001
 6.5626329E-002, 3.1434727E+001, 1.0013595E+002, 1.7891669E-001, 2.7953209E+002, 4.3867837E+002, 1.5147360E-001
 7.1876456E-002, 2.1327064E+001, 9.0904974E+001, 1.8007645E-001, 2.2866562E+002, 3.8988763E+002, 1.5919803E-001
 7.8126582E-002, 2.0006590E+001, 8.6378426E+001, 1.8020573E-001, 1.7843480E+002, 3.3044698E+002, 1.6682590E-001
