s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2371806E-004,-2.6093553E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2371806E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0005426E+000, 1.5963821E+001, 0.0000000E+000,-2.8537909E+000, 2.0964861E-001,-1.7119380E-001,-9.3398087E-004, 0.0000000E+000, 0.0000000E+000, 1.3035061E+001, 1.3147551E+001, 6.9786719E-002, 4.3775469E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000043E+000, 4.0802009E+001, 0.0000000E+000,-7.6587415E+000,-1.9346320E+001,-7.7982049E-002,-1.0444557E-003, 0.0000000E+000, 0.0000000E+000, 1.3575757E+001, 1.3717921E+001, 6.9786719E-002, 8.9714187E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0004158E+000, 4.7978980E+001, 0.0000000E+000,-9.4254447E+000,-3.6017585E+001,-4.4554694E-002,-9.2484804E-004, 0.0000000E+000, 0.0000000E+000, 2.3065418E+000, 2.4904706E+000, 6.9786719E-002, 9.9073650E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000601E+000, 4.9321422E+001, 0.0000000E+000,-9.3448964E+000,-3.9529375E+001,-4.5942716E-002,-8.9460188E-004, 0.0000000E+000, 0.0000000E+000, 1.0441274E-001, 4.0031363E-001, 6.9786719E-002, 1.0043482E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000858E+000, 4.9617233E+001, 0.0000000E+000,-9.6666154E+000,-3.9008673E+001,-3.7720164E-002,-9.0153382E-004, 0.0000000E+000, 0.0000000E+000, 6.6769064E-001, 9.0332337E-001, 6.9786719E-002, 1.0062083E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000453E+000, 4.9355380E+001, 0.0000000E+000,-9.6610437E+000,-4.0851085E+001,-4.3406596E-002,-8.9183362E-004, 0.0000000E+000, 0.0000000E+000,-1.4857301E+000,-1.2010470E+000, 6.9786719E-002, 1.0064605E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0004916E+000, 4.9891806E+001, 0.0000000E+000,-9.6544864E+000,-3.7474594E+001,-2.4062692E-002,-9.3035233E-004, 0.0000000E+000, 0.0000000E+000, 2.3994744E+000, 2.7377329E+000, 6.9786719E-002, 1.0064947E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0002842E+000, 4.9340301E+001, 0.0000000E+000,-9.5723525E+000,-4.0663700E+001,-2.2633149E-002,-9.0543136E-004, 0.0000000E+000, 0.0000000E+000,-1.1462910E+000,-9.1929042E-001, 6.9786719E-002, 1.0064993E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
