s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 0.0000000E+000, 0.0000000E+000,-2.8010421E-004,-2.6093553E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8010421E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004671E+000, 1.5347755E+001,-3.4614808E+000, 1.8795681E-001,-1.8169783E-001,-4.5401645E-004, 0.0000000E+000, 0.0000000E+000, 1.1775165E+001, 1.1892079E+001, 6.9786719E-002, 4.6927015E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002077E+000, 3.9707330E+001,-9.3601778E+000,-1.5795961E+001,-1.1397211E-001,-6.9118813E-004, 0.0000000E+000, 0.0000000E+000, 1.4301011E+001, 1.4436528E+001, 6.9786719E-002, 9.6177472E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000453E+000, 4.7018677E+001,-1.1157097E+001,-3.5170280E+001,-8.3103049E-002,-6.7104223E-004, 0.0000000E+000, 0.0000000E+000, 3.7178108E-001, 6.0752700E-001, 6.9786719E-002, 1.0621016E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000358E+000, 4.7957787E+001,-1.1633569E+001,-3.5348928E+001,-6.7790465E-002,-6.6640456E-004, 0.0000000E+000, 0.0000000E+000, 7.2181462E-001, 9.0683358E-001, 6.9786719E-002, 1.0766920E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000463E+000, 4.8734920E+001,-1.1859183E+001,-3.4386895E+001,-7.6051725E-002,-6.6554745E-004, 0.0000000E+000, 0.0000000E+000, 2.1024969E+000, 2.4121251E+000, 6.9786719E-002, 1.0786873E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0002532E+000, 4.8514314E+001,-1.1801138E+001,-3.8672610E+001,-6.1370158E-002,-6.7266964E-004, 0.0000000E+000, 0.0000000E+000,-2.1857752E+000,-2.0214771E+000, 6.9786719E-002, 1.0789577E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0005217E+000, 4.8045902E+001,-1.1568557E+001,-3.6380165E+001,-5.4312332E-002,-6.6503177E-004, 0.0000000E+000, 0.0000000E+000,-7.6681113E-002, 4.2202418E-002, 6.9786719E-002, 1.0789943E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0003252E+000, 4.9253655E+001,-1.2011734E+001,-3.6878215E+001,-4.8183599E-002,-6.5943377E-004, 0.0000000E+000, 0.0000000E+000, 1.6473780E-001, 3.1486355E-001, 6.9786719E-002, 1.0789992E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
